sRNA	aCM_1	aCM_2
URS00002A39BA_GR_chr1_3039632_3039669_38_-	0.14	0.2
URS000032A609_GR_chr1_3039821_3039847_27_-	1	0
URS00005785A3_GR_chr1_3040250_3040277_28_+	0	0
URS00005DC4D0_GR_chr1_3040481_3040505_25_-	0	0.08
URS000038D051_GR_chr1_3040483_3040503_21_+	0	0
URS00004D549F_GR_chr1_3040485_3040505_21_+	0	0.08
URS00000E4FA2_GR_chr1_3040499_3040517_19_-	0	0.02
URS000033FC1D_GR_chr1_3040524_3040550_27_+	0.09	0.05
URS00003AADFF_GR_chr1_3040667_3040689_23_-	0	0
URS0000055217_GR_chr1_3040746_3040769_24_-	0.02	0.06
URS0000014E93_GR_chr1_3040859_3040887_29_+	0	0
URS000044FF0D_GR_chr1_3040859_3040888_30_+	0	0.58
URS000047B33B_GR_chr1_3041178_3041211_34_+	0	0
URS00005328D4_GR_chr1_3041186_3041208_23_+	0	0
URS000047D43D_GR_chr1_3041355_3041380_26_+	0	0
URS0000484C70_GR_chr1_3041439_3041468_30_+	0.11	0.28
URS0000115B72_GR_chr1_3041492_3041517_26_-	1.03	0
URS000013BF79_GR_chr1_3041512_3041540_29_+	1	0
URS00004D3A03_GR_chr1_3041755_3041781_27_-	0.25	0
URS00000BDF2F_GR_chr1_3041839_3041864_26_-	0.24	0
URS000018979C_GR_chr1_3041957_3041977_21_+	0.07	0.03
URS00003433BE_GR_chr1_3041985_3042011_27_-	0.11	0
URS00001C0A64_GR_chr1_3042150_3042174_25_-	0	0.05
URS00002483FA_GR_chr1_3042314_3042338_25_-	0.08	0.14
URS00003AADD6_GR_chr1_3042347_3042366_20_+	0.4	0
URS00000F2882_GR_chr1_3042444_3042472_29_-	0.11	0.03
URS0000373B1F_GR_chr1_3042542_3042567_26_-	0.11	0.05
URS00002E026E_GR_chr1_3042544_3042569_26_-	0.08	0.05
URS0000253258_GR_chr1_3042550_3042577_28_+	0.29	0
URS0000524E35_GR_chr1_3042596_3042620_25_-	0	0
URS000055A533_GR_chr1_3042598_3042623_26_-	0	0
URS000007233C_GR_chr1_3042601_3042624_24_-	0	0
URS00001CC748_GR_chr1_3042622_3042641_20_+	0.16	0.04
URS000050134F_GR_chr1_3042704_3042728_25_+	0	0
URS000036919E_GR_chr1_3043035_3043063_29_-	0	0.05
URS00005C8EA6_GR_chr1_3043037_3043057_21_+	0	0
URS00001CF81E_GR_chr1_3043037_3043058_22_+	0	0
URS000044ED6A_GR_chr1_3043048_3043067_20_-	0	0
URS00000F42AF_GR_chr1_3043258_3043285_28_+	0	0
URS000042CEDB_GR_chr1_3043258_3043287_30_+	0	0
URS000014A7A2_GR_chr1_3043264_3043286_23_+	0.39	0
URS000040DBB8_GR_chr1_3043294_3043321_28_-	0	0
URS000046F95E_GR_chr1_3043324_3043352_29_-	0	0.02
URS000044F081_GR_chr1_3043405_3043434_30_-	0	0
URS000041C0FC_GR_chr1_3043431_3043455_25_+	0	0.06
URS00003BECEC_GR_chr1_3043651_3043678_28_-	0	0.16
URS00003486A3_GR_chr1_3043683_3043712_30_+	0	0.07
URS00005B02DB_GR_chr1_3043689_3043714_26_+	0.07	0
URS0000608606_GR_chr1_3043693_3043718_26_+	0	0.03
URS00002B7F2E_GR_chr1_3050911_3050931_21_+	2.33	1.36
URS00006A0459_GR_chr1_3063453_3063524_72_-	0	0
URS00006C331B_GR_chr1_3063459_3063517_59_-	0	0
URS00003BDF32_GR_chr1_3065295_3065317_23_+	0.02	0.08
URS0000391701_GR_chr1_3066344_3066368_25_+	0.06	0
URS00002DF234_GR_chr1_3067622_3067649_28_+	1.35	0.02
URS0000080E22_GR_chr1_3069580_3069609_30_-	0.05	0
URS00002C1ADE_GR_chr1_3069885_3069911_27_+	0.04	0
URS000016912C_GR_chr1_3076926_3076955_30_-	1.06	2.72
URS00004F053F_GR_chr1_3076929_3076946_18_-	2.82	8.79
URS0000253E70_GR_chr1_3076929_3076955_27_-	0.62	0.73
URS000042B783_GR_chr1_3076931_3076955_25_-	0.14	0.26
URS00004DC026_GR_chr1_3076932_3076955_24_-	0.14	0.26
URS0000421E5F_GR_chr1_3076940_3076966_27_-	0.33	1.01
URS00004F6DE4_GR_chr1_3076983_3077011_29_+	0.62	0
URS00001A9341_GR_chr1_3076990_3077017_28_-	0	0
URS00003E2FB1_GR_chr1_3076992_3077018_27_-	0.07	0
URS0000122A34_GR_chr1_3077025_3077053_29_-	0	0.43
URS0000415116_GR_chr1_3077034_3077062_29_+	0.25	0.05
URS0000211824_GR_chr1_3077044_3077072_29_+	0.04	0.5
URS0000225717_GR_chr1_3077048_3077075_28_-	0.17	0
URS00002E97C9_GR_chr1_3077049_3077075_27_-	0	0
URS0000256786_GR_chr1_3077050_3077068_19_+	0.6	0
URS00004C9C79_GR_chr1_3077052_3077078_27_-	1.08	0.12
URS0000606F22_GR_chr1_3077054_3077078_25_-	0.25	0
URS00000E074B_GR_chr1_3077056_3077082_27_-	0	0.12
URS0000007EAC_GR_chr1_3077060_3077076_17_-	1.04	0
URS000052F9B1_GR_chr1_3077203_3077230_28_-	0	0
URS000031D99F_GR_chr1_3077252_3077280_29_-	0.42	0.5
URS00004D50E2_GR_chr1_3088158_3088195_38_-	0	0
URS00002F28C9_GR_chr1_3088636_3088658_23_-	0.38	0.51
URS00001E65A0_GR_chr1_3088872_3088897_26_-	0.05	0
URS00003552C1_GR_chr1_3089574_3089600_27_-	0	0.04
URS000033C421_GR_chr1_3089841_3089868_28_-	0	0.09
URS00000E83DB_GR_chr1_3090176_3090192_17_+	0.1	0.37
URS00005945C2_GR_chr1_3091165_3091192_28_+	0.03	0.17
URS000053D1CE_GR_chr1_3091171_3091191_21_-	0	0.14
URS00000AD874_GR_chr1_3091175_3091199_25_-	0.01	0
URS00001D0967_GR_chr1_3091230_3091253_24_-	0	0
URS000061CB34_GR_chr1_3091232_3091254_23_-	0.06	0
URS000055616A_GR_chr1_3092055_3092081_27_+	0	0
URS00005AD4D8_GR_chr1_3092138_3092164_27_+	0.33	1.24
URS0000133671_GR_chr1_3092367_3092393_27_-	0.02	0
URS00002B218C_GR_chr1_3093978_3094006_29_-	0.23	0
URS00003968C1_GR_chr1_3093985_3094012_28_-	0.11	0.14
URS00005BD8A8_GR_chr1_3096242_3096272_31_-	0.15	0
URS000047E618_GR_chr1_3099601_3099640_40_+	0	0.04
URS00002AC3AB_GR_chr1_3099722_3099750_29_-	0.18	0
URS00001B935A_GR_chr1_3099731_3099759_29_-	0.04	0.02
URS000024D87E_GR_chr1_3107537_3107566_30_+	0	0.62
URS000021373E_GR_chr1_3107813_3107840_28_+	0.13	0
URS0000003DDA_GR_chr1_3121690_3121714_25_+	0	0
URS00001B6AE1_GR_chr1_3131591_3131612_22_-	0	0.88
URS00005BCCE4_GR_chr1_3136819_3136847_29_-	0	0
URS0000343B01_GR_chr1_3136898_3136921_24_-	0.32	0
URS000025F414_GR_chr1_3136950_3136976_27_+	0	0.21
URS00001ED198_GR_chr1_3137104_3137131_28_-	0	0
URS000042416A_GR_chr1_3137676_3137703_28_+	0	0
URS00005069E1_GR_chr1_3137785_3137816_32_+	0.21	0.06
URS000014D0DD_GR_chr1_3137790_3137817_28_+	0.15	0
URS00000435AB_GR_chr1_3137983_3138012_30_-	0.25	0.2
URS00003E4F21_GR_chr1_3138986_3139011_26_-	0	0
URS00005B90EA_GR_chr1_3139480_3139511_32_-	0	0
URS0000550057_GR_chr1_3140925_3140949_25_-	0	0
URS0000480883_GR_chr1_3140926_3140942_17_-	0.25	0.13
URS0000357657_GR_chr1_3140926_3140950_25_-	0.09	0.12
URS00005E3399_GR_chr1_3141370_3141401_32_-	1.43	0.25
URS00000DF950_GR_chr1_3142750_3142776_27_+	0.05	0.08
URS000036F3EF_GR_chr1_3143793_3143816_24_+	0.97	0
URS000027F58D_GR_chr1_3143884_3143911_28_+	0	0
URS000049F5C9_GR_chr1_3143895_3143914_20_+	0	0
URS00002A6BB6_GR_chr1_3144813_3144860_48_-	0	0
URS000037243F_GR_chr1_3149947_3149971_25_+	0.05	0
URS000036E0BC_GR_chr1_3149947_3149972_26_+	0.05	0.05
URS00001D4452_GR_chr1_3150394_3150423_30_+	0.08	0
URS00005C8FC5_GR_chr1_3150846_3150870_25_-	0	0
URS000022B896_GR_chr1_3150848_3150871_24_-	0	0
URS00003EA7DC_GR_chr1_3151082_3151108_27_+	0	0
URS00001D92EC_GR_chr1_3151082_3151110_29_+	0	0
URS00004226F3_GR_chr1_3152181_3152206_26_+	0	0
URS0000292460_GR_chr1_3153288_3153312_25_-	0	0
URS00000A4806_GR_chr1_3153409_3153438_30_-	0	0
URS00002F753D_GR_chr1_3153895_3153920_26_-	1	0
URS00004FB99E_GR_chr1_3154086_3154112_27_-	0	0
URS00004E4CAE_GR_chr1_3154419_3154446_28_-	0	0
URS00000235F4_GR_chr1_3154521_3154541_21_-	0	0
URS000059D5DA_GR_chr1_3154997_3155026_30_+	0	0
URS000032CB05_GR_chr1_3155055_3155085_31_+	0	0
URS0000450DEF_GR_chr1_3155063_3155088_26_+	0	0
URS00004461D0_GR_chr1_3155180_3155212_33_+	0	0
mmu_piR_013613_DQ691404	0	0
URS00003F4019_GR_chr1_3155220_3155248_29_+	0	0
URS00001F5076_GR_chr1_3155222_3155248_27_+	0	0
URS00003DA839_GR_chr1_3155468_3155491_24_+	0	0
URS0000275377_GR_chr1_3155610_3155635_26_-	0	0
URS000013CCBB_GR_chr1_3155680_3155705_26_+	0	0
URS000010CC9E_GR_chr1_3155699_3155728_30_+	0	0
URS00000AEE87_GR_chr1_3155912_3155938_27_+	0.09	0
URS000049BF9D_GR_chr1_3156202_3156225_24_+	0	0
URS00004675B8_GR_chr1_3157375_3157400_26_-	0	0
URS00002F60FB_GR_chr1_3157479_3157508_30_-	0.3	0
URS0000434CE0_GR_chr1_3157527_3157555_29_-	0.22	0
URS00003879C4_GR_chr1_3157712_3157735_24_+	0.14	0.06
URS00003DE367_GR_chr1_3160135_3160163_29_-	0.36	0.01
URS000002520F_GR_chr1_3161359_3161382_24_-	0	0.63
URS000020C82B_GR_chr1_3172976_3173003_28_-	0	0
URS0000326F1D_GR_chr1_3172982_3173007_26_-	0	0
URS000061BA6A_GR_chr1_3174551_3174579_29_-	230.89	258.12
URS00001CFCDE_GR_chr1_3175536_3175562_27_-	1.11	1.19
URS000001DEBC_GR_chr1_3175591_3175618_28_-	0.19	1
URS0000233B88_GR_chr1_3175724_3175748_25_-	0.39	0
URS00002C56C0_GR_chr1_3175725_3175748_24_+	0.21	0
URS00003D7B37_GR_chr1_3175857_3175883_27_+	0.07	0
URS00002C6CCB_GR_chr1_3175919_3175947_29_+	1.45	1.97
URS00000B3929_GR_chr1_3175927_3175955_29_-	0	0.02
URS00004BCF73_GR_chr1_3175960_3175987_28_+	0	0.44
URS0000538ADF_GR_chr1_3175960_3175988_29_+	0	0.44
URS00000D5ACB_GR_chr1_3175960_3175990_31_+	0.05	1.94
URS0000555C9F_GR_chr1_3175968_3175988_21_-	0.02	0.1
URS00004A9C38_GR_chr1_3178208_3178226_19_+	0.33	0
URS0000260A05_GR_chr1_3178528_3178556_29_-	0	0.2
URS0000058B89_GR_chr1_3179639_3179667_29_-	0	0
URS000035BBC5_GR_chr1_3231522_3231553_32_+	0	0.09
URS00003224B6_GR_chr1_3231803_3231831_29_-	0.3	0
URS00002257B9_GR_chr1_3238027_3238056_30_+	0.07	0.27
URS00000FC2EF_GR_chr1_3238875_3238898_24_-	0.07	1.03
URS00001F4711_GR_chr1_3239606_3239631_26_+	0	0
URS00002BC736_GR_chr1_3239840_3239866_27_+	0	0.67
URS00001790EE_GR_chr1_3241630_3241646_17_+	0.27	1
URS0000361D1D_GR_chr1_3242109_3242129_21_-	1.02	0
URS00005E1E2D_GR_chr1_3258598_3258616_19_-	0.32	0.14
URS000058B96C_GR_chr1_3259238_3259263_26_+	0	0.06
URS000058B0B3_GR_chr1_3260771_3260799_29_-	0.07	0
URS000021E236_GR_chr1_3274184_3274211_28_-	0.54	0
URS00000F263B_GR_chr1_3274222_3274242_21_-	1	0
URS00000CEDB1_GR_chr1_3274389_3274413_25_-	0	0.17
URS00003CB9C5_GR_chr1_3274718_3274737_20_-	0	0
URS0000229244_GR_chr1_3275389_3275413_25_-	0	0
URS00005A02DE_GR_chr1_3275425_3275448_24_-	0	0
URS00005D209C_GR_chr1_3275698_3275721_24_-	0	0
URS0000377371_GR_chr1_3276108_3276134_27_-	0	0
URS0000440454_GR_chr1_3276248_3276272_25_-	0	0
URS000039FE48_GR_chr1_3276257_3276280_24_-	0	0
URS000045DE75_GR_chr1_3276816_3276835_20_-	0	0
URS00004F7A54_GR_chr1_3276991_3277021_31_-	0	0
URS00006029A6_GR_chr1_3277518_3277544_27_-	0	0
URS0000336533_GR_chr1_3277661_3277687_27_-	0	0
URS00005DAD1E_GR_chr1_3278239_3278264_26_-	0	0
URS0000471BD0_GR_chr1_3278529_3278546_18_-	0.57	0
URS00003A9EF2_GR_chr1_3278726_3278753_28_-	0	0
URS00003F2CE4_GR_chr1_3278821_3278845_25_-	1	0
URS000044103D_GR_chr1_3279215_3279237_23_-	0	0
URS000019D67D_GR_chr1_3279587_3279613_27_-	0	0
URS00000D4A35_GR_chr1_3279589_3279613_25_-	0	0
URS00002E8EBA_GR_chr1_3279592_3279615_24_-	0	0
URS000020D682_GR_chr1_3279595_3279620_26_-	0	0.39
URS00004D50E2_GR_chr1_3291242_3291279_38_-	0.07	0.06
URS0000078BCE_GR_chr1_3291855_3291880_26_+	0.27	0.11
URS00002B18C8_GR_chr1_3302254_3302278_25_+	0	0
URS00005742C6_GR_chr1_3302665_3302690_26_+	0.04	0
URS00004BF155_GR_chr1_3303932_3303953_22_-	0.22	0
URS0000060BFC_GR_chr1_3304027_3304052_26_+	0	0
URS0000286320_GR_chr1_3304776_3304794_19_+	0.15	2.26
URS0000265531_GR_chr1_3304827_3304854_28_+	0	0.06
URS00002D174A_GR_chr1_3305106_3305131_26_+	0.05	0.03
URS00003DE367_GR_chr1_3306508_3306536_29_-	0.05	0.04
URS00002DDAF3_GR_chr1_3307503_3307531_29_+	1.23	1.65
URS000043FE28_GR_chr1_3314703_3314731_29_-	0.01	0.1
URS0000592334_GR_chr1_3314704_3314732_29_-	0.01	0.03
URS00004BC259_GR_chr1_3314705_3314732_28_-	0	0
URS00001E7033_GR_chr1_3314706_3314732_27_-	0	0
URS0000489D89_GR_chr1_3315916_3315943_28_-	0.2	0
URS000059635F_GR_chr1_3316850_3316878_29_-	0.5	0.11
URS00000CE24E_GR_chr1_3335885_3335911_27_-	1.59	1.61
URS0000110470_GR_chr1_3335996_3336024_29_-	0.14	0
URS000003696B_GR_chr1_3336950_3336977_28_-	0.48	0.94
URS00004C97AD_GR_chr1_3344905_3344924_20_-	0.59	0.17
URS0000272425_GR_chr1_3345172_3345200_29_-	0.06	0
URS00002BB6B7_GR_chr1_3345345_3345370_26_-	0	0
URS00004CC2FF_GR_chr1_3346975_3347003_29_+	0	0
URS0000549D0D_GR_chr1_3347690_3347716_27_+	0.17	0
URS0000542A56_GR_chr1_3347897_3347928_32_+	0	0.58
URS00000A3395_GR_chr1_3390647_3390673_27_-	0.53	0.22
URS0000577AD0_GR_chr1_3402578_3402609_32_-	0.15	0.31
URS00005BCEF0_GR_chr1_3420128_3420149_22_+	0	0.05
URS00004DBCE9_GR_chr1_3472018_3472042_25_-	0.17	0
URS00001F0A96_GR_chr1_3472111_3472140_30_-	0	0
URS000028AC98_GR_chr1_3472385_3472414_30_-	0.89	0
URS000000B216_GR_chr1_3499628_3499658_31_+	0	0
URS000034163F_GR_chr1_3499912_3499940_29_-	3.61	3.19
URS000059AF3A_GR_chr1_3500171_3500199_29_-	0	0
URS00004041EA_GR_chr1_3500233_3500256_24_+	0.37	0
URS00003F4534_GR_chr1_3501308_3501336_29_-	0	0
URS000030147E_GR_chr1_3501632_3501662_31_-	0	0.32
URS000009E82B_GR_chr1_3540061_3540081_21_+	0.14	0.55
URS00001D5885_GR_chr1_3540134_3540162_29_-	0.27	0.14
URS00001E4A93_GR_chr1_3540134_3540162_29_+	0.27	0.14
URS0000196AE5_GR_chr1_3540168_3540188_21_-	0.4	0.79
URS00000D8CED_GR_chr1_3540174_3540194_21_-	0.63	0.15
URS0000452567_GR_chr1_3540275_3540294_20_+	0	0
URS00002C420A_GR_chr1_3540276_3540299_24_+	0.12	0
URS00003F27D3_GR_chr1_3540279_3540304_26_+	0.61	0
URS000034D716_GR_chr1_3540306_3540341_36_-	0	0
URS000000B94D_GR_chr1_3540329_3540357_29_-	0	0.35
URS0000228575_GR_chr1_3540405_3540422_18_+	0.16	0.51
URS0000489968_GR_chr1_3573156_3573182_27_+	0.34	0.42
URS00003D1175_GR_chr1_3573156_3573183_28_+	0.4	0.25
URS0000486230_GR_chr1_3597854_3597879_26_+	0.19	0.34
URS000027AE2B_GR_chr1_3603054_3603079_26_+	0	0
URS000043FA0B_GR_chr1_3612277_3612301_25_-	0.12	0
URS00005B3B9A_GR_chr1_3612278_3612308_31_-	0.03	0
URS000060782A_GR_chr1_3612281_3612301_21_-	0	0
URS0000109CCE_GR_chr1_3612281_3612307_27_-	0	0
URS00000DD4E2_GR_chr1_3612281_3612308_28_-	0	0
URS000047E5D2_GR_chr1_3612282_3612308_27_-	0	0
URS0000101B4A_GR_chr1_3612283_3612307_25_-	0	0
URS000059DB60_GR_chr1_3612283_3612308_26_-	0	0
URS000038310F_GR_chr1_3612284_3612307_24_-	0	0
URS00000095AD_GR_chr1_3612285_3612308_24_-	0	0
URS00002058F3_GR_chr1_3612286_3612307_22_-	0	0
URS00005A619F_GR_chr1_3612286_3612308_23_-	0	0
URS00001C45C2_GR_chr1_3612287_3612308_22_-	0.02	0
URS00001AB665_GR_chr1_3612323_3612359_37_-	0.39	0
URS00003FEA48_GR_chr1_3612360_3612377_18_+	1.42	0.48
URS000017C88C_GR_chr1_3612361_3612381_21_+	0.95	0.59
URS000001B208_GR_chr1_3612382_3612408_27_-	0.44	0.53
URS00005EDFED_GR_chr1_3612848_3612875_28_-	0	0.19
URS000016C150_GR_chr1_3612855_3612875_21_-	0	0.19
URS00000F94E0_GR_chr1_3612953_3612979_27_+	0.6	0.49
URS00002CF4E6_GR_chr1_3613023_3613046_24_-	0	0
URS000028449B_GR_chr1_3613061_3613081_21_+	0	0
URS000018A64B_GR_chr1_3613404_3613426_23_-	0	2
URS00004D626E_GR_chr1_3613442_3613471_30_-	0.06	0
URS00003A0139_GR_chr1_3613443_3613469_27_-	0	0
URS0000602810_GR_chr1_3613445_3613471_27_-	0.06	0
URS000035074D_GR_chr1_3613455_3613471_17_-	0.53	1.17
URS0000526481_GR_chr1_3613505_3613530_26_-	0	0.11
URS000029449E_GR_chr1_3613507_3613530_24_-	0	0.01
URS00005E712B_GR_chr1_3613511_3613534_24_-	0.78	0.21
URS00005B147F_GR_chr1_3613552_3613580_29_+	0	1.07
URS000046323F_GR_chr1_3613617_3613642_26_-	0	0
URS000027AE9E_GR_chr1_3613627_3613650_24_-	0	0
URS000001DAD0_GR_chr1_3613630_3613653_24_-	0	0
URS00002F3366_GR_chr1_3613705_3613729_25_-	0	1.2
URS00005BDB2E_GR_chr1_3613741_3613764_24_-	0.04	0
URS0000343983_GR_chr1_3613880_3613905_26_-	0.04	0.67
URS00000A6141_GR_chr1_3613883_3613908_26_-	0.61	0.17
URS0000487BDB_GR_chr1_3613968_3613991_24_-	1.03	0.58
URS00005537F5_GR_chr1_3615099_3615128_30_+	0.86	0.5
URS00005983AF_GR_chr1_3618561_3618585_25_+	0.09	0.15
URS000057DF3E_GR_chr1_3618566_3618592_27_+	0.02	0.4
URS00000126BB_GR_chr1_3656024_3656044_21_-	2.86	3.64
mmu_piR_015653_DQ694414	0	0
URS0000173CFD_GR_chr1_3727839_3727868_30_+	0	0
URS00003886F2_GR_chr1_3739515_3739543_29_-	0	0
URS00000BDAEE_GR_chr1_3740043_3740066_24_+	0.25	0
URS00002994F6_GR_chr1_3740897_3740926_30_-	0.04	0
URS00002FB011_GR_chr1_3743441_3743461_21_+	0	0.28
URS00003CB6D6_GR_chr1_3743481_3743507_27_-	0.05	1.25
URS0000380A34_GR_chr1_3743583_3743601_19_-	0	0.07
URS00001365B2_GR_chr1_3743678_3743703_26_+	0.22	0.22
URS0000101B4A_GR_chr1_3743779_3743803_25_+	0	0
URS0000509510_GR_chr1_3747541_3747568_28_-	0	0.29
URS0000204E5D_GR_chr1_3749470_3749494_25_-	0	0.05
URS0000283A9F_GR_chr1_3769523_3769550_28_+	0	0
URS000056666D_GR_chr1_3769532_3769558_27_-	0	0
URS000044309F_GR_chr1_3770676_3770699_24_-	0.24	0
URS00004D9349_GR_chr1_3783364_3783384_21_+	0.32	0.11
URS000068CFB4_GR_chr1_3783876_3783933_58_-	0	0
URS000012D6A3_GR_chr1_3800332_3800358_27_+	0	0
URS000055973D_GR_chr1_3800495_3800513_19_-	0	0
URS00002D179D_GR_chr1_3800620_3800639_20_+	0	0
URS0000117DB2_GR_chr1_3800787_3800817_31_-	0	0
URS00001300DD_GR_chr1_3801149_3801172_24_+	0	0
URS00000AAAF6_GR_chr1_3824403_3824427_25_-	0	0
URS0000371A84_GR_chr1_3844890_3844917_28_+	0	0.11
URS000051EB49_GR_chr1_3846098_3846122_25_+	0.32	0.25
URS00004C9E3C_GR_chr1_3846186_3846209_24_+	1.73	2.83
URS000018D536_GR_chr1_3852050_3852066_17_-	0.17	0
URS000002AECE_GR_chr1_3855196_3855221_26_+	0	0
URS00000B5905_GR_chr1_3889170_3889197_28_-	0	0
URS00003C11CC_GR_chr1_3889939_3889964_26_+	0.02	0
URS00005D50D6_GR_chr1_3905019_3905046_28_-	2.53	1.06
URS00002358FD_GR_chr1_3916056_3916083_28_-	0.99	1
URS000024D66D_GR_chr1_3916061_3916080_20_-	0.24	1.09
URS00003055AB_GR_chr1_3916066_3916089_24_+	0	0.24
URS00000E64B2_GR_chr1_3916066_3916092_27_+	0.06	0.1
URS000020F6F8_GR_chr1_3959015_3959036_22_+	0	0
URS0000193E98_GR_chr1_3959291_3959316_26_+	0.2	0
URS0000474CB7_GR_chr1_3959291_3959318_28_+	0.2	0
URS0000463F1E_GR_chr1_3959291_3959319_29_+	0.2	0
URS0000576DC4_GR_chr1_3959291_3959320_30_+	1.03	0.58
URS00000D5ACB_GR_chr1_3959291_3959321_31_+	0.28	0.37
URS0000548F95_GR_chr1_3960604_3960630_27_-	0.02	0.46
URS000037C909_GR_chr1_3965999_3966027_29_-	0.76	0.87
URS00003F5BB2_GR_chr1_3966000_3966027_28_-	0.02	0.02
URS00000C3732_GR_chr1_3976646_3976668_23_+	0	0.8
URS00002277FC_GR_chr1_3978618_3978644_27_-	0	0
URS000057D491_GR_chr1_3981266_3981292_27_-	0	0
URS0000078BB2_GR_chr1_3983484_3983512_29_+	1	1.46
URS00003E750E_GR_chr1_3997902_3997929_28_+	0.1	0
URS00005CB2E1_GR_chr1_3997909_3997932_24_+	0.66	1.16
URS00003F488D_GR_chr1_3998088_3998118_31_+	0	0.16
URS000051CACC_GR_chr1_3998092_3998121_30_+	0	0
URS00004BB1DF_GR_chr1_3998095_3998121_27_+	0	0
URS00001DB17C_GR_chr1_3998095_3998123_29_+	0	0
URS0000452C7A_GR_chr1_3998095_3998124_30_+	0	0
