piRNA_id	logFC_tumor_vs_normal_FC	P.Value_tumor_vs_normal_FC	adj.P.Val_tumor_vs_normal_FC	logFC_tumor_vs_normal_salmon	P.Value_tumor_vs_normal_salmon	adj.P.Val_tumor_vs_normal_salmon	gene_type	file	Gene_stable_ID	Gene_stable_ID_version	Transcript_stable_ID	Transcript_stable_ID_version	Target_gene_name	Target_gene_type
URS000012F7C1_GR_chr1_146035693_146035720_28_+	1.2632136523851512	0.02241219768496629	0.058477395541945275	NA	NA	NA	piRNA	CDS	ENSG00000226067	ENSG00000226067.7	ENST00000617702	ENST00000617702.1	LINC00623	lncRNA
URS0000009A89_GR_chr1_16545983_16546010_28_-	0.8614643185364912	0.047553538069812676	0.1078621516879245	NA	NA	NA	piRNA	CDS	ENSG00000279123	ENSG00000279123.1	ENST00000623856	ENST00000623856.1	AC027281.1	TEC
URS0000009A89_GR_chr1_16545983_16546010_28_-	0.8614643185364912	0.047553538069812676	0.1078621516879245	NA	NA	NA	piRNA	CDS	ENSG00000143226	ENSG00000143226.15	ENST00000467525	ENST00000467525.5	FCGR2A	protein_coding
URS0000009A89_GR_chr1_16545983_16546010_28_-	0.8614643185364912	0.047553538069812676	0.1078621516879245	NA	NA	NA	piRNA	UTR3	ENSG00000143226	ENSG00000143226.15	ENST00000467525	ENST00000467525.5	FCGR2A	protein_coding
URS000039F481_GR_chr1_16545980_16546006_27_-	0.7689018937421359	0.08558177915975168	0.16018655372807097	NA	NA	NA	piRNA	CDS	ENSG00000279123	ENSG00000279123.1	ENST00000623856	ENST00000623856.1	AC027281.1	TEC
URS000039F481_GR_chr1_16545980_16546006_27_-	0.7689018937421359	0.08558177915975168	0.16018655372807097	NA	NA	NA	piRNA	CDS	ENSG00000143226	ENSG00000143226.15	ENST00000467525	ENST00000467525.5	FCGR2A	protein_coding
URS000039F481_GR_chr1_16545980_16546006_27_-	0.7689018937421359	0.08558177915975168	0.16018655372807097	NA	NA	NA	piRNA	UTR3	ENSG00000143226	ENSG00000143226.15	ENST00000467525	ENST00000467525.5	FCGR2A	protein_coding
URS00005C8991_GR_chr3_155661093_155661123_31_+	0.8446384815602088	0.2026569849497485	0.3093447454196603	NA	NA	NA	piRNA	CDS	ENSG00000283696	ENSG00000283696.1	ENST00000636161	ENST00000636161.1	AL592295.4	lncRNA
URS00005C8991_GR_chr3_155661093_155661123_31_+	0.8446384815602088	0.2026569849497485	0.3093447454196603	NA	NA	NA	piRNA	CDS	ENSG00000226067	ENSG00000226067.7	ENST00000617702	ENST00000617702.1	LINC00623	lncRNA
URS0000441811_GR_chr21_8210896_8210927_32_+	-0.34716570458046325	0.31639541452620007	0.4384336458434487	-0.07559902542586139	0.8867313330622402	0.9160536400296253	piRNA	CDS	ENSG00000288254	ENSG00000288254.1	ENST00000673221	ENST00000673221.1	FP236383.17	lncRNA
URS0000441811_GR_chr21_8210896_8210927_32_+	-0.34716570458046325	0.31639541452620007	0.4384336458434487	-0.07559902542586139	0.8867313330622402	0.9160536400296253	piRNA	CDS	ENSG00000288444	ENSG00000288444.1	ENST00000673528	ENST00000673528.1	FP236383.22	lncRNA
URS0000441811_GR_chr21_8210896_8210927_32_+	-0.34716570458046325	0.31639541452620007	0.4384336458434487	-0.07559902542586139	0.8867313330622402	0.9160536400296253	piRNA	CDS	ENSG00000280614	ENSG00000280614.1	ENST00000625598	ENST00000625598.1	FP236383.4	lncRNA
URS0000441811_GR_chr21_8210896_8210927_32_+	-0.34716570458046325	0.31639541452620007	0.4384336458434487	-0.07559902542586139	0.8867313330622402	0.9160536400296253	piRNA	CDS	ENSG00000281181	ENSG00000281181.1	ENST00000627981	ENST00000627981.1	FP236383.5	lncRNA
URS0000441811_GR_chr21_8210896_8210927_32_+	-0.34716570458046325	0.31639541452620007	0.4384336458434487	-0.07559902542586139	0.8867313330622402	0.9160536400296253	piRNA	CDS	ENSG00000280800	ENSG00000280800.1	ENST00000631211	ENST00000631211.1	FP671120.6	lncRNA
URS0000441811_GR_chr21_8210896_8210927_32_+	-0.34716570458046325	0.31639541452620007	0.4384336458434487	-0.07559902542586139	0.8867313330622402	0.9160536400296253	piRNA	CDS	ENSG00000281383	ENSG00000281383.1	ENST00000629969	ENST00000629969.1	FP671120.7	lncRNA
URS000049DAFB_GR_chr21_8210893_8210923_31_+	-0.36689432103630937	0.3468605892063462	0.4738799599016279	-0.5243545492456616	0.3184835523565847	0.4411263814984659	piRNA	CDS	ENSG00000288254	ENSG00000288254.1	ENST00000673221	ENST00000673221.1	FP236383.17	lncRNA
URS000049DAFB_GR_chr21_8210893_8210923_31_+	-0.36689432103630937	0.3468605892063462	0.4738799599016279	-0.5243545492456616	0.3184835523565847	0.4411263814984659	piRNA	CDS	ENSG00000288444	ENSG00000288444.1	ENST00000673528	ENST00000673528.1	FP236383.22	lncRNA
URS000049DAFB_GR_chr21_8210893_8210923_31_+	-0.36689432103630937	0.3468605892063462	0.4738799599016279	-0.5243545492456616	0.3184835523565847	0.4411263814984659	piRNA	CDS	ENSG00000280614	ENSG00000280614.1	ENST00000625598	ENST00000625598.1	FP236383.4	lncRNA
URS000049DAFB_GR_chr21_8210893_8210923_31_+	-0.36689432103630937	0.3468605892063462	0.4738799599016279	-0.5243545492456616	0.3184835523565847	0.4411263814984659	piRNA	CDS	ENSG00000281181	ENSG00000281181.1	ENST00000627981	ENST00000627981.1	FP236383.5	lncRNA
URS000049DAFB_GR_chr21_8210893_8210923_31_+	-0.36689432103630937	0.3468605892063462	0.4738799599016279	-0.5243545492456616	0.3184835523565847	0.4411263814984659	piRNA	CDS	ENSG00000280800	ENSG00000280800.1	ENST00000631211	ENST00000631211.1	FP671120.6	lncRNA
URS000049DAFB_GR_chr21_8210893_8210923_31_+	-0.36689432103630937	0.3468605892063462	0.4738799599016279	-0.5243545492456616	0.3184835523565847	0.4411263814984659	piRNA	CDS	ENSG00000281383	ENSG00000281383.1	ENST00000629969	ENST00000629969.1	FP671120.7	lncRNA
URS0000336885_GR_chr20_29298646_29298674_29_-	-0.3807440681374046	0.38431306654999997	0.5102514063936795	-0.05037563040662352	0.944086794115738	0.9567026532798681	piRNA	CDS	ENSG00000288254	ENSG00000288254.1	ENST00000673221	ENST00000673221.1	FP236383.17	lncRNA
URS0000336885_GR_chr20_29298646_29298674_29_-	-0.3807440681374046	0.38431306654999997	0.5102514063936795	-0.05037563040662352	0.944086794115738	0.9567026532798681	piRNA	CDS	ENSG00000288444	ENSG00000288444.1	ENST00000673528	ENST00000673528.1	FP236383.22	lncRNA
URS0000336885_GR_chr20_29298646_29298674_29_-	-0.3807440681374046	0.38431306654999997	0.5102514063936795	-0.05037563040662352	0.944086794115738	0.9567026532798681	piRNA	CDS	ENSG00000280614	ENSG00000280614.1	ENST00000625598	ENST00000625598.1	FP236383.4	lncRNA
URS0000336885_GR_chr20_29298646_29298674_29_-	-0.3807440681374046	0.38431306654999997	0.5102514063936795	-0.05037563040662352	0.944086794115738	0.9567026532798681	piRNA	CDS	ENSG00000281181	ENSG00000281181.1	ENST00000627981	ENST00000627981.1	FP236383.5	lncRNA
URS0000336885_GR_chr20_29298646_29298674_29_-	-0.3807440681374046	0.38431306654999997	0.5102514063936795	-0.05037563040662352	0.944086794115738	0.9567026532798681	piRNA	CDS	ENSG00000280800	ENSG00000280800.1	ENST00000631211	ENST00000631211.1	FP671120.6	lncRNA
URS0000336885_GR_chr20_29298646_29298674_29_-	-0.3807440681374046	0.38431306654999997	0.5102514063936795	-0.05037563040662352	0.944086794115738	0.9567026532798681	piRNA	CDS	ENSG00000281383	ENSG00000281383.1	ENST00000629969	ENST00000629969.1	FP671120.7	lncRNA
URS00003F0F42_GR_chr21_8210897_8210926_30_+	-0.33633820841982986	0.39075747214427303	0.5150950977074396	-0.9296571492918568	0.06894832627017682	0.14423672851922045	piRNA	CDS	ENSG00000288254	ENSG00000288254.1	ENST00000673221	ENST00000673221.1	FP236383.17	lncRNA
URS00003F0F42_GR_chr21_8210897_8210926_30_+	-0.33633820841982986	0.39075747214427303	0.5150950977074396	-0.9296571492918568	0.06894832627017682	0.14423672851922045	piRNA	CDS	ENSG00000288444	ENSG00000288444.1	ENST00000673528	ENST00000673528.1	FP236383.22	lncRNA
URS00003F0F42_GR_chr21_8210897_8210926_30_+	-0.33633820841982986	0.39075747214427303	0.5150950977074396	-0.9296571492918568	0.06894832627017682	0.14423672851922045	piRNA	CDS	ENSG00000280614	ENSG00000280614.1	ENST00000625598	ENST00000625598.1	FP236383.4	lncRNA
URS00003F0F42_GR_chr21_8210897_8210926_30_+	-0.33633820841982986	0.39075747214427303	0.5150950977074396	-0.9296571492918568	0.06894832627017682	0.14423672851922045	piRNA	CDS	ENSG00000281181	ENSG00000281181.1	ENST00000627981	ENST00000627981.1	FP236383.5	lncRNA
URS00003F0F42_GR_chr21_8210897_8210926_30_+	-0.33633820841982986	0.39075747214427303	0.5150950977074396	-0.9296571492918568	0.06894832627017682	0.14423672851922045	piRNA	CDS	ENSG00000280800	ENSG00000280800.1	ENST00000631211	ENST00000631211.1	FP671120.6	lncRNA
URS00003F0F42_GR_chr21_8210897_8210926_30_+	-0.33633820841982986	0.39075747214427303	0.5150950977074396	-0.9296571492918568	0.06894832627017682	0.14423672851922045	piRNA	CDS	ENSG00000281383	ENSG00000281383.1	ENST00000629969	ENST00000629969.1	FP671120.7	lncRNA
URS000058975E_GR_chr20_49100429_49100455_27_+	0.3249779831976354	0.5347969566103241	0.6460660669966479	NA	NA	NA	piRNA	CDS	ENSG00000096401	ENSG00000096401.8	ENST00000371477	ENST00000371477.4	CDC5L	protein_coding
URS000058975E_GR_chr20_49100429_49100455_27_+	0.3249779831976354	0.5347969566103241	0.6460660669966479	NA	NA	NA	piRNA	UTR3	ENSG00000096401	ENSG00000096401.8	ENST00000371477	ENST00000371477.4	CDC5L	protein_coding
URS00001650DC_GR_chr21_8210692_8210721_30_+	0.08581471014762343	0.781086254804571	0.8283030444840757	NA	NA	NA	piRNA	CDS	ENSG00000288254	ENSG00000288254.1	ENST00000673221	ENST00000673221.1	FP236383.17	lncRNA
URS00001650DC_GR_chr21_8210692_8210721_30_+	0.08581471014762343	0.781086254804571	0.8283030444840757	NA	NA	NA	piRNA	CDS	ENSG00000288444	ENSG00000288444.1	ENST00000673528	ENST00000673528.1	FP236383.22	lncRNA
URS00001650DC_GR_chr21_8210692_8210721_30_+	0.08581471014762343	0.781086254804571	0.8283030444840757	NA	NA	NA	piRNA	CDS	ENSG00000280614	ENSG00000280614.1	ENST00000625598	ENST00000625598.1	FP236383.4	lncRNA
URS00001650DC_GR_chr21_8210692_8210721_30_+	0.08581471014762343	0.781086254804571	0.8283030444840757	NA	NA	NA	piRNA	CDS	ENSG00000281181	ENSG00000281181.1	ENST00000627981	ENST00000627981.1	FP236383.5	lncRNA
URS00001650DC_GR_chr21_8210692_8210721_30_+	0.08581471014762343	0.781086254804571	0.8283030444840757	NA	NA	NA	piRNA	CDS	ENSG00000280800	ENSG00000280800.1	ENST00000631211	ENST00000631211.1	FP671120.6	lncRNA
URS00001650DC_GR_chr21_8210692_8210721_30_+	0.08581471014762343	0.781086254804571	0.8283030444840757	NA	NA	NA	piRNA	CDS	ENSG00000281383	ENSG00000281383.1	ENST00000629969	ENST00000629969.1	FP671120.7	lncRNA
