RNAcentral_id	GR	logFC_tumor_vs_normal_FC	P.Value_tumor_vs_normal_FC	adj.P.Val_tumor_vs_normal_FC	logFC_tumor_vs_normal_salmon	P.Value_tumor_vs_normal_salmon	adj.P.Val_tumor_vs_normal_salmon	gene_type	RNA_type	ENSEMBL	GENCODE	NONCODE	ENA	GENECARDS	LNCBOOK	LNCIPEDIA	HGNC	REFSEQ	SNOPY	SRPDB	SILVA	LNCRNADB	GTRNADB	TMRNA_WEB
URS0000EFE4D0	chr2_176150328_176150390_63_+	-2.509018359642935	2.1028552324896478e-5	5.928462316188638e-4	-2.5295129845224773	2.865367446100462e-5	0.0013960215536967938	precursor_RNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS000031D4C0	chr21_16590247_16590316_70_+	-2.0956652773449376	2.118311665004618e-5	5.928462316188638e-4	-2.816164509169352	1.3463837776666313e-4	0.002617073525765426	precursor_RNA	precursor_RNA	NA	NA	NA	NA	MIR125B2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS0000EFE1B2	chr21_16590252_16590313_62_+	-2.094504855672538	2.1336762555348778e-5	5.928462316188638e-4	-2.5085421020856256	7.187948950973087e-5	0.0020440729829329716	precursor_RNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS000058997A	chr21_16590237_16590325_89_+	-2.0909047071473976	2.157111819110481e-5	5.928462316188638e-4	NA	NA	NA	precursor_RNA	precursor_RNA	ENSG00000207863.1	MIR125B2	NA	mir-125b-2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS0000209905	chr11_122099809_122099830_22_-	-2.0949340027475714	2.2744682551589776e-5	6.097043511305809e-4	NA	NA	NA	miRNA	miRNA	NA	NA	NA	NA	MIR125B1, MIR125B2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS000058760A	chr2_176150329_176150351_23_+	-2.4978757251991084	2.2923996222010922e-5	6.097043511305809e-4	NA	NA	NA	miRNA	miRNA	NA	NA	NA	miR-162	MIR10B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS000062858F	chr11_122099766_122099836_71_-	-2.078941936671434	2.402933676714348e-5	6.110331749033933e-4	NA	NA	NA	precursor_RNA	precursor_RNA	NA	NA	NA	NA	MIR125B1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS0000EFE3D6	chr11_122099768_122099830_63_-	-2.078904343995058	2.4029638739716063e-5	6.110331749033933e-4	-2.1632283314131193	3.371149056254236e-5	0.0013960215536967938	precursor_RNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS00002A66E1	chr11_122099757_122099844_88_-	-2.0762569731744938	2.4085601193887547e-5	6.110331749033933e-4	NA	NA	NA	precursor_RNA	precursor_RNA	ENSG00000207971.1	MIR125B1	NA	mir-125b-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS0000EFC395	chr14_100884495_100884564_70_+	-2.615566326194149	2.452991644342806e-5	6.128762456850435e-4	-2.817330943787479	1.8365348046867e-4	0.003234358941838905	precursor_RNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS00001C406A	chr14_100884496_100884518_23_+	-2.620005018278056	2.8613170299550827e-5	7.042256391635718e-4	NA	NA	NA	miRNA	miRNA	NA	NA	NA	NA	MIR432	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS00001E3DAA	chr14_100883035_100883056_22_+	-2.247824165237371	3.139142755402831e-5	7.612421181851865e-4	-2.2435673199950763	9.522444991334712e-5	0.0024149472237518944	miRNA	miRNA	NA	NA	NA	NA	MIR127	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS00004E0FA9	chr11_62853663_62853732_70_-	1.8665145489231616	3.528183805557082e-5	8.431847964295113e-4	1.793375111221188	4.0579362875507575e-5	0.0016055313137700825	snoRNA	snoRNA	ENSG00000277846.1	SNORD30	NA	UHG	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS00006E38EC	chr14_100989130_100989201_72_+	-2.289050868642073	3.706190673122729e-5	8.66407282505645e-4	NA	NA	NA	snoRNA	snoRNA	ENSG00000200480.1	SNORD114-28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS000075A673	chr14_100989130_100989200_71_+	-2.2877355455470036	3.7304376626986536e-5	8.66407282505645e-4	NA	NA	NA	snoRNA	snoRNA	NA	NA	NA	NA	SNORD114-28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS0000D4FABD	chr7_139044137_139044157_21_-	1.786645830512673	4.0863706681615764e-5	9.317621437859664e-4	NA	NA	NA	miRNA	miRNA	NA	NA	NA	NA	MIR10399-001	NA	NA	NA	MIR10399	NA	NA	NA	NA	NA	NA
URS0000EFD266	chr14_101040233_101040289_57_+	-2.3693284477417214	4.124841509786267e-5	9.317621437859664e-4	-2.2784673253082577	8.819773976888561e-4	0.006744533041150076	precursor_RNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS000075B509	chr14_101040219_101040299_81_+	-2.387363735241887	4.216184016758958e-5	9.395253302210163e-4	-2.4124349433306866	0.001445548985576931	0.00908860551945767	precursor_RNA	precursor_RNA	ENSG00000207934.1	MIR654	NA	mir-654	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS000058FDD6	chrM_2742_2836_95_+	2.122134178882333	4.331076432072703e-5	9.413583395707149e-4	2.197098902273672	1.6037713968297267e-4	0.0029784325941123496	rRNA	rRNA	NA	NA	NA	NA	MT-RNR2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS0000680170	chr14_100973595_100973664_70_+	-1.9667033864389298	4.408435928835563e-5	9.413583395707149e-4	NA	NA	NA	snoRNA	snoRNA	ENSG00000199914.1	SNORD114-16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS000075ADDA	chr14_100973595_100973663_69_+	-1.9596619274979512	4.483816973794113e-5	9.413583395707149e-4	NA	NA	NA	snoRNA	snoRNA	NA	NA	NA	NA	SNORD114-16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS00005B3525	chr17_7017667_7017687_21_-	-1.837807637271637	4.5031794570362464e-5	9.413583395707149e-4	NA	NA	NA	miRNA	miRNA	NA	NA	NA	NA	MIR195	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS000075B715	chr1_1169005_1169087_83_+	1.8588245941350698	4.547686052617193e-5	9.413583395707149e-4	NA	NA	NA	precursor_RNA	precursor_RNA	ENSG00000198976.1	MIR429	NA	mir-429	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa_piR_019224_DQ596390	NA	-2.221264480941093	4.59683973187201e-5	9.413583395707149e-4	-2.2729423858881104	8.426732655474181e-4	0.006554125398702141	piRNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS000075D742	chr14_100949833_100949903_71_+	-2.2316330612101964	4.6994372455540426e-5	9.413583395707149e-4	NA	NA	NA	snoRNA	snoRNA	NA	NA	NA	NA	SNORD114-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS000067B8ED	chr14_100949833_100949904_72_+	-2.2316330612101964	4.6994372455540426e-5	9.413583395707149e-4	NA	NA	NA	snoRNA	snoRNA	ENSG00000199575.1	SNORD114-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS00006AAF5B	chr14_100987046_100987117_72_+	-2.1305261725232	4.773532971894101e-5	9.413583395707149e-4	-2.658290396287672	6.188347728088918e-4	0.005688279224809006	snoRNA	snoRNA	ENSG00000200413.1	SNORD114-26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS000075CBCD	chr14_100987046_100987116_71_+	-2.1283348199531122	4.843110071683269e-5	9.413583395707149e-4	NA	NA	NA	snoRNA	snoRNA	NA	NA	NA	NA	SNORD114-26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS00002F40E9	chr14_101040269_101040290_22_+	-2.3629540154800406	4.852362575106778e-5	9.413583395707149e-4	-2.4535896348675093	2.827723852350108e-4	0.003607357443735428	miRNA	miRNA	NA	NA	NA	NA	MIR654	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS00006A8564	chr11_75335092_75335186_95_-	-1.7037077951662027	5.153116124918364e-5	9.789093362079484e-4	-1.865087554724913	6.030388898696449e-5	0.001959876392076346	precursor_RNA	precursor_RNA	ENSG00000199090.1	MIR326	NA	mir-326	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS0000EFC56F	chr14_101040269_101040289_21_+	-2.3379587355725935	5.218365566052283e-5	9.789093362079484e-4	NA	NA	NA	miRNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS0000EFD64F	chr1_1169019_1169076_58_+	1.8587849867887978	5.224015863329258e-5	9.789093362079484e-4	NA	NA	NA	precursor_RNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS0000EFC584	chr11_75335107_75335167_61_-	-1.7005322510518557	5.2989652439290505e-5	9.817970435100005e-4	-2.3066750874352984	4.119062092994866e-4	0.004358542447238754	precursor_RNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS00000A939F	chr11_75335108_75335127_20_-	-1.6860160737067797	5.93701453478895e-5	0.001067610878800412	-1.4827710384656698	2.9024080887645473e-4	0.0036180703572270385	miRNA	miRNA	NA	NA	NA	NA	MIR326	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS000040EE1D	chr17_7017615_7017701_87_-	-1.7052495815160111	6.015584054208791e-5	0.001067610878800412	NA	NA	NA	precursor_RNA	precursor_RNA	ENSG00000284112.1	MIR195	NA	mir-195	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS00006D9757	chr17_7017620_7017696_77_-	-1.7052495815160111	6.015584054208791e-5	0.001067610878800412	NA	NA	NA	precursor_RNA	precursor_RNA	NA	NA	NA	NA	MIR195	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS0000EFC120	chr17_7017626_7017687_62_-	-1.7051188001635817	6.02109228189438e-5	0.001067610878800412	-1.7126581380998784	5.0367690471064134e-5	0.0018333839331467344	precursor_RNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS000075C3B9	chr14_100953349_100953422_74_+	-1.992301316866031	6.87297443125238e-5	0.0011930036670668605	NA	NA	NA	snoRNA	snoRNA	NA	NA	NA	NA	SNORD114-3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS00007234FC	chr14_100953349_100953423_75_+	-1.992301316866031	6.87297443125238e-5	0.0011930036670668605	-1.8978929178292039	1.8954970756715004e-4	0.003254532714832199	snoRNA	snoRNA	ENSG00000201839.1	SNORD114-3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS0000072D03	chr17_7017666_7017687_22_-	-1.6752228230987414	6.986815815400803e-5	0.001198825835441373	NA	NA	NA	miRNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa_piR_016963_DQ593398	NA	-2.194724149283359	7.126940925664706e-5	0.001198825835441373	-2.1183249765300847	0.0018629796245226587	0.01072981935642797	piRNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS0000007340	chr14_100882979_100883075_97_+	-2.0231452554207614	7.260642867501625e-5	0.001198825835441373	-2.502215613251682	1.1293410406014972e-4	0.002617073525765426	precursor_RNA	precursor_RNA	ENSG00000207608.3	MIR127	NA	mir-127	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
