smallRNA_id	logFC_tumor_vs_normal_FC	P.Value_tumor_vs_normal_FC	adj.P.Val_tumor_vs_normal_FC	logFC_tumor_vs_normal_salmon	P.Value_tumor_vs_normal_salmon	adj.P.Val_tumor_vs_normal_salmon	gene_type
URS0000EFD56E_GR_chr14_101045926_101045989_64_+	-2.314408922	4.44E-06	2.66E-04	NA	NA	NA	precursor_RNA
URS00001FFA8C_GR_chr14_101045968_101045989_22_+	-2.308520614	4.83E-06	2.66E-04	-2.195937736	3.14E-05	0.001396022	miRNA
URS000023BE29_GR_chr11_72615066_72615088_23_-	-3.824451593	4.91E-06	2.66E-04	-4.096131958	3.99E-06	7.41E-04	miRNA
URS000060A1F4_GR_chr14_101022071_101022091_21_+	-2.562064503	5.04E-06	2.66E-04	-2.11668405	7.01E-05	0.002044073	miRNA
URS0000EFCB87_GR_chr14_101022070_101022129_60_+	-2.560083739	5.14E-06	2.66E-04	-2.863681722	1.67E-05	0.001151722	precursor_RNA
URS000075EEE5_GR_chr14_101022066_101022132_67_+	-2.559834734	5.15E-06	2.66E-04	NA	NA	NA	precursor_RNA
URS000050DE77_GR_chr21_16539838_16539859_22_+	-2.444885446	5.21E-06	2.66E-04	NA	NA	NA	miRNA
URS0000528CBC_GR_chr7_129774967_129774988_22_-	2.140209378	5.37E-06	2.66E-04	NA	NA	NA	miRNA
URS000025D232_GR_chr11_72615102_72615124_23_-	-3.360192853	5.38E-06	2.66E-04	NA	NA	NA	miRNA
URS0000031E12_GR_chr21_16539828_16539911_84_+	-2.426478778	5.40E-06	2.66E-04	NA	NA	NA	precursor_RNA
URS00002DE03A_GR_chr21_16539832_16539907_76_+	-2.426478778	5.40E-06	2.66E-04	-2.090099275	7.18E-04	0.006102702	precursor_RNA
hsa_piR_008114_DQ581033	-2.435089242	5.40E-06	2.66E-04	-2.543597625	9.46E-06	9.53E-04	piRNA
URS0000EFE150_GR_chr21_16539837_16539904_68_+	-2.426413393	5.42E-06	2.66E-04	-2.310512465	2.02E-05	0.001151722	precursor_RNA
URS0000208A34_GR_chr21_16539089_16539169_81_+	-2.484831233	6.07E-06	2.66E-04	NA	NA	NA	precursor_RNA
URS0000660AB2_GR_chr21_16539093_16539164_72_-	-2.484831233	6.07E-06	2.66E-04	NA	NA	NA	precursor_RNA
URS000071CCC6_GR_chr21_16539094_16539165_72_+	-2.484831233	6.07E-06	2.66E-04	NA	NA	NA	precursor_RNA
URS0000EFE6EA_GR_chr21_16539100_16539160_61_+	-2.484812134	6.07E-06	2.66E-04	-2.632923681	1.23E-05	9.53E-04	precursor_RNA
URS0000157026_GR_chr21_16539101_16539122_22_+	-2.487718455	6.12E-06	2.66E-04	NA	NA	NA	miRNA
URS000075C4DA_GR_chr6_6169334_6169409_76_+	-3.04414538	1.06E-05	3.92E-04	NA	NA	NA	precursor_RNA
URS0000EFBB37_GR_chr6_6169342_6169402_61_+	-3.04414538	1.06E-05	3.92E-04	-3.145342	7.08E-06	9.20E-04	precursor_RNA
URS0000527F89_GR_chr5_149430661_149430683_23_+	-2.456478486	1.06E-05	3.92E-04	-2.500687767	1.96E-05	0.001151722	miRNA
URS000075E023_GR_chr6_6169343_6169366_24_+	-3.040292813	1.07E-05	3.92E-04	-3.586926362	2.26E-04	0.003457787	miRNA
URS000075A952_GR_chr2_176150330_176150351_22_+	-2.42554667	1.07E-05	3.92E-04	NA	NA	NA	miRNA
URS00006E4867_GR_chr5_149430646_149430732_87_+	-2.44328232	1.11E-05	3.92E-04	NA	NA	NA	precursor_RNA
URS00004F4657_GR_chr5_149430646_149430733_88_+	-2.44328232	1.11E-05	3.92E-04	-2.032026295	2.28E-04	0.003457787	precursor_RNA
URS00004FCB5F_GR_chr21_16590292_16590313_22_+	-2.265407718	1.11E-05	3.92E-04	-2.366897518	1.02E-05	9.53E-04	miRNA
URS0000EFDA02_GR_chr5_149430660_149430720_61_+	-2.443322268	1.12E-05	3.92E-04	-2.662904387	3.25E-05	0.001396022	precursor_RNA
URS00005D8C46_GR_chr2_176150329_176150349_21_+	-2.301734135	1.26E-05	4.32E-04	NA	NA	NA	miRNA
URS00001925C1_GR_chr21_16590290_16590311_22_+	-2.143102097	1.82E-05	5.93E-04	-2.36243278	2.38E-04	0.003459016	miRNA
URS00006E2A34_GR_chr13_21139886_21139957_72_-	3.796948715	1.84E-05	5.93E-04	3.286754124	7.41E-04	0.006134792	snoRNA
URS00006284D8_GR_chr14_100884483_100884576_94_+	-2.515754351	1.88E-05	5.93E-04	NA	NA	NA	precursor_RNA
URS000046820B_GR_chr2_176150329_176150350_22_+	-2.521133594	1.89E-05	5.93E-04	NA	NA	NA	miRNA
URS0000164B86_GR_chr11_62853904_62853968_65_-	1.95244343	1.94E-05	5.93E-04	1.938581166	2.03E-05	0.001151722	snoRNA
URS0000EFBD9F_GR_chr2_176150329_176150389_61_+	-2.509005554	2.10E-05	5.93E-04	-2.481971552	3.37E-05	0.001396022	precursor_RNA
URS0000680F44_GR_chr2_176150322_176150396_75_+	-2.509024188	2.10E-05	5.93E-04	NA	NA	NA	precursor_RNA
URS000068F7DB_GR_chr2_176150321_176150395_75_-	-2.509023111	2.10E-05	5.93E-04	NA	NA	NA	precursor_RNA
URS0000EFE4D0_GR_chr2_176150328_176150390_63_+	-2.50901836	2.10E-05	5.93E-04	-2.529512985	2.87E-05	0.001396022	precursor_RNA
URS000031D4C0_GR_chr21_16590247_16590316_70_+	-2.095665277	2.12E-05	5.93E-04	-2.816164509	1.35E-04	0.002617074	precursor_RNA
URS0000EFE1B2_GR_chr21_16590252_16590313_62_+	-2.094504856	2.13E-05	5.93E-04	-2.508542102	7.19E-05	0.002044073	precursor_RNA
URS000058997A_GR_chr21_16590237_16590325_89_+	-2.090904707	2.16E-05	5.93E-04	NA	NA	NA	precursor_RNA
URS0000209905_GR_chr11_122099809_122099830_22_-	-2.094934003	2.27E-05	6.10E-04	NA	NA	NA	miRNA
URS000058760A_GR_chr2_176150329_176150351_23_+	-2.497875725	2.29E-05	6.10E-04	NA	NA	NA	miRNA
URS000062858F_GR_chr11_122099766_122099836_71_-	-2.078941937	2.40E-05	6.11E-04	NA	NA	NA	precursor_RNA
URS0000EFE3D6_GR_chr11_122099768_122099830_63_-	-2.078904344	2.40E-05	6.11E-04	-2.163228331	3.37E-05	0.001396022	precursor_RNA
URS00002A66E1_GR_chr11_122099757_122099844_88_-	-2.076256973	2.41E-05	6.11E-04	NA	NA	NA	precursor_RNA
URS0000EFC395_GR_chr14_100884495_100884564_70_+	-2.615566326	2.45E-05	6.13E-04	-2.817330944	1.84E-04	0.003234359	precursor_RNA
URS00001C406A_GR_chr14_100884496_100884518_23_+	-2.620005018	2.86E-05	7.04E-04	NA	NA	NA	miRNA
URS00001E3DAA_GR_chr14_100883035_100883056_22_+	-2.247824165	3.14E-05	7.61E-04	-2.24356732	9.52E-05	0.002414947	miRNA
URS00004E0FA9_GR_chr11_62853663_62853732_70_-	1.866514549	3.53E-05	8.43E-04	1.793375111	4.06E-05	0.001605531	snoRNA
URS00006E38EC_GR_chr14_100989130_100989201_72_+	-2.289050869	3.71E-05	8.66E-04	NA	NA	NA	snoRNA
URS000075A673_GR_chr14_100989130_100989200_71_+	-2.287735546	3.73E-05	8.66E-04	NA	NA	NA	snoRNA
URS0000D4FABD_GR_chr7_139044137_139044157_21_-	1.786645831	4.09E-05	9.32E-04	NA	NA	NA	miRNA
URS0000EFD266_GR_chr14_101040233_101040289_57_+	-2.369328448	4.12E-05	9.32E-04	-2.278467325	8.82E-04	0.006744533	precursor_RNA
URS000075B509_GR_chr14_101040219_101040299_81_+	-2.387363735	4.22E-05	9.40E-04	-2.412434943	0.001445549	0.009088606	precursor_RNA
URS000058FDD6_GR_chrM_2742_2836_95_+	2.122134179	4.33E-05	9.41E-04	2.197098902	1.60E-04	0.002978433	rRNA
URS0000680170_GR_chr14_100973595_100973664_70_+	-1.966703386	4.41E-05	9.41E-04	NA	NA	NA	snoRNA
URS000075ADDA_GR_chr14_100973595_100973663_69_+	-1.959661927	4.48E-05	9.41E-04	NA	NA	NA	snoRNA
URS00005B3525_GR_chr17_7017667_7017687_21_-	-1.837807637	4.50E-05	9.41E-04	NA	NA	NA	miRNA
URS000075B715_GR_chr1_1169005_1169087_83_+	1.858824594	4.55E-05	9.41E-04	NA	NA	NA	precursor_RNA
hsa_piR_019224_DQ596390	-2.221264481	4.60E-05	9.41E-04	-2.272942386	8.43E-04	0.006554125	piRNA
URS000075D742_GR_chr14_100949833_100949903_71_+	-2.231633061	4.70E-05	9.41E-04	NA	NA	NA	snoRNA
URS000067B8ED_GR_chr14_100949833_100949904_72_+	-2.231633061	4.70E-05	9.41E-04	NA	NA	NA	snoRNA
URS00006AAF5B_GR_chr14_100987046_100987117_72_+	-2.130526173	4.77E-05	9.41E-04	-2.658290396	6.19E-04	0.005688279	snoRNA
URS000075CBCD_GR_chr14_100987046_100987116_71_+	-2.12833482	4.84E-05	9.41E-04	NA	NA	NA	snoRNA
URS00002F40E9_GR_chr14_101040269_101040290_22_+	-2.362954015	4.85E-05	9.41E-04	-2.453589635	2.83E-04	0.003607357	miRNA
URS00006A8564_GR_chr11_75335092_75335186_95_-	-1.703707795	5.15E-05	9.79E-04	-1.865087555	6.03E-05	0.001959876	precursor_RNA
URS0000EFC56F_GR_chr14_101040269_101040289_21_+	-2.337958736	5.22E-05	9.79E-04	NA	NA	NA	miRNA
URS0000EFD64F_GR_chr1_1169019_1169076_58_+	1.858784987	5.22E-05	9.79E-04	NA	NA	NA	precursor_RNA
URS0000EFC584_GR_chr11_75335107_75335167_61_-	-1.700532251	5.30E-05	9.82E-04	-2.306675087	4.12E-04	0.004358542	precursor_RNA
URS00000A939F_GR_chr11_75335108_75335127_20_-	-1.686016074	5.94E-05	0.001067611	-1.482771038	2.90E-04	0.00361807	miRNA
URS000040EE1D_GR_chr17_7017615_7017701_87_-	-1.705249582	6.02E-05	0.001067611	NA	NA	NA	precursor_RNA
URS00006D9757_GR_chr17_7017620_7017696_77_-	-1.705249582	6.02E-05	0.001067611	NA	NA	NA	precursor_RNA
URS0000EFC120_GR_chr17_7017626_7017687_62_-	-1.7051188	6.02E-05	0.001067611	-1.712658138	5.04E-05	0.001833384	precursor_RNA
URS000075C3B9_GR_chr14_100953349_100953422_74_+	-1.992301317	6.87E-05	0.001193004	NA	NA	NA	snoRNA
URS00007234FC_GR_chr14_100953349_100953423_75_+	-1.992301317	6.87E-05	0.001193004	-1.897892918	1.90E-04	0.003254533	snoRNA
URS0000072D03_GR_chr17_7017666_7017687_22_-	-1.675222823	6.99E-05	0.001198826	NA	NA	NA	miRNA
hsa_piR_016963_DQ593398	-2.194724149	7.13E-05	0.001198826	-2.118324977	0.00186298	0.010729819	piRNA
URS0000007340_GR_chr14_100882979_100883075_97_+	-2.023145255	7.26E-05	0.001198826	-2.502215613	1.13E-04	0.002617074	precursor_RNA
URS0000816F9C_GR_chr1_173865966_173866028_63_-	2.660233958	7.27E-05	0.001198826	2.703797467	8.75E-05	0.002342496	snoRNA
URS00003958AD_GR_chr11_568113_568133_21_-	2.342767791	7.34E-05	0.001198826	NA	NA	NA	miRNA
URS0000EFED0D_GR_chr14_100883000_100883056_57_+	-2.017835657	7.37E-05	0.001198826	-1.370935162	0.004445164	0.019732194	precursor_RNA
URS00004C8BCF_GR_chr1_173865968_173866028_61_-	2.656966334	7.42E-05	0.001198826	NA	NA	NA	snoRNA
URS00005A29A1_GR_chr8_66113988_66114075_88_+	1.840075216	7.61E-05	0.001218831	NA	NA	NA	tRNA
URS000007E37F_GR_chr1_159141611_159141684_74_-	4.203341532	7.89E-05	0.001251613	NA	NA	NA	tRNA
URS000055BBE5_GR_chr1_1169055_1169076_22_+	1.748390839	8.18E-05	0.0012849	1.777192912	5.72E-05	0.001943856	miRNA
URS00006EEEE6_GR_chr14_100983876_100983947_72_+	-2.02375459	8.30E-05	0.001291256	NA	NA	NA	snoRNA
URS000075B92D_GR_chr14_100983876_100983946_71_+	-2.021168225	8.47E-05	0.001296169	NA	NA	NA	snoRNA
URS0000EFEC4D_GR_chr11_568111_568171_61_-	2.856483525	8.55E-05	0.001296169	2.322397565	5.77E-05	0.001943856	precursor_RNA
URS00007629C2_GR_chr17_59841311_59841332_22_+	1.711916369	8.57E-05	0.001296169	1.600705469	2.76E-04	0.003607357	miRNA
URS000068F4AA_GR_chr11_568090_568185_96_-	2.854705124	8.67E-05	0.001299222	2.36128657	2.43E-04	0.003459016	precursor_RNA
URS0000EFD35A_GR_chr14_100881025_100881090_66_+	-2.087982439	9.09E-05	0.001349881	-1.901913935	5.52E-04	0.005228382	precursor_RNA
URS000066C003_GR_chr7_148941488_148941566_79_+	1.653530389	9.83E-05	0.00141533	NA	NA	NA	Y_RNA
URS0000D548A2_GR_chr7_139044100_139044157_58_-	1.607285082	9.84E-05	0.00141533	1.659345229	2.74E-04	0.003607357	precursor_RNA
URS0000C97B23_GR_chr7_139044101_139044157_57_-	1.610908052	9.87E-05	0.00141533	NA	NA	NA	precursor_RNA
URS000075A884_GR_chr1_1167863_1167952_90_+	1.570989546	9.87E-05	0.00141533	NA	NA	NA	precursor_RNA
URS00007E3FDA_GR_chr14_101026035_101026056_22_+	-2.184369274	1.01E-04	0.001422158	-3.290939547	9.26E-04	0.006908672	miRNA
URS000055128B_GR_chr11_568112_568133_22_-	2.894652561	1.02E-04	0.001422158	3.035618809	1.04E-04	0.002560322	miRNA
URS00006E14BC_GR_chr1_1167869_1167945_77_-	1.567418204	1.03E-04	0.001422158	NA	NA	NA	precursor_RNA
URS00006E24A0_GR_chr1_1167869_1167945_77_+	1.567418204	1.03E-04	0.001422158	1.22438249	0.064608695	0.136730028	precursor_RNA
URS0000EFDBD3_GR_chr1_1167877_1167938_62_+	1.56611971	1.03E-04	0.001422158	1.304229462	0.001509994	0.00922211	precursor_RNA
URS000023B77E_GR_chr1_1167878_1167899_22_+	1.683454764	1.04E-04	0.001423272	1.76872652	1.27E-04	0.002617074	miRNA
URS00007E3F24_GR_chr11_2134140_2134161_22_-	-1.880647066	1.17E-04	0.001576213	-1.937076529	4.42E-04	0.004516622	miRNA
URS0000305406_GR_chr5_149430661_149430681_21_+	-1.935763608	1.20E-04	0.001603107	NA	NA	NA	miRNA
hsa_piR_015026_DQ590548	1.910685208	1.23E-04	0.001637626	NA	NA	NA	piRNA
URS00006CFC33_GR_chr1_173865622_173865686_65_-	2.616265909	1.26E-04	0.001668076	2.606074404	2.41E-04	0.003459016	snoRNA
URS0000155F25_GR_chr5_149430700_149430721_22_+	-2.006984099	1.33E-04	0.001742094	-2.508825463	0.001558741	0.009331938	miRNA
URS00004AC389_GR_chr2_176150368_176150389_22_+	-2.002122957	1.39E-04	0.00180569	-2.184973452	1.14E-04	0.002617074	miRNA
URS00005A29A1_GR_chr8_66113367_66113458_92_+	1.7490044	1.40E-04	0.001806079	NA	NA	NA	tRNA
URS00002BE588_GR_chr1_173865966_173866027_62_-	2.538782025	1.42E-04	0.001812461	NA	NA	NA	misc_RNA
URS00005A29A1_GR_chr14_20683273_20683360_88_+	1.684719707	1.48E-04	0.001877472	NA	NA	NA	tRNA
URS000055DDDD_GR_chr5_149430701_149430721_21_+	-2.096896155	1.51E-04	0.001900149	-3.279642655	0.00466656	0.020206787	miRNA
URS000070779B_GR_chr1_148020474_148020544_71_+	1.899554934	1.60E-04	0.001994878	NA	NA	NA	tRNA
URS0000632075_GR_chr16_69933083_69933180_98_+	-1.617301128	1.62E-04	0.002009635	-2.137056808	1.24E-04	0.002617074	precursor_RNA
URS000067D064_GR_chr1_173865348_173865432_85_-	1.682677307	1.67E-04	0.002048428	NA	NA	NA	snoRNA
URS000027FB26_GR_chr9_128244785_128244805_21_-	-1.747257644	1.68E-04	0.002048428	NA	NA	NA	miRNA
URS00002AE1D6_GR_chr17_7017978_7017999_22_-	-1.538010085	1.72E-04	0.002076759	NA	NA	NA	miRNA
URS00001FCA45_GR_chr1_173865350_173865430_81_-	1.70876363	1.73E-04	0.002076759	1.56971183	3.70E-04	0.004133976	snoRNA
URS0000559C32_GR_chrM_1602_1669_68_+	1.94475642	1.89E-04	0.002238338	NA	NA	NA	tRNA
URS0000059DA7_GR_chrM_1601_1669_69_+	1.944762608	1.89E-04	0.002238338	NA	NA	NA	tRNA
URS0000EFE77A_GR_chr8_41660441_41660505_65_-	-3.916938154	1.99E-04	0.002244756	-7.034854671	4.32E-05	0.001638322	precursor_RNA
URS000075EE0E_GR_chr8_41660444_41660507_64_+	-3.915921435	2.00E-04	0.002244756	-3.878704394	0.008421583	0.030637556	precursor_RNA
URS000075DEC1_GR_chr14_101026020_101026107_88_+	-1.996511773	2.00E-04	0.002244756	NA	NA	NA	precursor_RNA
URS000071BDB0_GR_chr8_41660441_41660508_68_-	-3.90987098	2.01E-04	0.002244756	NA	NA	NA	precursor_RNA
URS0000EFE6DB_GR_chr11_122152239_122152296_58_-	-2.416135259	2.02E-04	0.002244756	-2.481288444	2.66E-04	0.003607357	precursor_RNA
URS000054969A_GR_chr11_122152229_122152308_80_-	-2.416075633	2.02E-04	0.002244756	NA	NA	NA	precursor_RNA
URS00006E50D0_GR_chr11_122152234_122152303_70_-	-2.416075633	2.02E-04	0.002244756	-1.822038877	0.002844774	0.013917979	precursor_RNA
URS00006F9CB0_GR_chr11_122152235_122152304_70_+	-2.416075633	2.02E-04	0.002244756	NA	NA	NA	precursor_RNA
URS00004BF1DC_GR_chr8_41660444_41660465_22_+	-3.918400356	2.03E-04	0.002244756	NA	NA	NA	miRNA
URS000040D674_GR_chr11_122152275_122152296_22_-	-2.415588022	2.03E-04	0.002244756	NA	NA	NA	miRNA
URS000029711F_GR_chr12_6964155_6964178_24_+	2.203532688	2.04E-04	0.002244756	2.164930084	9.66E-04	0.007005508	miRNA
URS000075EA99_GR_chr12_6964155_6964177_23_+	2.195191561	2.08E-04	0.002273595	NA	NA	NA	miRNA
URS0000643FAE_GR_chr20_49280319_49280409_91_+	1.712037093	2.14E-04	0.002303139	1.69050009	3.44E-04	0.003975022	snoRNA
URS00002CA973_GR_chr8_66113988_66114076_89_+	1.658300673	2.14E-04	0.002303139	NA	NA	NA	tRNA
URS0000EFD757_GR_chr14_101026034_101026092_59_+	-1.986912402	2.19E-04	0.002344697	-1.823279342	5.42E-04	0.005196041	precursor_RNA
URS000026D828_GR_chr1_173866879_173866938_60_-	2.238970973	2.22E-04	0.002359264	2.07857475	0.001659179	0.009678546	snoRNA
URS00005A29A1_GR_chr14_20653100_20653192_93_-	1.625075654	2.25E-04	0.002374654	NA	NA	NA	tRNA
URS0000416E93_GR_chr14_22929701_22929773_73_+	2.40433066	2.29E-04	0.002405235	2.204384325	0.002205108	0.012088241	tRNA
URS0000E339B7_GR_chr7_148941491_148941570_80_+	1.350238702	2.31E-04	0.002410955	1.686094304	0.001537987	0.009314372	misc_RNA
URS0000EFE706_GR_chr17_7017937_7017999_63_-	-1.467784557	2.32E-04	0.002410955	-1.551301608	1.28E-04	0.002617074	precursor_RNA
URS00001E7E7D_GR_chr14_22929700_22929773_74_+	2.387967579	2.36E-04	0.002430395	NA	NA	NA	tRNA
URS000081566B_GR_chrM_3150_3226_77_+	2.19385944	2.56E-04	0.002617368	1.883531715	0.002622798	0.013318749	tRNA
URS000022B8AA_GR_chr7_148941488_148941570_83_+	1.320362099	2.65E-04	0.002697458	NA	NA	NA	misc_RNA
URS00000E07AE_GR_chr8_66113367_66113459_93_+	1.636732297	2.67E-04	0.00270029	3.152568178	0.02991982	0.07418811	precursor_RNA
URS00005C2A6D_GR_chr5_149428978_149428998_21_+	-1.82339296	2.78E-04	0.002773119	-1.682634903	3.86E-04	0.004133976	miRNA
URS0000EFC04E_GR_chr5_149428943_149428998_56_+	-1.82252224	2.79E-04	0.002773119	-1.647238072	2.80E-04	0.003607357	precursor_RNA
URS000013D1D5_GR_chr14_20659959_20660051_93_-	1.594605373	2.79E-04	0.002773119	NA	NA	NA	tRNA
URS00006F3621_GR_chr7_129770396_129770480_85_-	1.682229011	2.85E-04	0.002778886	1.529008152	8.04E-04	0.006431005	precursor_RNA
hsa_piR_018849_DQ595899	1.682185383	2.85E-04	0.002778886	1.604967033	5.25E-04	0.005083772	piRNA
URS0000EFCAB2_GR_chr7_129770405_129770470_66_-	1.682185368	2.85E-04	0.002778886	NA	NA	NA	precursor_RNA
URS0000369E74_GR_chr1_173865633_173865686_54_-	2.734730075	2.93E-04	0.002839522	NA	NA	NA	misc_RNA
URS0000EFBBC6_GR_chr14_101054693_101054754_62_+	-1.852586788	2.97E-04	0.002847679	-2.161084646	1.30E-04	0.002617074	precursor_RNA
URS0000589AA3_GR_chr14_101054687_101054759_73_+	-1.851394451	2.99E-04	0.002847679	NA	NA	NA	precursor_RNA
URS0000507EBE_GR_chr1_173864369_173864445_77_-	1.731561517	2.99E-04	0.002847679	1.339425561	0.004819925	0.020473545	snoRNA
URS00001E28FC_GR_chr14_20657465_20657557_93_-	1.584791586	3.02E-04	0.002847679	NA	NA	NA	tRNA
URS0000272A92_GR_chr14_101054694_101054715_22_+	-1.849662951	3.02E-04	0.002847679	0.466972655	0.523807282	0.641153456	miRNA
URS00000ED3D8_GR_chr17_28861404_28861424_21_-	-3.053838465	3.23E-04	0.003025563	NA	NA	NA	miRNA
URS0000233681_GR_chr14_20659958_20660051_94_-	1.584616954	3.26E-04	0.003037742	NA	NA	NA	tRNA
URS00002E857A_GR_chr17_28861403_28861424_22_-	-3.069365474	3.34E-04	0.003097924	NA	NA	NA	miRNA
URS000075A30F_GR_chr7_130496126_130496147_22_+	-2.338953913	3.40E-04	0.003128522	NA	NA	NA	miRNA
URS000047CD44_GR_chr1_93847573_93847657_85_+	3.403855803	3.42E-04	0.00313256	3.193905197	3.83E-04	0.004133976	tRNA
URS000018A236_GR_chr16_69933142_69933164_23_+	-1.486458755	3.52E-04	0.003208651	-1.585567364	2.85E-04	0.003607357	miRNA
URS00002CA973_GR_chr14_20683273_20683361_89_+	1.53615132	3.73E-04	0.00337164	1.763160138	0.002791934	0.013734137	tRNA
URS0000559F9B_GR_chr15_65296133_65296167_35_+	2.386201877	3.81E-04	0.00337164	NA	NA	NA	snRNA
URS0000EFC4C1_GR_chr16_69933102_69933164_63_+	-1.425261624	3.84E-04	0.00337164	-0.389950205	0.490276472	0.608665197	precursor_RNA
URS0000EFE3FD_GR_chr17_28861382_28861424_43_-	-3.033656847	3.84E-04	0.00337164	-3.192939684	1.85E-04	0.003234359	precursor_RNA
URS000068196F_GR_chr17_28861369_28861440_72_-	-3.033717014	3.84E-04	0.00337164	NA	NA	NA	precursor_RNA
URS000069130B_GR_chr17_28861369_28861440_72_+	-3.033717014	3.84E-04	0.00337164	NA	NA	NA	precursor_RNA
URS000075A016_GR_chr17_28861371_28861438_68_+	-3.033717014	3.84E-04	0.00337164	NA	NA	NA	precursor_RNA
URS00002AB26F_GR_chr17_28861402_28861424_23_-	-3.032137382	3.89E-04	0.003396529	NA	NA	NA	miRNA
URS00001BBC70_GR_chr1_16520624_16520658_35_-	2.448292246	3.96E-04	0.003432679	NA	NA	NA	tRNA
URS000063F2D8_GR_chr14_100972670_100972741_72_+	-2.028993	4.20E-04	0.003616888	NA	NA	NA	snoRNA
URS000075AFFC_GR_chr14_100972670_100972740_71_+	-2.027941653	4.21E-04	0.003616888	NA	NA	NA	snoRNA
URS00002CA973_GR_chr14_20653099_20653192_94_-	1.520087459	4.23E-04	0.003617824	NA	NA	NA	tRNA
hsa_piR_020582_DQ598312	2.347010925	4.37E-04	0.003715925	NA	NA	NA	piRNA
URS0000237AF9_GR_chr7_130496126_130496148_23_+	-2.272503666	4.52E-04	0.003810424	NA	NA	NA	miRNA
URS00001E28FC_GR_chr14_20663193_20663285_93_-	1.51448395	4.53E-04	0.003810424	NA	NA	NA	tRNA
URS000052F380_GR_chr5_149430699_149430720_22_+	-1.749369234	4.66E-04	0.003896766	-1.648020476	0.001545572	0.009314372	miRNA
URS00001CC379_GR_chr7_129770447_129770470_24_-	1.617404763	4.76E-04	0.003909849	NA	NA	NA	miRNA
URS0000690130_GR_chr16_3193918_3193990_73_+	-1.721424273	4.76E-04	0.003909849	NA	NA	NA	tRNA
URS0000215F73_GR_chr16_3193920_3193992_73_+	-1.741807238	4.77E-04	0.003909849	-5.511946121	9.55E-05	0.002414947	tRNA
URS0000441B16_GR_chr9_136670654_136670674_21_+	-1.569122414	4.79E-04	0.003909849	NA	NA	NA	miRNA
URS0000759A7B_GR_chr1_75787072_75787149_78_+	1.582543069	4.79E-04	0.003909849	NA	NA	NA	snoRNA
URS0000668E0B_GR_chr1_75787072_75787150_79_+	1.575733644	4.88E-04	0.003967698	1.593143111	0.002086154	0.01171852	snoRNA
