smallRNA	logFC_Spheroid_Mono_FC	logFC_Spheroid_Mono_salmon	adj.P.Val_Spheroid_Mono_FC	adj.P.Val_Spheroid_Mono_salmon	file	transcript_id	exon_rank	Target_gene_name	gene_type
URS00005372AE_GR_chr17_38867645_38867673_29_+	1.7063656864521697	NA	4.149276019826083e-4	NA	NA	NA	NA	NA	NA
URS00000173B3_GR_chr11_66348120_66348150_31_+	1.9588359126980097	NA	4.149276019826083e-4	NA	NA	NA	NA	NA	NA
URS00005E4552_GR_chr17_38867645_38867672_28_+	1.5995136466199193	NA	4.2184232668961803e-4	NA	NA	NA	NA	NA	NA
URS00004DCDD7_GR_chr11_66348120_66348151_32_+	1.9128088664961655	NA	4.265344392811969e-4	NA	NA	NA	NA	NA	NA
hsa_piR_020668_DQ598445	2.2978747230446412	-1.7586568155112374	4.337786502691883e-4	0.014701722902719483	NA	NA	NA	NA	NA
hsa_piR_019912_DQ597341	4.4142389160998565	NA	4.4198314849148475e-4	NA	NA	NA	NA	NA	NA
hsa_piR_001318_DQ571823	4.3846357537290945	4.6772900742475265	4.436001723506684e-4	0.002937895991824591	NA	NA	NA	NA	NA
hsa_piR_020485_DQ598159	2.522045761282927	NA	4.5405837584671483e-4	NA	NA	NA	NA	NA	NA
hsa_piR_020326_DQ597916	2.8661663706216514	NA	4.777176774844272e-4	NA	UTR3	ENST00000467525.5	ENSE00001879927.1	FCGR2A	protein_coding
hsa_piR_006426_DQ578783	3.1064732800750194	2.9439332866446044	5.222220520335798e-4	0.007007897786102541	NA	NA	NA	NA	NA
URS00004E6E4D_GR_chr17_8226661_8226691_31_-	1.4796051025243848	1.656354313380378	5.345949658969043e-4	0.0034944290130317778	NA	NA	NA	NA	NA
hsa_piR_020541_DQ598252	2.3279180266508774	NA	5.345949658969043e-4	NA	NA	NA	NA	NA	NA
URS00005A1D31_GR_chr6_28693251_28693283_33_-	3.0199580432264206	NA	5.345949658969043e-4	NA	NA	NA	NA	NA	NA
hsa_piR_009294_DQ582566	1.3077222044291172	3.1396110758103575	5.351019716079176e-4	0.008701189872281679	NA	NA	NA	NA	NA
hsa_piR_008112_DQ581031	-0.9964780204239734	-2.389956750565971	5.446253389333477e-4	0.0027936711284866104	NA	NA	NA	NA	NA
URS00004BF3BA_GR_chr21_8215727_8215756_30_+	3.5662375355760947	4.833709500264838	5.697648631985896e-4	0.0055961069823511804	NA	NA	NA	NA	NA
hsa_piR_015249_DQ590830	1.4616059150238305	NA	5.769231079154463e-4	NA	NA	NA	NA	NA	NA
hsa_piR_018573_DQ595539	4.4460017591108505	3.9552055208085193	5.845778471807527e-4	0.00273621119604698	NA	NA	NA	NA	NA
hsa_piR_020548_DQ598263	4.232633774204841	4.18362421562788	6.051499715451591e-4	0.008394777125886422	NA	NA	NA	NA	NA
URS00005DADAC_GR_chr6_28796006_28796035_30_-	1.9143664152255528	NA	6.145451099638714e-4	NA	NA	NA	NA	NA	NA
hsa_piR_014923_DQ590404	4.268823970099527	4.487705727989542	6.174621427528405e-4	0.009714438091621067	NA	NA	NA	NA	NA
hsa_piR_000823_DQ571031	3.82634047632823	NA	6.438084865592452e-4	NA	UTR3	ENST00000642041.1	ENSE00001821026.2	PHGDH	protein_coding
hsa_piR_008033_DQ580927	4.571241922762365	8.057112743768334	6.438084865592452e-4	0.004742672966737632	NA	NA	NA	NA	NA
hsa_piR_008113_DQ581032	-0.9727494801251488	-0.7224053575075828	6.438084865592452e-4	0.0875749687995326	NA	NA	NA	NA	NA
URS000027190B_GR_chr21_8216294_8216322_29_+	3.5346458410756627	5.0325735581610065	6.438084865592452e-4	0.013005567882471066	NA	NA	NA	NA	NA
hsa_piR_000765_DQ570956	3.130304365957554	NA	6.478812376729078e-4	NA	UTR3	ENST00000467525.5	ENSE00001879927.1	FCGR2A	protein_coding
URS00004570F0_GR_chr6_28796004_28796035_32_-	1.8066408119168904	NA	6.679392581463129e-4	NA	NA	NA	NA	NA	NA
hsa_piR_009228_DQ582496	3.256788108235698	NA	6.71201566976235e-4	NA	NA	NA	NA	NA	NA
hsa_piR_005076_DQ577008	2.941822376814941	2.336725215767571	6.719638881174647e-4	0.04635624231697256	NA	NA	NA	NA	NA
hsa_piR_016945_DQ593356	2.3607423155543366	NA	6.978965253691978e-4	NA	NA	NA	NA	NA	NA
hsa_piR_017724_DQ594465	1.8615562581217304	NA	7.449694313809471e-4	NA	NA	NA	NA	NA	NA
hsa_piR_004153_DQ575660	3.751430727926344	NA	7.909161092884706e-4	NA	NA	NA	NA	NA	NA
URS00005C8991_GR_chr3_155661093_155661123_31_+	3.7623423565633383	NA	7.963599921255153e-4	NA	NA	NA	NA	NA	NA
hsa_piR_017716_DQ594453	3.779197237418491	NA	7.999284169524924e-4	NA	NA	NA	NA	NA	NA
hsa_piR_009295_DQ582567	3.996568426666396	NA	8.013850722235399e-4	NA	UTR3	ENST00000467525.5	ENSE00001879927.1	FCGR2A	protein_coding
URS00005874CD_GR_chr21_8218452_8218479_28_+	4.154616032431554	4.175853697670272	8.013850722235399e-4	0.01078934909489362	NA	NA	NA	NA	NA
URS00001E742D_GR_chr1_146039401_146039429_29_+	1.816502032209872	NA	8.114962735125522e-4	NA	NA	NA	NA	NA	NA
URS0000354F1D_GR_chr1_146039401_146039430_30_+	1.8176030298109795	NA	8.217796842144375e-4	NA	NA	NA	NA	NA	NA
hsa_piR_019824_DQ597217	3.95701642040255	NA	8.255963477138413e-4	NA	UTR3	ENST00000642041.1	ENSE00001821026.2	PHGDH	protein_coding
hsa_piR_016677_DQ592953	3.6765665992126895	NA	8.322420847093188e-4	NA	NA	NA	NA	NA	NA
hsa_piR_021190_DQ599117	4.211413241942929	4.8698213185491	8.388068596731534e-4	0.0035904683761103836	NA	NA	NA	NA	NA
hsa_piR_004309_DQ575884	1.9277219903153817	2.5881165548019327	8.452141183140778e-4	0.007946422341044592	NA	NA	NA	NA	NA
URS00003B4A72_GR_chr1_120844274_120844299_26_-	4.231433991872732	NA	8.46947290835624e-4	NA	NA	NA	NA	NA	NA
URS00003E868B_GR_chr21_8218421_8218452_32_+	4.126029468383696	3.7111633063025797	8.888204383169422e-4	0.008762957108400447	NA	NA	NA	NA	NA
URS00001650DC_GR_chr21_8210692_8210721_30_+	5.429569464900494	3.995420939024089	8.901456391947473e-4	0.007007897786102541	NA	NA	NA	NA	NA
URS000039F481_GR_chr1_16545980_16546006_27_-	3.8144347410856962	NA	8.921077660367816e-4	NA	UTR3	ENST00000467525.5	ENSE00001879927.1	FCGR2A	protein_coding
URS000030DA62_GR_chr1_146039401_146039431_31_+	1.7473510284912557	NA	9.450300419547609e-4	NA	NA	NA	NA	NA	NA
hsa_piR_015254_DQ590835	3.7164613497196184	4.8540557447963195	9.739884989225559e-4	0.006794894078829383	NA	NA	NA	NA	NA
hsa_piR_001184_DQ571550	2.2208023173684888	4.278058688626096	9.983447288248117e-4	0.00581316252399666	NA	NA	NA	NA	NA
hsa_piR_017723_DQ594464	1.4225829185559151	NA	0.0010199639164460933	NA	NA	NA	NA	NA	NA
hsa_piR_002485_DQ573352	3.6288033850208166	NA	0.0010259707055684532	NA	NA	NA	NA	NA	NA
hsa_piR_020809_DQ598639	3.531657177484252	3.318099718230779	0.0010259707055684532	0.007447570657576837	NA	NA	NA	NA	NA
URS000035DA2D_GR_chr1_146039402_146039429_28_+	3.0987091110543066	NA	0.0010328575424406628	NA	NA	NA	NA	NA	NA
URS00004CEA14_GR_chr12_124927842_124927869_28_-	-1.6037774747638927	-1.7440646323870475	0.0010351727000635943	0.003964909976982233	NA	NA	NA	NA	NA
URS00001395C9_GR_chr16_47505329_47505356_28_+	3.510266884849339	NA	0.0010586425604702278	NA	NA	NA	NA	NA	NA
URS00001672F3_GR_chr6_26556545_26556575_31_+	1.8625831521959961	NA	0.0010601904250665069	NA	NA	NA	NA	NA	NA
URS0000372535_GR_chr16_47505331_47505357_27_+	1.7684727058477652	3.171019581332718	0.0010645074133594761	0.009714438091621067	NA	NA	NA	NA	NA
hsa_piR_016240_DQ592148	3.3884212374292844	NA	0.0011427502331089285	NA	NA	NA	NA	NA	NA
URS00000E6438_GR_chr1_120844275_120844302_28_-	3.3741547564431316	NA	0.001159440528294443	NA	NA	NA	NA	NA	NA
URS0000009A89_GR_chr1_16545983_16546010_28_-	3.4284935879950904	NA	0.001159440528294443	NA	UTR3	ENST00000467525.5	ENSE00001879927.1	FCGR2A	protein_coding
hsa_piR_020381_DQ597997	3.7912083395660385	3.5256646513471983	0.0012037183886853488	0.012071300178589501	NA	NA	NA	NA	NA
URS00006034AB_GR_chr21_8216295_8216322_28_+	3.6682759184225526	NA	0.0012263957485496618	NA	NA	NA	NA	NA	NA
hsa_piR_000651_DQ570812	2.194788784634335	NA	0.0012366543364579013	NA	NA	NA	NA	NA	NA
hsa_piR_000794_DQ570992	1.7856969273770247	NA	0.0012402238456721748	NA	NA	NA	NA	NA	NA
URS000012F7C1_GR_chr1_146035693_146035720_28_+	6.413546016791987	NA	0.0013006757045094515	NA	NA	NA	NA	NA	NA
URS000044CE8A_GR_chr1_161523849_161523879_31_-	2.760922193272059	NA	0.001320389681519513	NA	UTR3	ENST00000467525.5	ENSE00001879927.1	FCGR2A	protein_coding
URS00001D1556_GR_chr21_8215387_8215417_31_+	2.457891600629347	2.085960711031346	0.0013770882526215555	0.0034262472472209164	NA	NA	NA	NA	NA
URS000044DA37_GR_chr1_161523848_161523879_32_-	2.757367829651622	6.020178595972884	0.001418357546207267	0.01567593287495728	UTR3	ENST00000467525.5	ENSE00001879927.1	FCGR2A	protein_coding
hsa_piR_019914_DQ597347	1.0562475737688004	NA	0.001418357546207267	NA	NA	NA	NA	NA	NA
hsa_piR_016742_DQ593049	2.5931551723552184	NA	0.001528142674568151	NA	NA	NA	NA	NA	NA
URS0000153677_GR_chr1_153671253_153671283_31_+	1.8857830160890567	NA	0.0015374349023274054	NA	NA	NA	NA	NA	NA
URS0000307E4B_GR_chr6_27335033_27335062_30_-	1.261085016143027	NA	0.0015381276798585501	NA	NA	NA	NA	NA	NA
URS00000BDE9E_GR_chr14_102317132_102317162_31_+	1.9068063898789216	2.6929687979316173	0.0015532286581799743	0.003628364400564643	NA	NA	NA	NA	NA
URS000051F814_GR_chr2_229180940_229180967_28_-	1.9774460869098296	2.206428789401625	0.0015788988223127973	0.013906347598771497	NA	NA	NA	NA	NA
URS0000388381_GR_chr3_45688998_45689024_27_-	-1.543961431861375	NA	0.0015999219461524106	NA	NA	NA	NA	NA	NA
URS00005C4FD3_GR_chr1_153671252_153671282_31_+	1.7640161218799841	NA	0.0017114334700928063	NA	NA	NA	NA	NA	NA
hsa_piR_020496_DQ598175	4.177003617158364	NA	0.0017221619505067036	NA	NA	NA	NA	NA	NA
URS0000489667_GR_chr6_27335032_27335062_31_-	1.1599429466749926	NA	0.0017582754011495623	NA	NA	NA	NA	NA	NA
hsa_piR_019752_DQ597110	1.7625637565553771	NA	0.0017647532015058196	NA	NA	NA	NA	NA	NA
hsa_piR_004307_DQ575881	1.30440300584383	NA	0.0019006193433212214	NA	NA	NA	NA	NA	NA
hsa_piR_019825_DQ597218	3.5215293387889037	NA	0.00196708100336808	NA	UTR3	ENST00000467525.5	ENSE00001879927.1	FCGR2A	protein_coding
URS0000144669_GR_chr2_47280760_47280790_31_-	1.8589806727803566	NA	0.002095080042048918	NA	NA	NA	NA	NA	NA
hsa_piR_019951_DQ597403	1.0099709248465105	NA	0.002249596359253933	NA	NA	NA	NA	NA	NA
URS000037961A_GR_chr21_8218416_8218446_31_+	3.1564273404528755	NA	0.0024863533576062018	NA	NA	NA	NA	NA	NA
hsa_piR_004308_DQ575882	0.9922371140147117	NA	0.0024904810666215105	NA	NA	NA	NA	NA	NA
URS000043000B_GR_chr1_161523847_161523878_32_-	1.836924977826743	3.6865755462018703	0.0028371996091926966	0.0033990934706272114	UTR3	ENST00000467525.5	ENSE00001879927.1	FCGR2A	protein_coding
hsa_piR_016745_DQ593052	-0.9600155073594943	NA	0.0034083684079624687	NA	NA	NA	NA	NA	NA
URS00004949A9_GR_chr21_8215846_8215876_31_+	1.584657373344191	2.783179239365108	0.0034591612853341527	0.002821738001485103	NA	NA	NA	NA	NA
hsa_piR_004506_DQ576200	4.754293552507691	NA	0.0035787780006626088	NA	NA	NA	NA	NA	NA
hsa_piR_001040_DQ571333	2.6875481913096673	2.9861611368312007	0.003592168430487647	0.019204261678421628	NA	NA	NA	NA	NA
hsa_piR_001168_DQ571524	1.9449309049530559	NA	0.0036179071487466566	NA	NA	NA	NA	NA	NA
hsa_piR_016984_DQ593431	4.813880512380205	4.774974152196223	0.0039209815357971484	0.022214317710987894	NA	NA	NA	NA	NA
URS0000068EE0_GR_chr5_181188458_181188488_31_-	2.769634382445892	NA	0.004061497680052242	NA	NA	NA	NA	NA	NA
URS000033618B_GR_chr1_153671251_153671281_31_+	1.5051095331244482	NA	0.004473822154761552	NA	NA	NA	NA	NA	NA
URS0000001B02_GR_chrM_3002_3029_28_+	1.941287541362858	NA	0.005385365984092701	NA	NA	NA	NA	NA	NA
hsa_piR_020829_DQ598677	1.7493828578871367	NA	0.005585172828943879	NA	NA	NA	NA	NA	NA
hsa_piR_020582_DQ598312	4.279889747970135	NA	0.005648907744472772	NA	UTR3	ENST00000610854.2	ENSE00003731174.2	NEFL	protein_coding
hsa_piR_020582_DQ598312	4.279889747970135	NA	0.005648907744472772	NA	UTR3	ENST00000639464.1	ENSE00003802965.1	NEFL	protein_coding
URS00003DC32E_GR_chr2_233275727_233275755_29_+	-1.0851667928502717	NA	0.005832883315171873	NA	NA	NA	NA	NA	NA
hsa_piR_018849_DQ595899	0.3641700049962715	0.1897565184627723	0.008120119867820748	0.5571209050287984	NA	NA	NA	NA	NA
hsa_piR_022628_DQ600952	1.376433732461667	1.0965224665277962	0.010013511384127908	0.06998447156078494	NA	NA	NA	NA	NA
URS000033192B_GR_chr13_91350756_91350782_27_+	0.8761895752630173	2.6775833010887835	0.011305972312187431	0.17437888483555775	NA	NA	NA	NA	NA
URS0000481DA7_GR_chr13_91350756_91350784_29_+	0.8761895752630173	NA	0.011305972312187431	NA	NA	NA	NA	NA	NA
hsa_piR_021462_DQ599459	0.8761895752630173	NA	0.011305972312187431	NA	NA	NA	NA	NA	NA
hsa_piR_020391_DQ598016	1.3737144052549346	NA	0.012562535684277449	NA	UTR3	ENST00000541682.7	ENSE00002236422.2	HES7	protein_coding
URS00001DBD57_GR_chr1_146039420_146039450_31_+	1.0088936845102685	NA	0.016175051238988977	NA	NA	NA	NA	NA	NA
URS00002CD0DD_GR_chr3_132229142_132229171_30_-	0.6080395864811137	NA	0.021129732371579286	NA	NA	NA	NA	NA	NA
hsa_piR_019068_DQ596183	0.6344662052647383	NA	0.0472575168596208	NA	NA	NA	NA	NA	NA
hsa_piR_016658_DQ592931	0.42158898125063526	0.3676042835968687	0.06000221852521845	0.17908572360704741	NA	NA	NA	NA	NA
hsa_piR_021032_DQ598918	0.4584498804832542	NA	0.06324400092439245	NA	NA	NA	NA	NA	NA
URS000007B044_GR_chr6_28607156_28607184_29_+	0.40503620768232285	NA	0.06566026089750661	NA	NA	NA	NA	NA	NA
URS0000166D4E_GR_chr6_26720991_26721017_27_-	0.3280679100810113	NA	0.08773021623386049	NA	NA	NA	NA	NA	NA
hsa_piR_001356_DQ571873	0.9950970804134922	NA	0.1285106538607796	NA	NA	NA	NA	NA	NA
hsa_piR_004993_DQ576880	-0.3509470927136249	3.0457721336841876	0.15151924017918647	0.03844869638538157	NA	NA	NA	NA	NA
hsa_piR_020364_DQ597971	-0.2941004119962827	NA	0.164919870887232	NA	UTR3	ENST00000587424.2	ENSE00002942501.2	SRSF8	protein_coding
hsa_piR_016946_DQ593358	0.515216600667654	0.23635306251601484	0.1957607443266995	0.6641513968923987	NA	NA	NA	NA	NA
hsa_piR_016659_DQ592932	0.2009508630585568	-0.2970359461927865	0.2871467986034192	0.3224407163261686	NA	NA	NA	NA	NA
URS000044473B_GR_chr1_121020770_121020796_27_-	0.1858929917629366	NA	0.3912057436075415	NA	NA	NA	NA	NA	NA
hsa_piR_020500_DQ598190	-0.12149709054596602	NA	0.4646391044997162	NA	NA	NA	NA	NA	NA
URS0000036192_GR_chr21_8216553_8216581_29_+	-0.26814971758112005	0.9433359275916677	0.5548112714326718	0.0704079089472149	NA	NA	NA	NA	NA
URS000042B8BF_GR_chr6_28607156_28607185_30_+	0.10017685235859819	NA	0.5586113653936792	NA	NA	NA	NA	NA	NA
hsa_piR_019324_DQ596538	-0.24308500876415096	2.4698038205867303	0.5859050742296872	0.008762957108400447	NA	NA	NA	NA	NA
URS00001B460B_GR_chr6_28607156_28607186_31_+	9.192212778454945e-4	NA	0.9958086307298092	NA	NA	NA	NA	NA	NA
URS0000573EBC_GR_chr1_155920020_155920047_28_-	NA	6.684926398256465	NA	0.0027936711284866104	NA	NA	NA	NA	NA
URS000030AF74_GR_chr22_45240818_45240862_45_-	NA	9.173882394439	NA	0.003628364400564643	NA	NA	NA	NA	NA
hsa_piR_019911_DQ597340	NA	5.223937879433102	NA	0.005688729588863573	NA	NA	NA	NA	NA
URS000056FCD5_GR_chr11_122559988_122560016_29_+	NA	7.322690818467162	NA	0.006984477810112624	NA	NA	NA	NA	NA
hsa_piR_000805_DQ571003	NA	5.655298987309508	NA	0.008701189872281679	UTR5	ENST00000549240.1	ENSE00002395720.1	CLBA1	protein_coding
hsa_piR_000805_DQ571003	NA	5.655298987309508	NA	0.008701189872281679	UTR5	ENST00000407192.5	ENSE00001560427.1	GET4	protein_coding
hsa_piR_000805_DQ571003	NA	5.655298987309508	NA	0.008701189872281679	UTR5	ENST00000539827.5	ENSE00002293604.1	HOMER3	protein_coding
hsa_piR_000805_DQ571003	NA	5.655298987309508	NA	0.008701189872281679	UTR3	ENST00000376729.10	ENSE00001920165.3	WDR13	protein_coding
hsa_piR_022290_DQ600508	NA	-3.2600985457585123	NA	0.00912716551342395	NA	NA	NA	NA	NA
URS00005E324D_GR_chr6_28881435_28881462_28_+	NA	-2.628093294102128	NA	0.009172169762694818	NA	NA	NA	NA	NA
hsa_piR_020450_DQ598104	NA	2.3134969186011998	NA	0.030173471896020872	NA	NA	NA	NA	NA
hsa_piR_008114_DQ581033	NA	-1.7324884881706857	NA	0.03203034496306091	NA	NA	NA	NA	NA
hsa_piR_005660_DQ577772	NA	4.619300889423344	NA	0.037972522662978535	NA	NA	NA	NA	NA
URS0000432A51_GR_chr17_75035152_75035183_32_+	NA	-1.1203264496434828	NA	0.04323511391029787	NA	NA	NA	NA	NA
URS0000354DD9_GR_chr7_139340736_139340766_31_+	NA	2.146222585309702	NA	0.06827971390140124	NA	NA	NA	NA	NA
hsa_piR_016926_DQ593325	NA	0.4824264617279663	NA	0.10941927813565011	NA	NA	NA	NA	NA
hsa_piR_001152_DQ571500	NA	-0.5644666493691597	NA	0.15647250793728257	NA	NA	NA	NA	NA
hsa_piR_004801_DQ576605	NA	1.692655995245259	NA	0.5788754642576484	NA	NA	NA	NA	NA
URS0000166D4E_GR_chr6_26554170_26554197_28_+	NA	-0.8508299813973927	NA	0.5924348066703616	NA	NA	NA	NA	NA
hsa_piR_002468_DQ573323	NA	0.527869273460702	NA	0.6339320621580091	NA	NA	NA	NA	NA
