sRNA	TCGA-BH-A0BT-01A-11R-A12O-13_mirna_gdc_realn	TCGA-BH-A0BT-11A-21R-A12O-13_mirna_gdc_realn	TCGA-BH-A18L-01A-32R-A12C-13_mirna_gdc_realn	TCGA-BH-A18L-11A-42R-A12C-13_mirna_gdc_realn	TCGA-BH-A1FC-01A-11R-A13P-13_mirna_gdc_realn	TCGA-BH-A1FC-11A-32R-A13P-13_mirna_gdc_realn	TCGA-BH-A1FG-01A-11R-A13P-13_mirna_gdc_realn	TCGA-BH-A1FG-11B-12R-A13P-13_mirna_gdc_realn	TCGA-BH-A1FU-01A-11R-A14C-13_mirna_gdc_realn	TCGA-BH-A1FU-11A-23R-A14C-13_mirna_gdc_realn	TCGA-E9-A1N4-01A-11R-A14L-13_mirna_gdc_realn	TCGA-E9-A1N4-11A-33R-A14L-13_mirna_gdc_realn	TCGA-E9-A1N5-01A-11R-A14C-13_mirna_gdc_realn	TCGA-E9-A1N5-11A-41R-A14C-13_mirna_gdc_realn	TCGA-GI-A2C8-01A-11R-A16E-13_mirna_gdc_realn	TCGA-GI-A2C8-11A-22R-A16E-13_mirna_gdc_realn	TCGA-GI-A2C9-01A-11R-A21U-13_mirna_gdc_realn	TCGA-GI-A2C9-11A-22R-A21U-13_mirna_gdc_realn
URS0000452BB7_GR_chr1_74625_74655_31_+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS000018437A_GR_chr1_75069_75095_27_-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000306613_GR_chr1_75435_75464_30_+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_009031_DQ582238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_014758_DQ590196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_022746_DQ601116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_000118_DQ570088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_020701_DQ598493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_011042_DQ584900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_009229_DQ582497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_017443_DQ594110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_014491_DQ589850	0.92	0	0	0.92	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_003686_DQ575011	0	0	0	0	0	0	0	0	0.26	0	0	0	0	0	0	0	0	0.23
URS0000228B60_GR_chr1_135737_135765_29_-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS000048F3D1_GR_chr1_135739_135765_27_-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000478F14_GR_chr1_135741_135780_40_-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_004080_DQ575563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_003422_DQ574645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_002350_DQ573170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_005339_DQ577349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_011103_DQ584983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS000007DC40_GR_chr1_137843_137871_29_-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_004670_DQ576410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_003325_DQ574507	0	0	0.71	1.42	0	0	0.36	1.42	0	0	0	0	0	0	0	0	0	0
URS00000935AA_GR_chr1_138364_138393_30_-	0	0	0.71	1.42	0	0	0.36	1.42	0	0	0	0	0	0	0	0	0	0
hsa_piR_005933_DQ578146	0	0	0	0	0	0	0	0	0	0.11	0	0	0	0	0	0	0	0
hsa_piR_010830_DQ584610	0	0	0	0	0	0	0	0	0	0.34	0	0	0	0	0	0.72	0	0
URS00002EB1FE_GR_chr1_138425_138452_28_-	0	0	0	0	0	0	0	0	0	0.34	0	0	0	0	0	0.72	0	0
hsa_piR_007363_DQ580039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_014255_DQ589481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.63
hsa_piR_020642_DQ598407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_002087_DQ572788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_005477_DQ577524	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0
hsa_piR_010755_DQ584518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_018724_DQ595736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_003693_DQ575018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_002274_DQ573067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_021722_DQ599768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_003560_DQ574835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_011072_DQ584937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_022351_DQ600587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_018193_DQ595057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_020944_DQ598813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_012719_DQ587202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_017294_DQ593908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_009647_DQ583010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_003721_DQ575054	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0
hsa_piR_017474_DQ594146	0	0	0	0	0	0	0	0	0	0	0	0.95	0	0	0	0	0	0
hsa_piR_021563_DQ599580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000147935_GR_chr1_149784_149810_27_-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_005624_DQ577728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_004602_DQ576330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_011979_DQ586196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_023017_DQ601464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS000025781F_GR_chr1_155803_155831_29_-	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0.72	0	0.62	0
hsa_piR_000713_DQ570885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_006675_DQ579133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_018558_DQ595521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_015100_DQ590643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_005261_DQ577244	0.91	0	0	1.82	0	0	0	0	0	0	0	0	0	0	0.91	0.91	0.91	0
hsa_piR_001215_DQ571605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_018686_DQ595692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS000007BD46_GR_chr1_369262_369288_27_+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_013384_DQ588147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS000033F8E1_GR_chr1_443011_443039_29_-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS00000A7DCF_GR_chr1_444816_444843_28_-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_014505_DQ589868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_014943_DQ590432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_002204_DQ572955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000519AED_GR_chr1_494815_494840_26_-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_019161_DQ596298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_021808_DQ599874	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14	0	0	0	0
URS00000FC6A1_GR_chr1_494816_494846_31_-	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14	0	0	0	0
URS00001CB51E_GR_chr1_494817_494846_30_-	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14	0	0	0	0
hsa_piR_003759_DQ575105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_004245_DQ575787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS00004513E6_GR_chr1_498162_498191_30_-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000098023_GR_chr1_498163_498191_29_-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_007045_DQ579609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS00000012EC_GR_chr1_629433_629501_69_+	1.36	0.24	4.62	2.68	1.58	2.17	4.87	0.46	2.38	0.62	1.43	6.47	5.06	1.06	5.75	2.28	1.01	0.25
URS000076C388_GR_chr1_629434_629501_68_+	0.24	0	1.21	0.33	0.17	0.83	1.25	0	1.24	0.17	0.17	1.17	0.33	0	1.42	1.02	0	0
URS00002337B8_GR_chr1_629490_629570_81_-	8.37	50.35	13.89	11.29	6.61	5.43	12.57	22.51	18.49	16.82	6.2	34.05	2.52	5.47	54.83	34.07	11.3	33.29
URS0000521EE0_GR_chr1_629498_629569_72_-	7.93	49.91	11.61	10.51	6.06	5.28	11.77	22.1	16.98	16.56	5.14	32.17	2.12	4.36	48.45	29.51	10.24	31.05
URS0000DCB5E1_GR_chr1_629499_629525_27_-	7.44	48.28	7.52	8.78	5.74	4.8	9.69	18.43	15.73	12.56	4.58	28.51	1.49	3.58	38.23	25.96	9.08	26.81
URS0000DE3548_GR_chr1_629499_629526_28_-	7.72	49.68	7.88	9.54	5.78	4.96	10.53	21.23	16.17	15.48	4.74	29.87	1.57	3.78	39.39	26.48	9.36	29.45
URS0000DBCB96_GR_chr1_629499_629538_40_-	7.8	49.8	10.15	10.21	5.96	5.24	10.93	21.79	16.45	16.28	4.82	31.07	1.97	3.98	42.78	26.72	9.84	30.81
URS0000DC244F_GR_chr1_629499_629548_50_-	7.8	49.8	10.15	10.21	5.96	5.24	10.93	21.79	16.47	16.28	4.82	31.07	1.97	3.98	42.91	26.88	9.89	30.81
URS0000DD91BE_GR_chr1_629499_629551_53_-	7.8	49.8	10.15	10.21	5.96	5.24	10.95	21.79	16.47	16.28	4.84	31.18	1.97	3.98	42.97	26.95	9.89	30.81
URS0000DC46F0_GR_chr1_629499_629555_57_-	7.8	49.83	10.21	10.25	5.96	5.24	10.98	21.97	16.47	16.28	4.91	31.55	2	3.98	44.28	27.31	9.94	30.89
URS0000A0C3D0_GR_chr1_629499_629558_60_-	7.8	49.83	10.35	10.25	5.96	5.24	10.98	21.97	16.47	16.28	4.91	31.55	2	3.98	45.23	27.44	9.94	30.94
URS0000DF26DD_GR_chr1_629499_629559_61_-	7.8	49.83	10.39	10.25	5.96	5.24	10.98	21.97	16.47	16.28	4.91	31.55	2	3.98	45.23	27.49	9.94	30.94
URS0000DF113F_GR_chr1_629499_629560_62_-	7.8	49.83	10.39	10.25	5.96	5.24	10.98	21.97	16.47	16.28	4.91	31.55	2	3.98	45.23	27.49	9.94	30.94
URS0000DEEFFD_GR_chr1_629499_629561_63_-	7.8	49.83	10.44	10.25	6.01	5.24	11.07	21.97	16.47	16.28	4.91	31.59	2	3.98	45.32	27.49	9.99	30.94
URS0000DE4DF0_GR_chr1_629499_629563_65_-	7.91	49.91	11.46	10.51	6.01	5.24	11.77	22.05	16.98	16.56	5.09	32.17	2.12	4.27	47.94	28.7	10.19	31.05
URS00003BE447_GR_chr1_629499_629566_68_+	7.93	49.91	11.46	10.51	6.01	5.28	11.77	22.1	16.98	16.56	5.09	32.17	2.12	4.31	48.08	28.79	10.19	31.05
URS0000A160DA_GR_chr1_629499_629567_69_-	7.93	49.91	11.51	10.51	6.06	5.28	11.77	22.1	16.98	16.56	5.09	32.17	2.12	4.31	48.18	28.89	10.19	31.05
URS0000DDDB39_GR_chr1_629499_629568_70_-	7.93	49.91	11.56	10.51	6.06	5.28	11.77	22.1	16.98	16.56	5.14	32.17	2.12	4.36	48.33	29.46	10.24	31.05
URS0000529F29_GR_chr1_629499_629569_71_-	7.93	49.91	11.61	10.51	6.06	5.28	11.77	22.1	16.98	16.56	5.14	32.17	2.12	4.36	48.45	29.51	10.24	31.05
URS00000433C6_GR_chr1_629499_629570_72_-	8.37	50.3	13.73	11.29	6.54	5.43	12.53	22.51	18.49	16.79	6.2	34.01	2.52	5.44	54.67	33.65	11.3	33.25
URS00000A75D2_GR_chr1_629499_629570_72_+	8.37	50.3	13.73	11.29	6.54	5.43	12.53	22.51	18.49	16.79	6.2	34.01	2.52	5.44	54.67	33.65	11.3	33.25
URS000077962E_GR_chr1_629500_629570_71_-	8.06	49.93	12.86	10.75	6.22	5.16	12.03	21.17	18.19	16.75	6.16	30.29	2.31	5.36	54.31	33.19	10.94	33.13
URS00002A6C58_GR_chr1_629500_629571_72_-	8.06	49.93	12.93	10.75	6.22	5.16	12.03	21.17	18.19	16.75	6.16	30.4	2.31	5.46	54.31	33.25	10.94	33.13
URS0000DD8165_GR_chr1_629501_629568_68_-	7.62	49.54	10.69	9.97	5.74	5.02	11.23	20.76	16.69	16.51	5.1	28.45	1.91	4.29	47.85	28.92	9.88	30.92
URS0000EC8040_GR_chr1_629501_629570_70_-	8.06	49.93	12.86	10.75	6.22	5.16	11.99	21.17	18.19	16.75	6.16	30.29	2.31	5.36	54.19	33.11	10.94	33.13
URS00001CA73E_GR_chr1_629506_629570_65_-	0.58	0.5	5.61	1.08	0.6	0.19	1.64	0.72	2.08	0.51	1.38	3.1	0.55	1.46	13.46	7.23	1.54	2.48
URS0000B939A4_GR_chr1_629512_629570_59_-	0.58	0.5	5.54	1.08	0.6	0.19	1.6	0.72	2.04	0.51	1.38	2.94	0.55	1.46	13.22	6.97	1.46	2.44
URS0000A25AD2_GR_chr1_629551_629570_20_-	0.1	0.34	0.54	0.22	0.18	0.04	0.18	0.16	0.7	0.23	0.8	0.83	0.25	0.39	2.59	2.69	0.55	1.33
URS0000DCB9BF_GR_chr1_629572_629591_20_+	4.54	1.56	2.57	1.7	1.32	1.47	0.12	0.44	0.8	0.29	0.29	5.67	0.98	0.37	1.4	1	1.56	1.39
URS0000DC5E62_GR_chr1_629572_629594_23_+	5.81	1.8	3.05	2.68	1.6	1.58	0.39	0.72	1.23	0.22	0.22	7.28	1.34	0.45	1.77	1.04	1.65	1.6
URS0000DED4EC_GR_chr1_629572_629597_26_+	1.5	0.4	0.85	0.6	0.78	0.38	0.13	0.24	0.46	0.04	0.04	2.44	0.35	0.09	0.98	0.43	0.97	0.38
URS0000DEAF1C_GR_chr1_629572_629601_30_+	0.99	0.8	1.68	0.64	1.76	1.25	0.44	0.17	0.43	0.31	0.21	3.87	0.28	0.15	4.89	0.72	1.3	0.77
URS0000A44C08_GR_chr1_629572_629606_35_+	1.38	0.97	3.14	0.87	2.09	1.4	0.62	0.41	0.51	0.31	0.31	4.5	0.62	0.31	6.49	0.91	1.86	0.93
URS0000DE0DC0_GR_chr1_629572_629607_36_+	0.9	0.64	2.13	0.57	1.37	0.98	0.4	0.27	0.33	0.2	0.2	2.97	0.4	0.2	4.62	0.72	1.19	0.61
URS0000DCA1D2_GR_chr1_629572_629616_45_+	0.74	0.31	1.41	0.28	0.81	0.48	0.34	0.25	0.45	0.1	0.66	2.42	0.38	0.29	2.76	0.54	1.13	0.6
URS00003BD079_GR_chr1_629572_629618_47_+	0.76	0.31	1.61	0.28	0.92	0.48	0.41	0.31	0.45	0.1	0.66	2.64	0.38	0.4	3.03	0.61	1.26	0.6
URS0000DD8D9B_GR_chr1_629572_629623_52_+	0.91	0.36	1.64	0.45	1.07	0.64	0.55	0.36	0.7	0.41	0.66	3.1	0.47	0.55	3.94	0.74	1.46	0.75
URS0000DEF114_GR_chr1_629572_629625_54_+	0.91	0.36	1.64	0.45	1.07	0.64	0.55	0.36	0.7	0.41	0.66	3.13	0.47	0.55	3.97	0.74	1.46	0.75
URS0000DBC2F8_GR_chr1_629572_629628_57_+	0.58	0.22	1.01	0.28	0.66	0.39	0.35	0.24	0.45	0.26	0.42	1.97	0.3	0.35	2.47	0.47	0.92	0.47
URS00002E11B0_GR_chr1_629572_629638_67_+	0.58	0.22	1.01	0.28	0.66	0.39	0.35	0.24	0.45	0.26	0.42	1.97	0.3	0.35	2.47	0.47	0.92	0.47
URS000004104A_GR_chr1_629572_629639_68_+	0.58	0.22	1.01	0.28	0.66	0.39	0.35	0.24	0.45	0.26	0.42	2.02	0.3	0.35	2.47	0.47	0.92	0.47
URS0000DCF513_GR_chr1_629584_629639_56_+	0.35	0.05	0.6	0.14	0.3	0.12	0.26	0.17	0.36	0.2	0.38	1.19	0.23	0.31	1.45	0.31	0.66	0.31
URS000083354E_GR_chr1_630677_630745_69_-	0.27	0.15	0.86	0.19	0.43	0.03	0.71	0.08	0.2	0.07	0.25	1.04	0.1	0.16	0.45	0.54	0.58	0.09
URS00000428DF_GR_chr1_630681_630748_68_+	0.27	0.15	0.86	0.21	0.43	0.03	0.71	0.08	0.2	0.07	0.25	1.04	0.1	0.16	0.45	0.54	0.58	0.09
URS0000DCC283_GR_chr1_630682_630712_31_+	0.06	0	0.35	0.03	0.12	0	0.42	0	0.03	0	0.13	0.22	0	0.01	0.06	0.15	0.15	0
URS0000DDF359_GR_chr1_630682_630713_32_+	0.06	0.01	0.35	0.03	0.12	0	0.42	0	0.03	0	0.13	0.26	0	0.01	0.06	0.15	0.15	0
URS0000DF577A_GR_chr1_630682_630725_44_+	0.06	0.01	0.53	0.07	0.18	0.03	0.6	0.02	0.1	0.07	0.17	0.8	0.03	0.01	0.19	0.51	0.37	0.03
URS00005A13F1_GR_chr1_630682_630726_45_+	0.06	0.01	0.53	0.07	0.18	0.03	0.6	0.02	0.1	0.07	0.17	0.8	0.03	0.01	0.2	0.51	0.37	0.03
URS000077E420_GR_chr1_630682_630728_47_+	0.08	0.08	0.6	0.07	0.21	0.03	0.6	0.05	0.12	0.07	0.25	0.8	0.03	0.01	0.23	0.51	0.37	0.03
URS0000DEB71A_GR_chr1_630682_630733_52_+	0.08	0.15	0.67	0.19	0.21	0.03	0.6	0.05	0.12	0.07	0.25	0.86	0.07	0.01	0.32	0.53	0.39	0.06
URS0000046CEB_GR_chr1_630682_630746_65_+	0.27	0.15	0.86	0.19	0.43	0.03	0.71	0.08	0.2	0.07	0.25	1.04	0.1	0.16	0.45	0.54	0.58	0.09
URS00007629E8_GR_chr1_630682_630748_67_+	0.27	0.15	0.86	0.21	0.43	0.03	0.71	0.08	0.2	0.07	0.25	1.04	0.1	0.16	0.45	0.54	0.58	0.09
URS000002491F_GR_chr1_630682_630749_68_+	0.56	0.23	1.27	0.39	1	0.05	0.79	0.22	0.28	0.11	0.43	1.44	0.14	0.33	0.7	0.58	0.66	0.2
URS000047C095_GR_chr1_630682_630749_68_-	0.56	0.23	1.27	0.39	1	0.05	0.79	0.22	0.28	0.11	0.43	1.44	0.14	0.33	0.7	0.58	0.66	0.2
URS000058DDF3_GR_chr1_630683_630746_64_+	0.24	0.15	0.64	0.19	0.39	0.03	0.41	0.08	0.2	0.07	0.25	0.93	0.1	0.16	0.45	0.51	0.47	0.09
URS000011E808_GR_chr1_630683_630749_67_+	0.52	0.23	1.04	0.39	0.96	0.05	0.49	0.22	0.28	0.11	0.43	1.33	0.14	0.33	0.7	0.55	0.55	0.2
URS0000DD4B23_GR_chr1_630684_630746_63_+	0.24	0.15	0.64	0.19	0.39	0.03	0.41	0.08	0.2	0.07	0.25	0.93	0.1	0.16	0.45	0.51	0.47	0.09
URS0000163675_GR_chr1_630684_630749_66_+	0.52	0.23	1.04	0.39	0.96	0.05	0.49	0.22	0.28	0.11	0.43	1.33	0.14	0.33	0.7	0.55	0.55	0.2
URS00019D95A0_GR_chr1_630685_630746_62_+	0.24	0.15	0.64	0.19	0.39	0.03	0.41	0.08	0.2	0.07	0.25	0.93	0.1	0.16	0.45	0.51	0.47	0.09
URS0000DC2C71_GR_chr1_630685_630749_65_+	0.52	0.23	1.04	0.39	0.96	0.05	0.49	0.22	0.28	0.11	0.43	1.33	0.14	0.33	0.7	0.55	0.55	0.2
URS0000EE6DF2_GR_chr1_630686_630746_61_+	0.24	0.15	0.64	0.19	0.39	0.03	0.41	0.08	0.2	0.07	0.25	0.93	0.1	0.16	0.45	0.51	0.47	0.09
URS0000DC8B0E_GR_chr1_630686_630749_64_+	0.52	0.23	1.04	0.39	0.96	0.05	0.49	0.22	0.28	0.11	0.43	1.33	0.14	0.33	0.7	0.55	0.55	0.2
URS0000E55D29_GR_chr1_630687_630739_53_+	0.13	0.15	0.49	0.19	0.17	0.03	0.38	0.05	0.16	0.07	0.25	0.75	0.07	0.01	0.37	0.51	0.32	0.09
URS0000DE15E2_GR_chr1_630687_630749_63_+	0.52	0.23	1.04	0.39	0.96	0.05	0.49	0.22	0.28	0.11	0.43	1.29	0.14	0.33	0.7	0.55	0.55	0.2
URS00019E3073_GR_chr1_630692_630746_55_+	0.24	0.15	0.56	0.19	0.36	0.03	0.31	0.08	0.18	0.07	0.25	0.86	0.1	0.16	0.45	0.51	0.47	0.09
URS0000EDDFEB_GR_chr1_630693_630746_54_+	0.24	0.15	0.56	0.19	0.36	0.03	0.31	0.08	0.18	0.07	0.14	0.82	0.1	0.16	0.41	0.44	0.44	0.09
URS0000DBE2C4_GR_chr1_630693_630749_57_+	0.52	0.23	0.97	0.39	0.92	0.05	0.39	0.22	0.26	0.11	0.32	1.22	0.14	0.33	0.66	0.48	0.53	0.2
URS0000ED3B2F_GR_chr1_630697_630746_50_+	0.21	0.15	0.44	0.16	0.28	0.03	0.26	0.08	0.17	0.07	0.12	0.75	0.07	0.15	0.35	0.32	0.36	0.06
URS0000DDC892_GR_chr1_630701_630749_49_+	0.5	0.22	0.73	0.33	0.81	0.02	0.18	0.2	0.19	0.04	0.3	0.65	0.11	0.32	0.52	0.08	0.32	0.16
URS0000DEFA8D_GR_chr1_630702_630749_48_+	0.5	0.22	0.73	0.33	0.8	0.02	0.18	0.2	0.19	0.04	0.3	0.65	0.11	0.32	0.52	0.07	0.32	0.16
URS0000DD4C91_GR_chr1_630706_630749_44_+	0.5	0.22	0.73	0.32	0.79	0.02	0.18	0.2	0.18	0.04	0.23	0.64	0.11	0.32	0.51	0.07	0.29	0.16
URS00019B8258_GR_chr1_630711_630746_36_+	0.19	0.07	0.26	0.12	0.22	0	0.04	0.04	0.07	0	0	0.22	0.04	0.15	0.2	0.03	0.21	0.06
URS0000BB3005_GR_chr1_630731_630746_16_+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS00001F1CC9_GR_chr1_630756_630824_69_-	8.28	6.85	7.84	3.28	6.11	2.04	12.06	4.81	14.97	1.92	6.94	14.94	2.87	7.01	16.63	21.75	5.41	1.47
URS0000DC365C_GR_chr1_630757_630779_23_-	6.04	2.43	1.92	0.8	3.98	0.29	1.22	1.22	7.31	0.75	0.65	3.86	0.46	5.11	0.94	2.31	1.47	0.37
URS0000DC0DFE_GR_chr1_630757_630780_24_-	6.04	2.47	2	0.8	3.98	0.29	1.22	1.27	7.39	0.75	0.65	4.09	0.46	5.11	1.34	2.71	1.47	0.37
URS0000DCAF61_GR_chr1_630757_630782_26_-	6.14	2.47	2.67	0.85	4.16	0.29	1.26	1.34	7.75	0.8	0.74	4.81	0.46	5.11	1.8	2.92	1.76	0.45
URS00007647C9_GR_chr1_630757_630784_28_-	6.27	2.52	2.99	0.94	4.16	0.33	1.59	1.39	8.17	0.8	0.97	5.27	0.46	5.25	2.22	3.18	1.89	0.45
URS0000DD915D_GR_chr1_630757_630792_36_-	6.37	2.52	3.7	0.99	4.21	0.33	1.77	1.48	8.83	0.85	1.11	6.42	0.46	5.3	3.7	4.31	2.16	0.45
