sncRNA	gene_type	aCM_1_salmon	aCM_2_salmon	aCM_1_fc	aCM_2_fc
mmu_piR_038322	piRNA	121.25796876871563	111.48001775216021	52.19494811638237	62.22162484375595
URS0000526E8E_GR_chr17_39846642_39846678_37_+	piRNA	120.06286406531443	213.54003159696938	166.01820240598687	204.3378145703259
mmu_piR_030130_DQ715526	piRNA	109.36016494617296	63.013928043445055	180.41012046706294	114.10892592494481
URS00004B7F07_GR_chr15_57433209_57433246_38_-	piRNA	108.22317186584296	107.39853852690419	9.113892617082263	9.18654726916817
URS0000039540_GR_chr17_39842999_39843035_37_+	piRNA	94.27833928933447	83.11957088894326	74.85417537918329	76.05672110271438
URS00003F63CE_GR_chr17_39846661_39846679_19_+	piRNA	92.23260802984251	138.28695117416402	54.84194747437321	85.64645331573938
URS0000397153_GR_chr17_39847612_39847650_39_+	piRNA	88.45855083877777	119.35148011133181	35.79724347282875	50.411123948035616
URS000054F33A_GR_chr16_33047629_33047659_31_+	piRNA	80.78164558307267	64.2515657061541	65.33524622240846	57.63268653114881
URS000010E2AE_GR_chr2_73012736_73012767_32_-	piRNA	77.77534272041449	240.46694434277225	91.24275243874384	250.66506521606968
mmu_piR_000818_DQ541506	piRNA	69.4898186387022	41.465168095263365	83.6406159205141	72.1646857979028
mmu_piR_004567_DQ553409	piRNA	68.46420999742891	132.40260452993388	32.969974330974736	68.55553025208755
URS0000131E34_GR_chr18_54699201_54699235_35_-	piRNA	61.0750524697578	82.50338793473209	31.90318795178446	45.00497744277242
URS000049F7B4_GR_chr16_33047650_33047688_39_+	piRNA	54.75353076667524	66.31404525962498	21.125793151964846	26.586362023678053
mmu_piR_000159_DQ539904	piRNA	54.23688704657665	168.30772882797507	1147.1273734972935	1680.8227555839514
URS0000028421_GR_chr16_18533304_18533330_27_-	piRNA	52.25169906384333	65.55487685244866	109.51731654087286	186.65186856533697
mmu_piR_000585_DQ540868	piRNA	49.02037431732527	40.39973397909454	50.21768523388317	80.28691152172846
URS000038F49D_GR_chr13_21172906_21172944_39_-	piRNA	45.77161353177241	40.94643811369009	12.432910346563023	11.476681103494778
URS00002017D6_GR_chr17_39847239_39847274_36_+	piRNA	44.64724830875275	53.26193516806546	62.567306376509414	69.9558392506441
URS00001F24BE_GR_chr17_39847781_39847814_34_+	piRNA	42.539095417008944	34.76630542761277	1350.191016487162	1159.8373591387913
URS000031987E_GR_chr16_11144062_11144092_31_+	piRNA	39.80052762961901	30.742427614470255	163.85724689562713	121.0649500369695
URS00005293AD_GR_chr11_96081161_96081188_28_+	piRNA	37.518386956089586	72.34932464731925	36.15892398855422	75.63185954897277
URS00003F45B5_GR_chr12_78351130_78351164_35_+	piRNA	36.149102551971936	91.82489419153158	45.014962357832204	120.58806461950442
mmu_piR_002643_DQ547181	piRNA	35.601389402832105	20.924165402176556	108.98107098127987	119.92692801801876
mmu_piR_000414_DQ540526	piRNA	33.227962694023354	64.78443462945374	312.5102207547947	557.2471132909081
URS000001620C_GR_chr1_47430919_47430946_28_+	piRNA	32.694600589189804	33.74474198005293	13.08210975807026	12.703577222973111
URS00000D40FC_GR_chr16_35981769_35981787_19_-	piRNA	29.576538637221653	60.19721328405699	379.2100407841674	1026.049322929952
URS0000147950_GR_chr6_3201482_3201504_23_+	piRNA	28.498511627543234	32.075903835522766	12.680496062375097	15.444584542903067
URS0000294410_GR_chr6_3201488_3201512_25_+	piRNA	27.79398539923616	56.91838815142918	20.031624020795356	35.74689736098449
URS00002A915A_GR_chr15_83149765_83149794_30_+	piRNA	27.61381333615823	14.197939911542068	32.513595131321146	23.16037383138917
mmu_piR_000164_DQ539915	piRNA	24.829687261294907	31.788635787849646	65.15725833454356	95.88214850333071
URS0000178826_GR_chr6_3201506_3201531_26_+	piRNA	24.464544141022973	62.69201828269497	109.30852305703132	249.53788150206128
mmu_piR_000273_DQ540188	piRNA	23.63332589723491	12.607318156622338	3.114788037635776	2.048439634111354
mmu_piR_000216_DQ540053	piRNA	22.388814319289967	26.273796558165156	18.664768317832845	23.849690025725053
URS0000097769_GR_chr17_39847083_39847113_31_+	piRNA	21.725976353633044	30.98386041868002	72.03831571732061	87.84662921904417
URS00005B8EF5_GR_chr16_18533193_18533213_21_-	piRNA	21.63469031835372	26.879504681702798	152.82998448399715	202.0596028714359
URS00001E1DBA_GR_chr1_193632881_193632915_35_+	piRNA	21.54264579495947	36.12801406928288	32.053793087670144	65.93049279504115
URS0000181CAE_GR_chr11_87422931_87422965_35_+	piRNA	19.900263814809506	8.611099158539256	20.84283804817962	11.557968390562689
URS0000124F56_GR_chr16_11144258_11144293_36_+	piRNA	19.825442994611706	24.45783487537838	1365.1397171718152	1370.851569553628
mmu_piR_000578_DQ540853	piRNA	19.261264630390343	17.866017838578724	78.55997448037046	79.24643424725919
URS0000350591_GR_chr1_56782346_56782368_23_-	piRNA	18.71075946914511	15.85081769905745	100.39543728779664	118.1190987536284
URS00003D16CA_GR_chr11_109011878_109011907_30_-	piRNA	18.439693375412528	14.566438438065498	34.639181253707754	31.25983911483581
mmu_piR_000958_DQ541851	piRNA	18.295682718115053	83.68120134287791	52.94112810781599	118.65884633975935
URS000018440A_GR_chr17_39846656_39846679_24_+	piRNA	15.30643001493926	17.571417699622458	60.39950517815484	93.91391232579304
mmu_piR_002962_DQ548183	piRNA	15.062126403603433	14.646915394605841	772.283740705812	1225.362499328987
mmu_piR_003770_DQ550765	piRNA	14.92528310169609	12.92299757437049	95.55667682346942	96.10866907662663
mmu_piR_000935_DQ541777	piRNA	14.879555353890154	10.783992461838384	18.630539877858823	12.149739840417078
URS000014E95A_GR_chr1_136364936_136364963_28_+	piRNA	14.51441223361822	22.876629731097374	75.62089243460132	182.27210953811792
mmu_piR_002490_DQ546708	piRNA	13.327699900059223	39.273048849174806	133.47494262668823	255.2399137322517
URS00002D6A3C_GR_chr1_8424712_8424741_30_-	piRNA	12.356017415812499	7.967356053293842	1.417057414924408	1.1965488656396481
mmu_piR_005355_DQ555882	piRNA	12.257269000829162	33.78072823229662	6.341388979186682	12.722002341375171
URS00001C5FD6_GR_chr16_18533265_18533293_29_-	piRNA	11.31007455547981	30.40459812306868	86.27506485051445	179.8551675359654
mmu_piR_029675_DQ714875	piRNA	11.045559226529802	21.24607516292666	9.82584416854187	22.085213981104268
URS00003C028B_GR_chr11_17221289_17221321_33_+	piRNA	10.923960208633396	18.5703832162381	9.132147785068408	13.43516280658431
URS00000B6FA7_GR_chr12_69159565_69159593_29_+	piRNA	10.771676620402776	8.369633466321101	21.858281767408865	26.77278086868713
URS00001677A4_GR_chr1_136364994_136365025_32_+	piRNA	10.668378297575284	9.444916573709598	37.9445076071989	52.24713280527616
mmu_piR_000620_DQ540981	piRNA	10.42955968844871	6.405934980650609	13.439226481799198	10.777610434710743
mmu_piR_000870_DQ541630	piRNA	10.303473034276132	10.394927322536269	22.036269655273763	25.74097423817178
mmu_piR_000362_DQ540403	piRNA	10.224041055511574	15.446979072925837	48.4560615232203	70.7069337831516
URS00001D7A1C_GR_chr12_78350966_78351002_37_+	piRNA	9.767560857691477	8.611099158539256	30.446197356890366	28.08529959721033
mmu_piR_007729_DQ564913	piRNA	9.568078483467032	8.905550334163388	3.8472766530797937	3.695861985354348
URS000039DEB7_GR_chr11_33754961_33754993_33_-	piRNA	9.49370377269887	8.6915761150796	29.85062250134242	24.63871862553091
URS0000130740_GR_chr11_87422979_87423014_36_+	piRNA	9.311149056511619	9.898776893314263	10.103094532331427	9.807582142367007
URS00003A356B_GR_chr16_18533206_18533233_28_-	piRNA	8.510557194871296	20.225186886833264	303.34156263375405	370.631011131881
URS00001BB80E_GR_chr14_51089551_51089590_40_+	piRNA	8.48956248885315	16.015034296029704	3.0942509736513646	3.7738977809395426
mmu_piR_018323_DQ698371	piRNA	8.398276453573821	8.611099158539256	49.08472387074312	39.7993395789434
URS000032A2A6_GR_chr16_17222389_17222421_33_+	piRNA	7.632086060284441	3.594284974555231	4.861579424309905	2.969695554214344
URS0000082BBE_GR_chr17_39847237_39847267_31_+	piRNA	7.568121930668329	6.774323235616484	18.87356180167436	19.45367354109243
mmu_piR_000644_DQ541118	piRNA	6.99328389902299	5.732745500360108	2.4712933661242094	2.5285765430591476
URS00005DCBB8_GR_chr17_39847339_39847358_20_+	piRNA	6.937707035022218	2.333849150968544	106.2758832753332	98.86376619298169
URS00000CF6B1_GR_chr11_33754855_33754881_27_-	piRNA	6.755134964463561	10.301127820713225	35.44583148909548	38.16058787165432
URS00001E7813_GR_chr14_56694102_56694126_25_-	piRNA	6.750158343251928	12.460130776937671	32.90265839902583	59.49145582876837
URS00000FA254_GR_chr17_39847579_39847605_27_+	piRNA	6.663849950029611	3.7824450089327506	49.76815172222438	38.68624566136015
mmu_piR_010465_DQ686557	piRNA	6.536289195133013	17.06700174005552	3.8860688850503498	7.225897905090158
URS000038F06C_GR_chr13_44869788_44869823_36_-	piRNA	6.481278900316333	6.116294159901295	39.87270972573534	39.40374144854624
mmu_piR_000685_DQ541194	piRNA	6.19750328164327	10.38160477725357	25.750055392454883	43.381399362402675
URS00004A62C8_GR_chrM_2410_2432_23_+	piRNA	6.1161357800444005	7.725845865534919	189.88797549586894	290.0178666313867
mmu_piR_038323	piRNA	6.024850765610448	7.001547452905633	15.16662175248805	14.017179781990555
mmu_piR_000639_DQ541113	piRNA	5.477136595625236	5.857840844053226	4.6767458484502	4.671309430169279
URS000028A2D2_GR_chr12_78351070_78351107_38_+	piRNA	5.115432703427557	3.6221072623622685	5.194736240057029	3.182126331085151
