gene_id	n
URS00005FF13B_GR_chr1_24446352_24446377_26_-	157
URS00000BC188_GR_chr1_45576672_45576701_30_-	150
URS000039E19F_GR_chr5_3088351_3088377_27_-	150
URS00004B333C_GR_chr1_4178425_4178453_29_+	148
URS00000C1628_GR_chr1_46851524_46851552_29_-	147
URS0000488DF9_GR_chr1_45576675_45576703_29_-	147
URS0000164212_GR_chr1_29404658_29404687_30_+	141
URS000027984D_GR_chr1_28654743_28654769_27_+	141
URS0000410872_GR_chr1_35136293_35136319_27_+	140
URS0000015111_GR_chr1_83298928_83298953_26_-	139
URS000001CB15_GR_chr1_12902614_12902640_27_+	138
URS00000BFA9F_GR_chr1_1410657_1410684_28_-	129
URS000001154E_GR_chr1_76539931_76539961_31_+	126
URS0000054085_GR_chr1_5046680_5046705_26_+	126
URS0000389D47_GR_chr1_5049837_5049862_26_-	126
URS00005B9809_GR_chr5_17098838_17098866_29_+	126
URS00004BB8F9_GR_chr1_12390961_12390986_26_+	125
URS000000AAE0_GR_chr1_11745251_11745279_29_-	123
URS00003672B8_GR_chr13_18808389_18808414_26_-	123
URS0000466774_GR_chr1_24798700_24798726_27_+	123
URS000056BCAC_GR_chr1_4826845_4826875_31_-	123
URS00003BF81B_GR_chr1_38635310_38635339_30_-	122
URS00004D1C3A_GR_chr1_21387223_21387252_30_-	122
URS000060EAE8_GR_chr1_31492603_31492638_36_+	122
URS00000929AD_GR_chr1_37377831_37377857_27_+	121
URS00003E9955_GR_chr1_13238722_13238747_26_-	121
URS000012BF65_GR_chr1_7605016_7605043_28_+	118
URS000022935D_GR_chr1_13238721_13238747_27_-	116
URS0000256247_GR_chr14_19008410_19008436_27_+	113
URS00004355FC_GR_chr14_19008408_19008436_29_+	113
URS00004A308B_GR_chr1_11305384_11305414_31_+	111
URS000026C8E4_GR_chr1_95091569_95091595_27_+	110
URS0000091FA4_GR_chr1_8898928_8898955_28_+	108
URS00005207D4_GR_chr1_12017723_12017751_29_+	107
URS00005D1C00_GR_chr1_8500907_8500934_28_+	107
URS00001A523B_GR_chr1_58167854_58167882_29_+	105
URS0000067D82_GR_chr1_93643972_93643999_28_-	102
URS000042CC82_GR_chr1_11105218_11105243_26_-	102
URS00000DA608_GR_chr1_4244699_4244728_30_-	101
URS00000E60A3_GR_chr1_11105216_11105243_28_-	101
URS000022BCE6_GR_chr1_42867459_42867490_32_+	101
URS00002B1BA6_GR_chr1_15677810_15677839_30_-	100
URS000035D5F9_GR_chr1_173446860_173446890_31_-	100
URS00005EB305_GR_chr1_54912017_54912044_28_+	98
URS000054B1EA_GR_chr1_4244711_4244741_31_-	97
URS00005FF6BA_GR_chr1_58172647_58172672_26_-	97
URS000028E2F8_GR_chr1_43085567_43085595_29_-	96
URS00004A58B5_GR_chr1_13242908_13242933_26_+	96
URS000009AF5A_GR_chr1_6714816_6714842_27_-	95
URS0000027FC3_GR_chr1_7601504_7601530_27_-	94
URS0000175943_GR_chr1_54911146_54911175_30_+	94
URS00004FFA7B_GR_chr1_14990461_14990489_29_-	93
URS00005E3386_GR_chr1_7602828_7602855_28_+	93
URS0000412458_GR_chr1_13242904_13242932_29_-	91
URS00003B0FB4_GR_chr1_93728871_93728898_28_+	90
URS000016BAB0_GR_chr1_54918919_54918947_29_+	88
URS00001DCB0A_GR_chr1_93728871_93728899_29_+	88
URS00001FC202_GR_chr1_13242910_13242939_30_+	88
URS0000026024_GR_chr1_6714821_6714850_30_+	87
URS00002FE02E_GR_chr1_105696425_105696458_34_-	87
URS00004828B3_GR_chr1_12607501_12607527_27_+	87
URS000012BB1C_GR_chr1_22070335_22070367_33_+	86
URS0000251A16_GR_chr1_7601502_7601530_29_-	86
URS00005C3DC0_GR_chr1_13242899_13242926_28_+	85
URS00003594A7_GR_chr1_67514037_67514062_26_+	83
URS00002D682D_GR_chr5_7677046_7677076_31_-	82
URS0000135B16_GR_chr1_22070335_22070368_34_+	81
URS000060F6A5_GR_chr1_23257376_23257402_27_-	81
URS000004D14F_GR_chr1_10193823_10193852_30_+	80
URS0000452DFF_GR_chr1_8912223_8912267_45_+	80
URS00004F0ECF_GR_chr1_16222626_16222654_29_+	80
URS000035501D_GR_chr1_7600679_7600708_30_+	79
URS00003852FC_GR_chr1_26093544_26093578_35_+	79
URS00003B5237_GR_chr1_104948479_104948509_31_+	79
URS0000513214_GR_chr1_45115860_45115888_29_-	78
URS00000256EB_GR_chr1_31542923_31542953_31_-	76
URS00001567BD_GR_chr1_36197775_36197805_31_-	76
URS00001D786A_GR_chr1_5048851_5048878_28_-	76
URS00000D1F52_GR_chr1_55026778_55026804_27_-	74
URS000013CA91_GR_chr1_58492663_58492693_31_-	74
URS00003E59AF_GR_chr1_106412184_106412212_29_+	74
URS000018C150_GR_chr1_16108329_16108358_30_+	72
URS00004170E7_GR_chr1_41595853_41595879_27_+	72
URS000007BD46_GR_chr1_369262_369288_27_+	70
URS00002581D4_GR_chr1_104263053_104263078_26_+	70
URS00004F7A8B_GR_chr1_6992668_6992694_27_-	69
URS00000235AA_GR_chr1_13013234_13013264_31_+	68
URS00002C36A0_GR_chr1_38149320_38149346_27_-	68
URS00004A4DD6_GR_chr1_41950089_41950114_26_-	68
URS000008E2F4_GR_chr1_53969323_53969351_29_+	67
URS00000FBA72_GR_chr1_157297365_157297391_27_-	67
URS00004C994A_GR_chr1_26093541_26093573_33_+	67
URS00001034C4_GR_chr1_20239665_20239693_29_-	66
URS0000466499_GR_chr1_210985857_210985885_29_+	66
URS00000562E9_GR_chr1_8898628_8898654_27_+	63
URS00002EDD29_GR_chr1_62466006_62466031_26_+	63
URS00002FEB35_GR_chr1_210985860_210985888_29_+	62
URS00002CC0D3_GR_chr1_48442011_48442039_29_-	59
URS0000595CEE_GR_chr1_4381794_4381822_29_-	59
URS000019E49A_GR_chr1_1107830_1107858_29_+	58
URS0000200F8D_GR_chr1_75382434_75382460_27_+	58
URS0000052DB1_GR_chr1_28000665_28000690_26_-	57
URS0000317DF7_GR_chr1_21991844_21991873_30_-	56
URS00002D057A_GR_chr1_195360269_195360296_28_-	55
URS00002FF003_GR_chr1_187009918_187009947_30_-	55
URS00003F9C5F_GR_chr1_51814195_51814225_31_+	55
URS00005DD8CF_GR_chr1_60247926_60247952_27_-	55
URS000007EDB7_GR_chr1_26802984_26803011_28_-	54
URS0000058F30_GR_chr10_9057418_9057445_28_-	53
URS00004828B3_GR_chr1_37504185_37504210_26_+	53
URS0000618058_GR_chr1_46965128_46965154_27_-	53
URS00000FB6F3_GR_chr1_72360223_72360248_26_+	52
URS000017452A_GR_chr1_12885555_12885585_31_-	52
URS00003F1E21_GR_chr13_18808395_18808424_30_-	52
hsa_piR_006807_DQ579290	50
hsa_piR_021511_DQ599520	50
URS00002D64BC_GR_chr1_6020797_6020825_29_+	50
URS0000412E3D_GR_chr1_80133284_80133325_42_+	50
URS000047A548_GR_chr5_20679577_20679603_27_+	49
hsa_piR_008857_DQ582018	48
hsa_piR_009884_DQ583305	48
hsa_piR_014777_DQ590225	48
hsa_piR_002734_DQ573684	47
hsa_piR_006257_DQ578566	47
hsa_piR_019441_DQ596696	47
URS00003D662E_GR_chr1_47132026_47132055_30_-	47
hsa_piR_002230_DQ572999	46
hsa_piR_019011_DQ596098	46
hsa_piR_022710_DQ601072	46
URS00003C37DE_GR_chr5_24862898_24862928_31_-	46
URS0000436EB3_GR_chr1_116525617_116525648_32_-	46
URS000052E5E0_GR_chr1_45259629_45259655_27_-	46
hsa_piR_001149_DQ571494	45
hsa_piR_005379_DQ577396	45
hsa_piR_016986_DQ593433	45
hsa_piR_001319_DQ571824	44
hsa_piR_016890_DQ593247	44
hsa_piR_017858_DQ594648	44
hsa_piR_019430_DQ596682	44
hsa_piR_019657_DQ596965	44
hsa_piR_020006_DQ597477	44
hsa_piR_002515_DQ573393	43
hsa_piR_004081_DQ575564	43
hsa_piR_009770_DQ583165	43
hsa_piR_010862_DQ584649	43
hsa_piR_010942_DQ584766	43
hsa_piR_018735_DQ595749	43
hsa_piR_020163_DQ597691	43
hsa_piR_020428_DQ598068	43
hsa_piR_020831_DQ598680	43
hsa_piR_020979_DQ598855	43
hsa_piR_023187_DQ601715	43
URS000014A87F_GR_chr1_125102791_125102818_28_+	43
URS00004DC79C_GR_chr20_23989942_23989969_28_+	43
URS00005D598B_GR_chr14_19010166_19010192_27_+	43
URS000060F7EB_GR_chr20_23989942_23989970_29_-	43
hsa_piR_008934_DQ582116	42
hsa_piR_009054_DQ582268	42
hsa_piR_009177_DQ582427	42
hsa_piR_015096_DQ590638	42
hsa_piR_019317_DQ596527	42
hsa_piR_019843_DQ597246	42
hsa_piR_020086_DQ597595	42
hsa_piR_022294_DQ600513	42
hsa_piR_000084_DQ570044	41
hsa_piR_002245_DQ573029	41
hsa_piR_002769_DQ573726	41
hsa_piR_008124_DQ581044	41
hsa_piR_010027_DQ583496	41
hsa_piR_020429_DQ598069	41
hsa_piR_002438_DQ573288	40
hsa_piR_002952_DQ573964	40
hsa_piR_012893_DQ587470	40
hsa_piR_015359_DQ590980	40
hsa_piR_016552_DQ592795	40
hsa_piR_019286_DQ596486	40
hsa_piR_020771_DQ598593	40
hsa_piR_021843_DQ599922	40
hsa_piR_022543_DQ600838	40
hsa_piR_023386	40
URS000056C375_GR_chr1_23723219_23723260_42_-	40
hsa_piR_010512_DQ584155	39
hsa_piR_011675_DQ585804	39
hsa_piR_011927_DQ586135	39
hsa_piR_022312_DQ600533	39
hsa_piR_000294_DQ570353	38
hsa_piR_001331_DQ571839	38
hsa_piR_007226_DQ579848	38
hsa_piR_009869_DQ583287	38
hsa_piR_015137_DQ590689	38
hsa_piR_019390_DQ596631	38
URS00003850F6_GR_chr1_34083001_34083028_28_-	38
hsa_piR_009391_DQ582692	37
hsa_piR_013896_DQ588976	37
hsa_piR_019906_DQ597332	37
URS000029E9BC_GR_chr1_62757917_62757943_27_-	37
hsa_piR_004374_DQ576021	36
hsa_piR_015679_DQ591425	36
hsa_piR_019850_DQ597256	36
hsa_piR_021722_DQ599768	36
URS00001A6B63_GR_chr10_42138107_42138136_30_-	36
hsa_piR_005002_DQ576894	35
hsa_piR_016916_DQ593305	35
hsa_piR_022421_DQ600670	35
hsa_piR_022583_DQ600893	35
URS00001C54FF_GR_chr1_36091045_36091074_30_+	35
URS000043F7F6_GR_chr1_39995588_39995617_30_+	35
URS000055484B_GR_chr1_95054399_95054429_31_-	35
hsa_piR_002836_DQ573816	34
hsa_piR_006041_DQ578285	34
hsa_piR_009371_DQ582666	34
hsa_piR_013755_DQ588793	34
hsa_piR_015391_DQ591025	34
hsa_piR_017101_DQ593631	34
hsa_piR_017546_DQ594239	34
hsa_piR_017906_DQ594704	34
hsa_piR_022917_DQ601335	34
URS000035D5F9_GR_chr1_175232026_175232057_32_+	34
hsa_piR_000096_DQ570062	33
hsa_piR_000161_DQ570150	33
hsa_piR_004420_DQ576086	33
hsa_piR_005241_DQ577220	33
hsa_piR_006037_DQ578280	33
hsa_piR_011072_DQ584937	33
hsa_piR_016702_DQ592991	33
hsa_piR_022351_DQ600587	33
URS00004922CB_GR_chr22_20691711_20691740_30_-	33
URS00004B2921_GR_chr1_24799170_24799196_27_-	33
URS00004B46FD_GR_chr1_1065763_1065789_27_+	33
hsa_piR_004041_DQ575504	32
hsa_piR_016144_DQ592024	32
hsa_piR_016729_DQ593030	32
hsa_piR_016872_DQ593215	32
hsa_piR_016955_DQ593380	32
hsa_piR_017824_DQ594609	32
URS00001B731E_GR_chr1_2784154_2784182_29_+	32
URS00002FC549_GR_chr1_16565589_16565616_28_-	32
URS00003225C7_GR_chr1_16566397_16566422_26_+	32
hsa_piR_000681_DQ570851	31
hsa_piR_001268_DQ571734	31
hsa_piR_015203_DQ590770	31
hsa_piR_020681_DQ598465	31
hsa_piR_000157_DQ570142	30
hsa_piR_000920_DQ571169	30
hsa_piR_002837_DQ573818	30
hsa_piR_003560_DQ574835	30
hsa_piR_006038_DQ578281	30
hsa_piR_016828_DQ593158	30
hsa_piR_017360_DQ594000	30
hsa_piR_017536_DQ594228	30
hsa_piR_017547_DQ594240	30
URS000012A37F_GR_chr1_9003811_9003840_30_-	30
URS0000231FF4_GR_chr1_1265711_1265741_31_+	30
hsa_piR_000675_DQ570844	29
hsa_piR_003388_DQ574589	29
hsa_piR_006039_DQ578283	29
hsa_piR_007419_DQ580106	29
hsa_piR_012728_DQ587212	29
hsa_piR_019161_DQ596298	29
URS000001A186_GR_chr15_101752610_101752639_30_+	29
URS00003C1030_GR_chr1_86710318_86710344_27_-	29
URS00003D6CC9_GR_chr1_1065763_1065792_30_+	29
URS0000519AED_GR_chr1_494815_494840_26_-	29
hsa_piR_014817_DQ590275	28
hsa_piR_016064_DQ591925	28
hsa_piR_018596_DQ595575	28
hsa_piR_002838_DQ573819	27
hsa_piR_003379_DQ574576	27
hsa_piR_006046_DQ578300	27
hsa_piR_006114_DQ578392	27
hsa_piR_007489_DQ580213	27
hsa_piR_007528_DQ580261	27
hsa_piR_010240_DQ583787	27
hsa_piR_010900_DQ584707	27
hsa_piR_017383_DQ594028	27
hsa_piR_017443_DQ594110	27
hsa_piR_019565_DQ596854	27
hsa_piR_020705_DQ598498	27
hsa_piR_021751_DQ599801	27
URS000001D3F9_GR_chr10_58328274_58328325_52_-	27
URS0000303683_GR_chr16_21402774_21402803_30_+	27
URS0000460EF3_GR_chr16_21402774_21402802_29_+	27
URS00005AF2BE_GR_chr10_82305191_82305217_27_-	27
hsa_piR_002737_DQ573688	26
hsa_piR_003331_DQ574513	26
hsa_piR_003874_DQ575272	26
hsa_piR_007540_DQ580277	26
hsa_piR_008862_DQ582025	26
hsa_piR_010023_DQ583490	26
hsa_piR_019578_DQ596869	26
hsa_piR_022174_DQ600363	26
URS00000B3409_GR_chr20_33057607_33057635_29_-	26
URS00003F9DD8_GR_chr12_100157848_100157876_29_+	26
URS00004E14E8_GR_chr1_227655119_227655148_30_+	26
hsa_piR_000121_DQ570091	25
hsa_piR_002436_DQ573286	25
hsa_piR_003141_DQ574258	25
hsa_piR_004337_DQ575973	25
hsa_piR_009541_DQ582873	25
hsa_piR_010290_DQ583863	25
hsa_piR_011005_DQ584856	25
hsa_piR_011042_DQ584900	25
hsa_piR_012657_DQ587117	25
hsa_piR_015278_DQ590870	25
hsa_piR_017734_DQ594484	25
hsa_piR_017978_DQ594786	25
hsa_piR_018117_DQ594958	25
hsa_piR_019163_DQ596303	25
hsa_piR_022952_DQ601378	25
URS0000262A28_GR_chr15_99799788_99799817_30_-	25
URS000038A92B_GR_chr1_245000523_245000551_29_+	25
hsa_piR_005453_DQ577493	24
hsa_piR_008316_DQ581294	24
hsa_piR_009229_DQ582497	24
hsa_piR_009327_DQ582610	24
hsa_piR_009877_DQ583296	24
hsa_piR_010630_DQ584317	24
hsa_piR_015508_DQ591192	24
hsa_piR_015645_DQ591384	24
hsa_piR_016314_DQ592235	24
hsa_piR_018167_DQ595025	24
hsa_piR_021808_DQ599874	24
URS000009272F_GR_chr19_36270336_36270365_30_-	24
URS00000BACE7_GR_chr11_3340313_3340340_28_-	24
URS00000FC6A1_GR_chr1_494816_494846_31_-	24
URS00001CB51E_GR_chr1_494817_494846_30_-	24
URS00003BEC7B_GR_chr16_11930777_11930805_29_-	24
hsa_piR_000097_DQ570064	23
hsa_piR_000945_DQ571199	23
hsa_piR_001569_DQ572138	23
hsa_piR_002855_DQ573840	23
hsa_piR_009584_DQ582929	23
hsa_piR_012969_DQ587579	23
hsa_piR_013519_DQ588380	23
hsa_piR_016117_DQ591987	23
hsa_piR_016774_DQ593083	23
hsa_piR_016862_DQ593201	23
hsa_piR_016985_DQ593432	23
hsa_piR_017287_DQ593897	23
hsa_piR_017877_DQ594669	23
hsa_piR_018962_DQ596042	23
hsa_piR_019557_DQ596845	23
hsa_piR_020161_DQ597688	23
hsa_piR_020426_DQ598065	23
URS00001242E2_GR_chr1_40472431_40472459_29_-	23
URS0000178255_GR_chr1_181833133_181833159_27_-	23
URS0000184DB6_GR_chr22_18847287_18847314_28_+	23
URS000056C375_GR_chr10_96834953_96834994_42_-	23
hsa_piR_000111_DQ570081	22
hsa_piR_000290_DQ570343	22
hsa_piR_000367_DQ570441	22
hsa_piR_000529_DQ570652	22
hsa_piR_000768_DQ570960	22
hsa_piR_001310_DQ571810	22
hsa_piR_001370_DQ571890	22
hsa_piR_003447_DQ574682	22
hsa_piR_003711_DQ575039	22
hsa_piR_005263_DQ577246	22
hsa_piR_006042_DQ578289	22
hsa_piR_007203_DQ579815	22
hsa_piR_009309_DQ582585	22
hsa_piR_009364_DQ582659	22
hsa_piR_009447_DQ582755	22
hsa_piR_009632_DQ582994	22
hsa_piR_010580_DQ584251	22
hsa_piR_011643_DQ585767	22
hsa_piR_011714_DQ585854	22
hsa_piR_011846_DQ586020	22
hsa_piR_012719_DQ587202	22
hsa_piR_015172_DQ590733	22
hsa_piR_015418_DQ591061	22
hsa_piR_016869_DQ593210	22
hsa_piR_018193_DQ595057	22
hsa_piR_019045_DQ596150	22
hsa_piR_019662_DQ596973	22
hsa_piR_020231_DQ597780	22
hsa_piR_020944_DQ598813	22
hsa_piR_023279_DQ601838	22
URS00000A4573_GR_chr15_62245234_62245263_30_+	22
URS00001EB5C6_GR_chr15_20566522_20566548_27_-	22
URS00001FCA79_GR_chr15_62245235_62245262_28_+	22
URS000027DC46_GR_chr15_62245227_62245257_31_+	22
URS000044D3FE_GR_chr15_62245229_62245258_30_+	22
URS00004F7A8B_GR_chr1_4385189_4385216_28_-	22
URS000059ECA9_GR_chr15_62245233_62245261_29_+	22
URS00005A3C0E_GR_chr22_18847007_18847033_27_+	22
hsa_piR_000118_DQ570088	21
hsa_piR_003693_DQ575018	21
hsa_piR_004480_DQ576164	21
hsa_piR_005505_DQ577564	21
hsa_piR_005901_DQ578104	21
hsa_piR_011847_DQ586021	21
hsa_piR_012020_DQ586246	21
hsa_piR_013545_DQ588479	21
hsa_piR_014595_DQ589986	21
hsa_piR_015393_DQ591029	21
hsa_piR_016447_DQ592401	21
hsa_piR_017099_DQ593628	21
hsa_piR_017474_DQ594146	21
hsa_piR_017889_DQ594682	21
hsa_piR_018106_DQ594941	21
hsa_piR_018286_DQ595179	21
hsa_piR_018692_DQ595698	21
hsa_piR_019213_DQ596370	21
hsa_piR_019968_DQ597427	21
hsa_piR_020170_DQ597703	21
hsa_piR_020934_DQ598802	21
hsa_piR_023207_DQ601741	21
hsa_piR_023331_DQ601906	21
URS00000FD780_GR_chr1_190013569_190013597_29_-	21
URS00003D6009_GR_chr15_75791731_75791761_31_-	21
