seq_piBNK	seq_id	gene_type_piRNAs	gene_id	gene_type_genes	gene_name	type_piRNAs	type_genes
chr1_11287978_11288004_27_+	hsa_piR_001945_DQ572594	piRNA	ENSG00000120942.13	protein_coding	UBIAD1	exon	exon
chr1_11676069_11676095_27_-	hsa_piR_009249_DQ582520	piRNA	ENSG00000116670.15	protein_coding	MAD2L2	exon	exon
chr1_11790001_11790030_30_-	hsa_piR_018032_DQ594849	piRNA	ENSG00000177000.13	protein_coding	MTHFR	exon	exon
chr1_11840692_11840722_31_+	hsa_piR_020298_DQ597878	piRNA	ENSG00000011021.23	protein_coding	CLCN6	exon	exon
chr1_15562211_15562241_31_+	hsa_piR_010943_DQ584767	piRNA	ENSG00000116138.13	protein_coding	DNAJC16	exon	exon
chr1_15562223_15562249_27_+	hsa_piR_008953_DQ582139	piRNA	ENSG00000116138.13	protein_coding	DNAJC16	exon	exon
chr1_15568371_15568398_28_+	hsa_piR_022690_DQ601048	piRNA	ENSG00000116138.13	protein_coding	DNAJC16	exon	exon
chr1_15667452_15667477_26_+	URS00000D9450_GR_chr1_15667452_15667477_26_+	piRNA	ENSG00000197312.12	protein_coding	DDI2	exon	exon
chr1_15684509_15684534_26_+	hsa_piR_020492_DQ598170	piRNA	ENSG00000116786.13	protein_coding	PLEKHM2	exon	exon
chr1_15716290_15716315_26_+	URS000005F8F4_GR_chr1_15716290_15716315_26_+	piRNA	ENSG00000116786.13	protein_coding	PLEKHM2	exon	exon
chr1_15934481_15934510_30_+	hsa_piR_011807_DQ585970	piRNA	ENSG00000065526.12	protein_coding	SPEN	exon	exon
chr1_16247327_16247355_29_-	hsa_piR_014774_DQ590219	piRNA	ENSG00000037637.11	protein_coding	FBXO42	exon	exon
chr1_16251196_16251225_30_-	hsa_piR_019088_DQ596208	piRNA	ENSG00000037637.11	protein_coding	FBXO42	exon	exon
chr1_16396379_16396405_27_+	hsa_piR_018157_DQ595013	piRNA	ENSG00000055070.17	protein_coding	SZRD1	exon	exon
chr1_16397097_16397126_30_+	URS000023F762_GR_chr1_16397097_16397126_30_+	piRNA	ENSG00000055070.17	protein_coding	SZRD1	exon	exon
chr1_16459056_16459083_28_+	hsa_piR_012958_DQ587560	piRNA	ENSG00000157191.20	protein_coding	NECAP2	exon	exon
chr1_16459460_16459485_26_+	hsa_piR_012074_DQ586314	piRNA	ENSG00000157191.20	protein_coding	NECAP2	exon	exon
chr1_16563584_16563612_29_-	hsa_piR_011577_DQ585677	piRNA	ENSG00000219481.10	protein_coding	NBPF1	exon	exon
chr1_16563727_16563754_28_-	hsa_piR_023261_DQ601814	piRNA	ENSG00000219481.10	protein_coding	NBPF1	exon	exon
chr1_16566427_16566455_29_-	URS00004FFBDC_GR_chr1_16566427_16566455_29_-	piRNA	ENSG00000219481.10	protein_coding	NBPF1	exon	exon
chr1_16602164_16602194_31_-	hsa_piR_004401_DQ576059	piRNA	ENSG00000219481.10	protein_coding	NBPF1	exon	exon
chr1_16604777_16604804_28_-	hsa_piR_019935_DQ597376	piRNA	ENSG00000219481.10	protein_coding	NBPF1	exon	exon
chr1_16604794_16604820_27_-	hsa_piR_018486_DQ595422	piRNA	ENSG00000219481.10	protein_coding	NBPF1	exon	exon
chr1_16604824_16604851_28_-	hsa_piR_003127_DQ574238	piRNA	ENSG00000219481.10	protein_coding	NBPF1	exon	exon
chr1_16740392_16740419_28_+	hsa_piR_005036_DQ576953	piRNA	ENSG00000058453.17	protein_coding	CROCC	exon	exon
chr1_16945551_16945577_27_+	hsa_piR_009802_DQ583199	piRNA	ENSG00000058453.17	protein_coding	CROCC	exon	exon
chr1_17407187_17407217_31_-	hsa_piR_014041_DQ589188	piRNA	ENSG00000179051.14	protein_coding	RCC2	exon	exon
chr1_19111831_19111858_28_-	URS000039655E_GR_chr1_1300978_1301005_28_-	piRNA	ENSG00000127481.15	protein_coding	UBR4	exon	exon
chr1_19183795_19183820_26_-	hsa_piR_021200_DQ599128	piRNA	ENSG00000127481.15	protein_coding	UBR4	exon	exon
chr1_19324641_19324671_31_+	hsa_piR_001933_DQ572569	piRNA	ENSG00000040487.13	protein_coding	SLC66A1	exon	exon
chr1_19683399_19683426_28_-	hsa_piR_001691_DQ572284	piRNA	ENSG00000162542.13	protein_coding	TMCO4	exon	exon
chr1_19908995_19909020_26_+	hsa_piR_017726_DQ594476	piRNA	ENSG00000169914.6	protein_coding	OTUD3	exon	exon
chr1_19911022_19911049_28_+	URS0000403E71_GR_chr1_19911022_19911049_28_+	piRNA	ENSG00000169914.6	protein_coding	OTUD3	exon	exon
chr1_20191917_20191948_32_+	hsa_piR_018329_DQ595232	piRNA	ENSG00000162543.6	protein_coding	UBXN10	exon	exon
chr1_20192886_20192911_26_+	hsa_piR_011593_DQ585696	piRNA	ENSG00000162543.6	protein_coding	UBXN10	exon	exon
chr1_20500306_20500332_27_-	URS00000758BE_GR_chr1_20500306_20500332_27_-	piRNA	ENSG00000090432.7	protein_coding	MUL1	exon	exon
chr1_20500771_20500800_30_-	hsa_piR_016046_DQ591903	piRNA	ENSG00000090432.7	protein_coding	MUL1	exon	exon
chr1_20637874_20637899_26_+	hsa_piR_007144_DQ579744	piRNA	ENSG00000158828.8	protein_coding	PINK1	exon	exon
chr1_20639914_20639942_29_+	hsa_piR_006060_DQ578319	piRNA	ENSG00000158828.8	protein_coding	PINK1	exon	exon
chr1_21218785_21218813_29_-	URS000051813E_GR_chr1_6010071_6010099_29_-	piRNA	ENSG00000117298.16	protein_coding	ECE1	exon	exon
chr1_21225379_21225405_27_-	hsa_piR_014846_DQ590311	piRNA	ENSG00000117298.16	protein_coding	ECE1	exon	exon
chr1_21451880_21451906_27_+	hsa_piR_018486_DQ595422	piRNA	ENSG00000142794.18	protein_coding	NBPF3	exon	exon
chr1_21483717_21483745_29_+	hsa_piR_011577_DQ585677	piRNA	ENSG00000142794.18	protein_coding	NBPF3	exon	exon
chr1_21601699_21601724_26_-	hsa_piR_003265_DQ574434	piRNA	ENSG00000076864.19	protein_coding	RAP1GAP	exon	exon
chr1_22089944_22089973_30_+	hsa_piR_019487_DQ596760	piRNA	ENSG00000070831.17	protein_coding	CDC42	exon	exon
chr1_22451972_22451998_27_+	hsa_piR_020972_DQ598846	piRNA	ENSG00000184677.18	protein_coding	ZBTB40	exon	exon
chr1_22527959_22527988_30_+	hsa_piR_014614_DQ590006	piRNA	ENSG00000184677.18	protein_coding	ZBTB40	exon	exon
chr1_23508655_23508683_29_-	hsa_piR_003852_DQ575244	piRNA	ENSG00000007968.7	protein_coding	E2F2	exon	exon
chr1_23760647_23760676_30_+	URS00003B9E1A_GR_chr1_23760647_23760676_30_+	piRNA	ENSG00000011007.12	protein_coding	ELOA	exon	exon
chr1_23760675_23760703_29_+	hsa_piR_013555_DQ588493	piRNA	ENSG00000011007.12	protein_coding	ELOA	exon	exon
chr1_23760915_23760944_30_+	hsa_piR_009547_DQ582880	piRNA	ENSG00000011007.12	protein_coding	ELOA	exon	exon
chr1_23802035_23802060_26_-	hsa_piR_007356_DQ580031	piRNA	ENSG00000117305.15	protein_coding	HMGCL	exon	exon
chr1_23865495_23865524_30_-	hsa_piR_015063_DQ590593	piRNA	ENSG00000179163.11	protein_coding	FUCA1	exon	exon
chr1_23978759_23978784_26_-	hsa_piR_014607_DQ589999	piRNA	ENSG00000188529.15	protein_coding	SRSF10	exon	exon
chr1_25329182_25329207_26_+	hsa_piR_010332_DQ583913	piRNA	ENSG00000187010.21	protein_coding	RHD	exon	exon
chr1_25336124_25336151_28_-	hsa_piR_022836_DQ601230	piRNA	ENSG00000117616.18	protein_coding	RSRP1	exon	exon
chr1_25338071_25338099_29_-	hsa_piR_004328_DQ575922	piRNA	ENSG00000117616.18	protein_coding	RSRP1	exon	exon
chr1_25343013_25343042_30_+	hsa_piR_006290_DQ578602	piRNA	ENSG00000183726.11	protein_coding	TMEM50A	exon	exon
chr1_25832300_25832325_26_+	hsa_piR_018778_DQ595805	piRNA	ENSG00000117640.18	protein_coding	MTFR1L	exon	exon
chr1_25832369_25832397_29_+	hsa_piR_022931_DQ601349	piRNA	ENSG00000117640.18	protein_coding	MTFR1L	exon	exon
chr1_25904676_25904702_27_-	hsa_piR_011196_DQ585108	piRNA	ENSG00000117632.23	protein_coding	STMN1	exon	exon
chr1_25974526_25974555_30_-	hsa_piR_003319_DQ574500	piRNA	ENSG00000158006.14	protein_coding	PAFAH2	exon	exon
chr1_26255520_26255545_26_+	hsa_piR_022074_DQ600240	piRNA	ENSG00000130695.15	protein_coding	CEP85	exon	exon
chr1_26278492_26278522_31_+	URS0000420CE4_GR_chr1_26278492_26278522_31_+	piRNA	ENSG00000130695.15	protein_coding	CEP85	exon	exon
chr1_26438178_26438205_28_+	hsa_piR_010961_DQ584789	piRNA	ENSG00000117682.17	protein_coding	DHDDS	exon	exon
chr1_26475163_26475188_26_+	hsa_piR_008362_DQ581351	piRNA	ENSG00000198830.11	protein_coding	HMGN2	exon	exon
chr1_26794420_26794447_28_+	hsa_piR_013401_DQ588168	piRNA	ENSG00000060642.11	protein_coding	PIGV	exon	exon
chr1_26794422_26794451_30_+	hsa_piR_020079_DQ597586	piRNA	ENSG00000060642.11	protein_coding	PIGV	exon	exon
chr1_26794901_26794930_30_+	hsa_piR_020424_DQ598062	piRNA	ENSG00000060642.11	protein_coding	PIGV	exon	exon
chr1_26897674_26897699_26_-	hsa_piR_016927_DQ593326	piRNA	ENSG00000198746.13	protein_coding	GPATCH3	exon	exon
chr1_27406161_27406191_31_-	hsa_piR_002460_DQ573314	piRNA	ENSG00000158195.11	protein_coding	WASF2	exon	exon
chr1_27406435_27406460_26_-	URS0000526CEA_GR_chr1_27406435_27406460_26_-	piRNA	ENSG00000158195.11	protein_coding	WASF2	exon	exon
chr1_27407186_27407215_30_-	hsa_piR_015963_DQ591803	piRNA	ENSG00000158195.11	protein_coding	WASF2	exon	exon
chr1_27407295_27407322_28_-	hsa_piR_002298_DQ573102	piRNA	ENSG00000158195.11	protein_coding	WASF2	exon	exon
chr1_27407488_27407517_30_-	hsa_piR_018546_DQ595504	piRNA	ENSG00000158195.11	protein_coding	WASF2	exon	exon
chr1_27407494_27407522_29_-	URS0000152B20_GR_chr1_27407494_27407522_29_-	piRNA	ENSG00000158195.11	protein_coding	WASF2	exon	exon
chr1_27407533_27407562_30_-	hsa_piR_011255_DQ585195	piRNA	ENSG00000158195.11	protein_coding	WASF2	exon	exon
chr1_27407533_27407563_31_-	URS0000168491_GR_chr1_27407533_27407563_31_-	piRNA	ENSG00000158195.11	protein_coding	WASF2	exon	exon
chr1_27407535_27407562_28_-	URS000035D52E_GR_chr1_27407535_27407562_28_-	piRNA	ENSG00000158195.11	protein_coding	WASF2	exon	exon
chr1_27414857_27414884_28_-	hsa_piR_006586_DQ579007	piRNA	ENSG00000158195.11	protein_coding	WASF2	exon	exon
chr1_27850374_27850402_29_+	hsa_piR_006444_DQ578806	piRNA	ENSG00000117751.18	protein_coding	PPP1R8	exon	exon
chr1_27971174_27971204_31_-	hsa_piR_004934_DQ576790	piRNA	ENSG00000158161.16	protein_coding	EYA3	exon	exon
chr1_27973804_27973830_27_-	hsa_piR_000711_DQ570883	piRNA	ENSG00000158161.16	protein_coding	EYA3	exon	exon
chr1_28148396_28148424_29_-	hsa_piR_022173_DQ600362	piRNA	ENSG00000169403.12	protein_coding	PTAFR	exon	exon
chr1_28236117_28236143_27_+	hsa_piR_010798_DQ584568	piRNA	ENSG00000130770.18	protein_coding	ATP5IF1	exon	exon
chr1_29069928_29069955_28_+	URS00000B4631_GR_chr1_1262113_1262140_28_+	piRNA	ENSG00000159023.21	protein_coding	EPB41	exon	exon
chr1_31793735_31793765_31_-	URS000020B8C7_GR_chr1_31793735_31793765_31_-	piRNA	ENSG00000134668.12	protein_coding	SPOCD1	exon	exon
chr1_32075751_32075779_29_+	hsa_piR_020655_DQ598426	piRNA	ENSG00000121775.18	protein_coding	TMEM39B	exon	exon
chr1_32159401_32159426_26_+	hsa_piR_018026_DQ594843	piRNA	ENSG00000025800.14	protein_coding	KPNA6	exon	exon
chr1_32172208_32172233_26_+	hsa_piR_005553_DQ577631	piRNA	ENSG00000025800.14	protein_coding	KPNA6	exon	exon
chr1_32172345_32172372_28_+	hsa_piR_005928_DQ578138	piRNA	ENSG00000025800.14	protein_coding	KPNA6	exon	exon
chr1_32206188_32206213_26_+	hsa_piR_003342_DQ574530	piRNA	ENSG00000160051.11	protein_coding	IQCC	exon	exon
chr1_32224090_32224116_27_+	hsa_piR_022095_DQ600266	piRNA	ENSG00000084623.11	protein_coding	EIF3I	exon	exon
chr1_32229180_32229205_26_+	hsa_piR_003211_DQ574355	piRNA	ENSG00000084623.11	protein_coding	EIF3I	exon	exon
chr1_32680550_32680575_26_-	hsa_piR_001072_DQ571380	piRNA	ENSG00000162520.15	protein_coding	SYNC	exon	exon
chr1_32857165_32857193_29_+	URS00005B5DA4_GR_chr1_32857165_32857193_29_+	piRNA	ENSG00000116497.18	protein_coding	S100PBP	exon	exon
chr1_33256483_33256509_27_+	hsa_piR_019732_DQ597080	piRNA	ENSG00000160094.15	protein_coding	ZNF362	exon	exon
chr1_34197284_34197315_32_+	hsa_piR_021390_DQ599369	piRNA	ENSG00000142698.15	protein_coding	C1orf94	exon	exon
chr1_35714154_35714180_27_-	hsa_piR_013720_DQ588737	piRNA	ENSG00000142686.8	protein_coding	C1orf216	exon	exon
chr1_35853741_35853770_30_+	hsa_piR_005319_DQ577321	piRNA	ENSG00000134698.11	protein_coding	AGO4	exon	exon
chr1_35915432_35915461_30_+	hsa_piR_018634_DQ595629	piRNA	ENSG00000092847.13	protein_coding	AGO1	exon	exon
chr1_35922413_35922442_30_+	URS000008A0E7_GR_chr1_35922413_35922442_30_+	piRNA	ENSG00000092847.13	protein_coding	AGO1	exon	exon
chr1_35922631_35922659_29_+	hsa_piR_005765_DQ577919	piRNA	ENSG00000092847.13	protein_coding	AGO1	exon	exon
chr1_35926523_35926549_27_+	hsa_piR_001389_DQ571915	piRNA	ENSG00000092847.13	protein_coding	AGO1	exon	exon
chr1_36340758_36340786_29_-	hsa_piR_013511_DQ588340	piRNA	ENSG00000196182.11	protein_coding	STK40	exon	exon
chr1_36354362_36354388_27_-	hsa_piR_014073_DQ589231	piRNA	ENSG00000196182.11	protein_coding	STK40	exon	exon
chr1_36358784_36358813_30_-	URS00005BD746_GR_chr1_36358784_36358813_30_-	piRNA	ENSG00000196182.11	protein_coding	STK40	exon	exon
chr1_37480370_37480398_29_+	URS000054FF48_GR_chr1_37480370_37480398_29_+	piRNA	ENSG00000163874.11	protein_coding	ZC3H12A	exon	exon
chr1_37482911_37482936_26_+	hsa_piR_011432_DQ585444	piRNA	ENSG00000163874.11	protein_coding	ZC3H12A	exon	exon
chr1_37709011_37709040_30_+	hsa_piR_019259_DQ596442	piRNA	ENSG00000134690.11	protein_coding	CDCA8	exon	exon
chr1_37812000_37812025_26_-	hsa_piR_018506_DQ595444	piRNA	ENSG00000188786.10	protein_coding	MTF1	exon	exon
chr1_37812215_37812245_31_-	hsa_piR_012614_DQ587058	piRNA	ENSG00000188786.10	protein_coding	MTF1	exon	exon
chr1_37812221_37812250_30_-	hsa_piR_021405_DQ599385	piRNA	ENSG00000188786.10	protein_coding	MTF1	exon	exon
chr1_37812709_37812737_29_-	hsa_piR_007192_DQ579803	piRNA	ENSG00000188786.10	protein_coding	MTF1	exon	exon
chr1_37812802_37812828_27_-	hsa_piR_013605_DQ588561	piRNA	ENSG00000188786.10	protein_coding	MTF1	exon	exon
chr1_37814410_37814435_26_-	hsa_piR_016362_DQ592299	piRNA	ENSG00000188786.10	protein_coding	MTF1	exon	exon
chr1_37815244_37815273_30_-	URS0000072F6A_GR_chr1_37815244_37815273_30_-	piRNA	ENSG00000188786.10	protein_coding	MTF1	exon	exon
chr1_37822468_37822497_30_-	hsa_piR_005982_DQ578215	piRNA	ENSG00000188786.10	protein_coding	MTF1	exon	exon
chr1_38838754_38838783_30_-	hsa_piR_005303_DQ577299	piRNA	ENSG00000116954.8	protein_coding	RRAGC	exon	exon
chr1_38859716_38859742_27_-	hsa_piR_020786_DQ598612	piRNA	ENSG00000116954.8	protein_coding	RRAGC	exon	exon
chr1_38864188_38864213_26_-	hsa_piR_006729_DQ579197	piRNA	ENSG00000214114.9	protein_coding	MYCBP	exon	exon
chr1_39003378_39003404_27_+	hsa_piR_008483_DQ581526	piRNA	ENSG00000174574.16	protein_coding	AKIRIN1	exon	exon
chr1_39004840_39004867_28_+	URS000052D69E_GR_chr1_39004840_39004867_28_+	piRNA	ENSG00000174574.16	protein_coding	AKIRIN1	exon	exon
chr1_39388183_39388208_26_+	hsa_piR_012095_DQ586338	piRNA	ENSG00000127603.29	protein_coding	MACF1	exon	exon
chr1_39525943_39525970_28_+	hsa_piR_004901_DQ576739	piRNA	ENSG00000183682.8	protein_coding	BMP8A	exon	exon
chr1_39754082_39754109_28_+	hsa_piR_020215_DQ597761	piRNA	ENSG00000084072.17	protein_coding	PPIE	exon	exon
chr1_39901148_39901173_26_-	hsa_piR_003543_DQ574813	piRNA	ENSG00000116990.11	protein_coding	MYCL	exon	exon
chr1_40061735_40061762_28_+	URS000042F8AD_GR_chr1_40061735_40061762_28_+	piRNA	ENSG00000131236.17	protein_coding	CAP1	exon	exon
chr1_40626673_40626701_29_-	hsa_piR_012462_DQ586858	piRNA	ENSG00000117016.10	protein_coding	RIMS3	exon	exon
chr1_42278459_42278489_31_-	hsa_piR_013472_DQ588280	piRNA	ENSG00000198815.9	protein_coding	FOXJ3	exon	exon
chr1_43270906_43270935_30_-	URS0000388D02_GR_chr1_43270906_43270935_30_-	piRNA	ENSG00000117395.12	protein_coding	EBNA1BP2	exon	exon
chr1_43840661_43840686_26_+	hsa_piR_004374_DQ576021	piRNA	ENSG00000126091.21	protein_coding	ST3GAL3	exon	exon
chr1_43971076_43971102_27_+	hsa_piR_017809_DQ594577	piRNA	ENSG00000132768.14	protein_coding	DPH2	exon	exon
chr1_44778428_44778455_28_+	hsa_piR_001101_DQ571419	piRNA	ENSG00000142937.12	protein_coding	RPS8	exon	exon
chr1_45343498_45343523_26_+	hsa_piR_011253_DQ585191	piRNA	ENSG00000132773.12	protein_coding	TOE1	exon	exon
chr1_45499541_45499566_26_-	hsa_piR_002002_DQ572676	piRNA	ENSG00000280670.3	protein_coding	CCDC163	exon	exon
chr1_45514962_45514989_28_-	hsa_piR_021764_DQ599818	piRNA	ENSG00000117450.14	protein_coding	PRDX1	exon	exon
chr1_46035617_46035645_29_+	hsa_piR_005863_DQ578050	piRNA	ENSG00000086015.22	protein_coding	MAST2	exon	exon
chr1_46040829_46040856_28_-	hsa_piR_000345_DQ570412	piRNA	ENSG00000117461.15	protein_coding	PIK3R3	exon	exon
chr1_46041630_46041660_31_-	hsa_piR_012812_DQ587351	piRNA	ENSG00000117461.15	protein_coding	PIK3R3	exon	exon
chr1_46041785_46041813_29_-	hsa_piR_010299_DQ583875	piRNA	ENSG00000117461.15	protein_coding	PIK3R3	exon	exon
chr1_46042420_46042447_28_-	hsa_piR_001297_DQ571787	piRNA	ENSG00000117461.15	protein_coding	PIK3R3	exon	exon
chr1_46344912_46344938_27_+	hsa_piR_002511_DQ573389	piRNA	ENSG00000117481.10	protein_coding	NSUN4	exon	exon
chr1_46718934_46718959_26_-	hsa_piR_015745_DQ591519	piRNA	ENSG00000159658.13	protein_coding	EFCAB14	exon	exon
chr1_52087748_52087776_29_+	hsa_piR_002562_DQ573460	piRNA	ENSG00000134717.18	protein_coding	BTF3L4	exon	exon
chr1_52822443_52822471_29_+	hsa_piR_003532_DQ574796	piRNA	ENSG00000162378.13	protein_coding	ZYG11B	exon	exon
chr1_52854476_52854503_28_+	hsa_piR_004057_DQ575538	piRNA	ENSG00000203995.10	protein_coding	ZYG11A	exon	exon
chr1_52894277_52894303_27_+	hsa_piR_014313_DQ589559	piRNA	ENSG00000203995.10	protein_coding	ZYG11A	exon	exon
chr1_52994721_52994746_26_+	hsa_piR_021176_DQ599097	piRNA	ENSG00000116171.19	protein_coding	SCP2	exon	exon
chr1_53213321_53213347_27_+	hsa_piR_002842_DQ573824	piRNA	ENSG00000157184.7	protein_coding	CPT2	exon	exon
chr1_54103335_54103362_28_+	URS000053990B_GR_chr1_3976178_3976205_28_-	piRNA	ENSG00000116205.14	protein_coding	TCEANC2	exon	exon
chr1_54216169_54216194_26_+	hsa_piR_014906_DQ590382	piRNA	ENSG00000116221.15	protein_coding	MRPL37	exon	exon
chr1_54759018_54759043_26_-	hsa_piR_011841_DQ586014	piRNA	ENSG00000162396.6	protein_coding	PARS2	exon	exon
chr1_54875951_54875977_27_-	hsa_piR_003985_DQ575433	piRNA	ENSG00000116133.13	protein_coding	DHCR24	exon	exon
