smallRNA	logFC_Tumour_Normal_FC	P.Value_Tumour_Normal_FC	adj.P.Val_Tumour_Normal_FC	logFC_Tumour_Normal_salmon	P.Value_Tumour_Normal_salmon	adj.P.Val_Tumour_Normal_salmon	gene_type
URS000023BE29_GR_chr11_72615066_72615088_23_-	-3.962776696692972	8.685630976404651e-7	5.468989045269177e-5	-4.116733196016341	1.9939149319469334e-6	4.4181003053084657e-4	miRNA
URS0000EFE6B7_GR_chr11_72615065_72615124_60_-	-3.5731364199113758	8.865278051502036e-7	5.468989045269177e-5	-3.5515027711566134	4.177669117914815e-5	0.0012882912148847975	precursor_RNA
URS0000306C33_GR_chr11_72615063_72615130_68_-	-3.573167437737171	8.866755992884836e-7	5.468989045269177e-5	NA	NA	NA	precursor_RNA
URS00006ECD73_GR_chr14_101045918_101045996_79_+	-2.3564213420565103	9.055962494757884e-7	5.468989045269177e-5	NA	NA	NA	precursor_RNA
URS000075A1A8_GR_chr14_101045920_101045994_75_+	-2.3564213420565103	9.055962494757884e-7	5.468989045269177e-5	-2.4628822539819204	2.459966762421195e-6	4.4181003053084657e-4	precursor_RNA
URS0000EFD56E_GR_chr14_101045926_101045989_64_+	-2.35621701187296	9.069048443530379e-7	5.468989045269177e-5	NA	NA	NA	precursor_RNA
URS00001FFA8C_GR_chr14_101045968_101045989_22_+	-2.351219197524349	9.938331084546474e-7	5.468989045269177e-5	-2.192591600767484	1.9194706397252727e-5	9.09683734808197e-4	miRNA
URS000060A1F4_GR_chr14_101022071_101022091_21_+	-2.5921277048967255	9.991835086958194e-7	5.468989045269177e-5	-2.107457432300749	4.548350035063667e-5	0.0012882912148847975	miRNA
URS0000EFCB87_GR_chr14_101022070_101022129_60_+	-2.590072394717984	1.0219993787937812e-6	5.468989045269177e-5	-2.8591810494559002	9.894301980726253e-6	6.834679368224751e-4	precursor_RNA
URS000075EEE5_GR_chr14_101022066_101022132_67_+	-2.589805890074212	1.0243809927181664e-6	5.468989045269177e-5	NA	NA	NA	precursor_RNA
URS000050DE77_GR_chr21_16539838_16539859_22_+	-2.4777572979928504	1.0254323787254006e-6	5.468989045269177e-5	NA	NA	NA	miRNA
hsa_piR_008114_DQ581033	-2.4677500852617804	1.0684764604773848e-6	5.468989045269177e-5	-2.539924005805176	5.844876976915004e-6	6.129129807420033e-4	piRNA
URS0000031E12_GR_chr21_16539828_16539911_84_+	-2.457738619924527	1.0770997591935272e-6	5.468989045269177e-5	NA	NA	NA	precursor_RNA
URS00002DE03A_GR_chr21_16539832_16539907_76_+	-2.457738619924527	1.0770997591935272e-6	5.468989045269177e-5	-2.067063907603686	5.832902097106856e-4	0.004364955069334964	precursor_RNA
URS0000EFE150_GR_chr21_16539837_16539904_68_+	-2.457758592063506	1.0805523288932091e-06	5.468989045269177e-5	-2.3106889628540603	1.2637619640298847e-5	7.133524735557478e-4	precursor_RNA
URS0000208A34_GR_chr21_16539089_16539169_81_+	-2.5303507100694986	1.2355797193012713e-6	5.5551009262267796e-5	NA	NA	NA	precursor_RNA
URS000071CCC6_GR_chr21_16539094_16539165_72_+	-2.5303507100694986	1.2355797193012713e-6	5.5551009262267796e-5	NA	NA	NA	precursor_RNA
URS0000EFE6EA_GR_chr21_16539100_16539160_61_+	-2.5303339125208097	1.2357202449812985e-6	5.5551009262267796e-5	-2.634263078167173	7.507842748510062e-6	6.129129807420033e-4	precursor_RNA
URS0000157026_GR_chr21_16539101_16539122_22_+	-2.534144351099835	1.239187587112411e-6	5.5551009262267796e-5	NA	NA	NA	miRNA
URS000025D232_GR_chr11_72615102_72615124_23_-	-3.44602909518382	1.2933637336731797e-6	5.636910272592275e-5	NA	NA	NA	miRNA
URS000075C4DA_GR_chr6_6169334_6169409_76_+	-3.1589853024137127	1.8579795907805236e-6	7.577550518208693e-5	NA	NA	NA	precursor_RNA
URS0000EFBB37_GR_chr6_6169342_6169402_61_+	-3.1589853024137127	1.8579795907805236e-6	7.577550518208693e-5	-3.185562943677538	3.5358994476589515e-6	4.536053862853912e-4	precursor_RNA
URS000075E023_GR_chr6_6169343_6169366_24_+	-3.154700362513323	1.883521161313824e-6	7.577550518208693e-5	-3.5947866027438824	1.43338149318755e-4	0.0021452943014707	miRNA
URS0000528CBC_GR_chr7_129774967_129774988_22_-	2.104618123773312	2.0831861136253226e-6	8.171297530695329e-5	NA	NA	NA	miRNA
URS0000527F89_GR_chr5_149430661_149430683_23_+	-2.4815677099798092	2.2593895803447634e-6	8.513743347779167e-5	-2.497144585883495	1.2710066343977689e-5	7.133524735557478e-4	miRNA
URS00006E4867_GR_chr5_149430646_149430732_87_+	-2.4680259888265885	2.3754390190786694e-6	8.513743347779167e-5	NA	NA	NA	precursor_RNA
URS00004F4657_GR_chr5_149430646_149430733_88_+	-2.4680259888265885	2.3754390190786694e-6	8.513743347779167e-5	-2.0340467859637275	1.4021108366976068e-4	0.0021452943014707	precursor_RNA
URS0000EFDA02_GR_chr5_149430660_149430720_61_+	-2.467991912935063	2.3875379687844703e-6	8.513743347779167e-5	-2.6586018091573758	2.0260216810872985e-5	9.09683734808197e-4	precursor_RNA
URS000075A952_GR_chr2_176150330_176150351_22_+	-2.457931855173971	2.7040280890301997e-6	9.428044603751963e-5	NA	NA	NA	miRNA
URS00004FCB5F_GR_chr21_16590292_16590313_22_+	-2.29500776161741	2.9900674146817808e-6	1.0198729942686335e-4	-2.3617401875777735	6.2995040996188475e-6	6.129129807420033e-4	miRNA
URS00005D8C46_GR_chr2_176150329_176150349_21_+	-2.3243457020850933	3.368262267917945e-6	1.1244262762475012e-4	NA	NA	NA	miRNA
URS00006284D8_GR_chr14_100884483_100884576_94_+	-2.5452322095987743	4.753975510074316e-6	1.53875561185567e-4	NA	NA	NA	precursor_RNA
URS000046820B_GR_chr2_176150329_176150350_22_+	-2.5554481703342162	5.076371477878474e-6	1.53875561185567e-4	NA	NA	NA	miRNA
URS0000164B86_GR_chr11_62853904_62853968_65_-	1.9716904286294605	5.187286597729484e-6	1.53875561185567e-4	1.9508071033439283	1.1626716278696574e-5	7.133524735557478e-4	snoRNA
URS000031D4C0_GR_chr21_16590247_16590316_70_+	-2.098585515331628	5.318568021419326e-6	1.53875561185567e-4	-2.814900154239571	7.91951265119798e-5	0.001723367199037451	precursor_RNA
URS00001925C1_GR_chr21_16590290_16590311_22_+	-2.1672965565891262	5.3533410666552695e-6	1.53875561185567e-4	-2.3626667646827832	1.5547372154816155e-4	0.0021937144655804004	miRNA
URS0000EFE1B2_GR_chr21_16590252_16590313_62_+	-2.0973285525712075	5.36253527328268e-6	1.53875561185567e-4	-2.5524011618802778	4.560784968047971e-5	0.0012882912148847975	precursor_RNA
URS000058997A_GR_chr21_16590237_16590325_89_+	-2.0934602017738255	5.431462965905203e-6	1.53875561185567e-4	NA	NA	NA	precursor_RNA
URS0000680F44_GR_chr2_176150322_176150396_75_+	-2.5416301368139607	5.743496961777177e-6	1.53875561185567e-4	NA	NA	NA	precursor_RNA
URS0000EFE4D0_GR_chr2_176150328_176150390_63_+	-2.541624346763019	5.743601145506317e-6	1.53875561185567e-4	-2.5258030120905364	1.9316611742810433e-5	9.09683734808197e-4	precursor_RNA
URS0000EFBD9F_GR_chr2_176150329_176150389_61_+	-2.541613424199342	5.743729277101685e-6	1.53875561185567e-4	-2.4737252939835077	2.3309227593960998e-5	9.588515951167105e-4	precursor_RNA
URS0000209905_GR_chr11_122099809_122099830_22_-	-2.0954849407107146	5.772612801314014e-6	1.53875561185567e-4	NA	NA	NA	miRNA
URS000062858F_GR_chr11_122099766_122099836_71_-	-2.080668637344383	6.099903967180956e-6	1.53875561185567e-4	NA	NA	NA	precursor_RNA
URS0000EFE3D6_GR_chr11_122099768_122099830_63_-	-2.080633219474424	6.09997493304727e-6	1.53875561185567e-4	-2.14551731966073	2.3490796316890456e-5	9.588515951167105e-4	precursor_RNA
URS00002A66E1_GR_chr11_122099757_122099844_88_-	-2.078233899485343	6.10982473501641e-6	1.53875561185567e-4	NA	NA	NA	precursor_RNA
URS00006E2A34_GR_chr13_21139886_21139957_72_-	3.764016279893891	6.175003130826888e-6	1.53875561185567e-4	3.3163612179200666	4.436394395085054e-4	0.003830655929602287	snoRNA
URS000058760A_GR_chr2_176150329_176150351_23_+	-2.5321261516616342	6.232940073305359e-6	1.53875561185567e-4	NA	NA	NA	miRNA
URS0000EFC395_GR_chr14_100884495_100884564_70_+	-2.6481727553676655	6.27663219622453e-6	1.53875561185567e-4	-2.8092898055461153	1.136860876341544e-4	0.0019514999413950099	precursor_RNA
URS00001E3DAA_GR_chr14_100883035_100883056_22_+	-2.2795527814146492	6.975488494373536e-6	1.6837756073341659e-4	-2.2307461438430884	6.165448142285772e-5	0.0015365904293532858	miRNA
URS00001C406A_GR_chr14_100884496_100884518_23_+	-2.656015554106595	7.315058846876749e-6	1.738988989507518e-4	NA	NA	NA	miRNA
hsa_piR_019224_DQ596390	-2.2641526589770624	1.0764113589904114e-5	2.459783320688689e-4	-2.286645019378601	5.386261760892687e-4	0.004280409788744808	piRNA
URS00005B3525_GR_chr17_7017667_7017687_21_-	-1.882240542817545	1.0908440034421594e-5	2.459783320688689e-4	NA	NA	NA	miRNA
URS000075D742_GR_chr14_100949833_100949903_71_+	-2.272769427177708	1.0974176701606643e-5	2.459783320688689e-4	NA	NA	NA	snoRNA
URS000067B8ED_GR_chr14_100949833_100949904_72_+	-2.272769427177708	1.0974176701606643e-5	2.459783320688689e-4	NA	NA	NA	snoRNA
URS0000D4FABD_GR_chr7_139044137_139044157_21_-	1.7788855442038933	1.2033020741402209e-5	2.6591281046845167e-4	NA	NA	NA	miRNA
URS00006E38EC_GR_chr14_100989130_100989201_72_+	-2.281427364770346	1.2821534266778757e-5	2.770682178480395e-4	NA	NA	NA	snoRNA
URS000075A673_GR_chr14_100989130_100989200_71_+	-2.280285373074062	1.2898642473182222e-5	2.770682178480395e-4	NA	NA	NA	snoRNA
URS00006A8564_GR_chr11_75335092_75335186_95_-	-1.7231461298199164	1.325483390719586e-5	2.770682178480395e-4	-1.862900416484007	3.565356182940373e-5	0.0011858110564001685	precursor_RNA
URS0000EFC584_GR_chr11_75335107_75335167_61_-	-1.7200129961153472	1.365413480462093e-5	2.770682178480395e-4	-2.321629830446352	2.54539024686518e-4	0.0025694961600045045	precursor_RNA
URS00003958AD_GR_chr11_568113_568133_21_-	2.4207298530372605	1.4143123999904698e-5	2.770682178480395e-4	NA	NA	NA	miRNA
URS00004E0FA9_GR_chr11_62853663_62853732_70_-	1.8654949254915536	1.4469026089865853e-5	2.770682178480395e-4	1.7966173736448372	2.6445849485792163e-5	0.0010325379494887548	snoRNA
URS000058FDD6_GR_chrM_2742_2836_95_+	2.1022721790274144	1.4878479096392508e-5	2.770682178480395e-4	2.1899394505409884	8.929537297910545e-5	0.0017432009768529714	rRNA
URS0000816F9C_GR_chr1_173865966_173866028_63_-	2.722312488480884	1.4926013275170628e-5	2.770682178480395e-4	2.7262549129416582	4.9094419017738355e-5	0.0012966702434685012	snoRNA
URS00006AAF5B_GR_chr14_100987046_100987117_72_+	-2.141532754373491	1.49582527821782e-5	2.770682178480395e-4	-2.653414750706198	3.99106542523709e-4	0.003513702697904811	snoRNA
URS0000EFEC4D_GR_chr11_568111_568171_61_-	2.9786140254566806	1.5051937438921332e-5	2.770682178480395e-4	2.348472078943386	3.076311316814677e-5	0.0011510531510414916	precursor_RNA
URS000007E37F_GR_chr1_159141611_159141684_74_-	4.292435038994668	1.5063509750163732e-5	2.770682178480395e-4	NA	NA	NA	tRNA
URS000075CBCD_GR_chr14_100987046_100987116_71_+	-2.1394903838921557	1.518672549933638e-5	2.770682178480395e-4	NA	NA	NA	snoRNA
URS00004C8BCF_GR_chr1_173865968_173866028_61_-	2.719152899890357	1.5235373223631702e-5	2.770682178480395e-4	NA	NA	NA	snoRNA
URS000068F4AA_GR_chr11_568090_568185_96_-	2.9771348850074855	1.5272599186676067e-5	2.770682178480395e-4	2.4051557581058356	1.3234687800468402e-4	0.0021250257189183407	precursor_RNA
URS0000680170_GR_chr14_100973595_100973664_70_+	-1.9719101427420014	1.545582892047333e-5	2.770682178480395e-4	NA	NA	NA	snoRNA
URS00000A939F_GR_chr11_75335108_75335127_20_-	-1.7043837755414888	1.5475982242208065e-5	2.770682178480395e-4	-1.4941313050733034	1.7134561293197104e-4	0.00229654269273	miRNA
URS000075ADDA_GR_chr14_100973595_100973663_69_+	-1.9652518811602588	1.5734953994565798e-5	2.770682178480395e-4	NA	NA	NA	snoRNA
URS000075B715_GR_chr1_1169005_1169087_83_+	1.8553575598005598	1.6145760638940365e-5	2.770682178480395e-4	NA	NA	NA	precursor_RNA
URS000040EE1D_GR_chr17_7017615_7017701_87_-	-1.7324872118900716	1.6408261188977018e-5	2.770682178480395e-4	NA	NA	NA	precursor_RNA
URS00006D9757_GR_chr17_7017620_7017696_77_-	-1.7324872118900716	1.6408261188977018e-5	2.770682178480395e-4	NA	NA	NA	precursor_RNA
URS0000EFC120_GR_chr17_7017626_7017687_62_-	-1.7323751441160784	1.642219904263074e-5	2.770682178480395e-4	-1.7101927642617962	3.3854099549082836e-5	0.0011858110564001685	precursor_RNA
URS000055128B_GR_chr11_568112_568133_22_-	3.0203160056168237	1.642278155504632e-5	2.770682178480395e-4	3.091469368930614	5.5063216511605e-5	0.001412764812212037	miRNA
hsa_piR_016963_DQ593398	-2.2413011455488694	1.6658219357012096e-5	2.7805049118246786e-4	-2.1284813662711386	0.0012729823181928087	0.007189547935453724	piRNA
URS0000EFD64F_GR_chr1_1169019_1169076_58_+	1.8574331874895424	1.8097736732577163e-5	2.98898409825406e-4	NA	NA	NA	precursor_RNA
URS000062318B_GR_chr14_101033756_101033835_80_+	-2.4371736389750556	1.8722424013162443e-5	3.0599461746512365e-4	-2.272668856680049	3.2083306311688387e-4	0.0030910675973364415	precursor_RNA
URS0000072D03_GR_chr17_7017666_7017687_22_-	-1.7044911275434433	1.9206734926567843e-5	3.076181436352789e-4	NA	NA	NA	miRNA
URS0000EFD266_GR_chr14_101040233_101040289_57_+	-2.3147492087342747	1.9213880227060122e-5	3.076181436352789e-4	-2.272758469326809	6.236769940661197e-4	0.00448774564239441	precursor_RNA
URS0000007340_GR_chr14_100882979_100883075_97_+	-2.0387940480769906	1.9834232072105165e-5	3.136197981796979e-4	-2.5043464572367027	6.75028583036634e-5	0.0015822427608365433	precursor_RNA
URS000075B509_GR_chr14_101040219_101040299_81_+	-2.3281696446747473	2.004396790702025e-5	3.136197981796979e-4	-2.3911442055377194	0.0011662384330092853	0.006756658792531215	precursor_RNA
URS0000EFED0D_GR_chr14_100883000_100883056_57_+	-2.033274336741705	2.0188400010292854e-5	3.136197981796979e-4	-1.3501330502182984	0.0035970695962676126	0.01516511031665876	precursor_RNA
URS000075C517_GR_chr14_101033755_101033836_82_+	-2.3649796339963616	2.3564316697581523e-5	3.62474636259857e-4	NA	NA	NA	precursor_RNA
URS000075C3B9_GR_chr14_100953349_100953422_74_+	-1.9825349262635052	2.5005366374183557e-5	3.74010563969989e-4	NA	NA	NA	snoRNA
URS00007234FC_GR_chr14_100953349_100953423_75_+	-1.9825349262635052	2.5005366374183557e-5	3.74010563969989e-4	-1.8740844212144454	1.348847059892488e-4	0.0021250257189183407	snoRNA
URS00002F40E9_GR_chr14_101040269_101040290_22_+	-2.2925700004702927	2.5029387646175173e-5	3.74010563969989e-4	-2.424156433909035	2.1697034339762572e-4	0.0023762961382143323	miRNA
URS0000EFC56F_GR_chr14_101040269_101040289_21_+	-2.2697543273321266	2.7066559630334222e-5	4.0063615150938105e-4	NA	NA	NA	miRNA
URS000066C003_GR_chr7_148941488_148941566_79_+	1.6832670627282136	2.805111014750035e-5	4.113288955273649e-4	NA	NA	NA	Y_RNA
URS0000EFD35A_GR_chr14_100881025_100881090_66_+	-2.0982089389605356	2.901633313463652e-5	4.215428397059695e-4	-1.8917152707756772	3.6802107350279717e-4	0.003272108158470415	precursor_RNA
URS00006EEEE6_GR_chr14_100983876_100983947_72_+	-2.028194602671759	2.933701852090443e-5	4.2229157852567933e-4	NA	NA	NA	snoRNA
URS000055BBE5_GR_chr1_1169055_1169076_22_+	1.7477639035343362	2.9609540659020735e-5	4.2233972085457756e-4	1.7655157878699175	3.520877461743495e-5	0.0011858110564001685	miRNA
URS000075B92D_GR_chr14_100983876_100983946_71_+	-2.025769574735589	2.9947991455621103e-5	4.233189062510767e-4	NA	NA	NA	snoRNA
URS00002BE588_GR_chr1_173865966_173866027_62_-	2.603179311433528	3.1809959354848966e-5	4.4562344846212526e-4	NA	NA	NA	misc_RNA
URS00006CFC33_GR_chr1_173865622_173865686_65_-	2.656273559684853	3.245182216333689e-5	4.4956584185417656e-4	2.623239916623071	1.4618635347905906e-4	0.002152054843019591	snoRNA
URS0000305406_GR_chr5_149430661_149430681_21_+	-1.9448205453088807	3.266443975231111e-5	4.4956584185417656e-4	NA	NA	NA	miRNA
URS0000D548A2_GR_chr7_139044100_139044157_58_-	1.5895975631081622	3.415650956673016e-5	4.634663743231228e-4	1.5855741261162875	1.6123068455267976e-4	0.0021937144655804004	precursor_RNA
URS0000C97B23_GR_chr7_139044101_139044157_57_-	1.5933855399251717	3.4265200396100855e-5	4.634663743231228e-4	NA	NA	NA	precursor_RNA
URS00007E3FDA_GR_chr14_101026035_101026056_22_+	-2.199216863459595	3.55441038734616e-5	4.760165896360579e-4	-3.275440923393905	6.880526680581131e-4	0.004789699968342524	miRNA
hsa_piR_015026_DQ590548	1.9270478242139735	3.579984549206809e-5	4.760165896360579e-4	NA	NA	NA	piRNA
URS00005A29A1_GR_chr8_66113988_66114075_88_+	1.8106585676531757	3.618435479824971e-5	4.770861569617966e-4	NA	NA	NA	tRNA
URS00004BF1DC_GR_chr8_41660444_41660465_22_+	-4.041578953210301	3.778948241189367e-5	4.885183612053223e-4	NA	NA	NA	miRNA
URS00007629C2_GR_chr17_59841311_59841332_22_+	1.6450333023676444	3.78150547648615e-5	4.885183612053223e-4	1.584322693258036	2.0385675610006898e-4	0.0023762961382143323	miRNA
URS000075EE0E_GR_chr8_41660444_41660507_64_+	-4.056921503576524	3.803336800222076e-5	4.885183612053223e-4	NA	NA	NA	precursor_RNA
URS0000632075_GR_chr16_69933083_69933180_98_+	-1.6834299826942347	3.829685049601953e-5	4.885183612053223e-4	-2.159800501885532	6.871655642831313e-5	0.0015822427608365433	precursor_RNA
URS00004AC389_GR_chr2_176150368_176150389_22_+	-2.0551276206835705	3.9917269017509174e-5	5.018253281550564e-4	-2.175234728440797	7.857647054735846e-5	0.001723367199037451	miRNA
URS0000155F25_GR_chr5_149430700_149430721_22_+	-2.0657221023169696	3.9979710656075244e-5	5.018253281550564e-4	-2.50828896852148	0.0012017130742433282	0.006873492615735724	miRNA
URS0000EFE77A_GR_chr8_41660441_41660505_65_-	-4.07746946831687	4.1849485954883056e-5	5.187500960162891e-4	-4.196907993625991	4.576900542981756e-5	0.0012882912148847975	precursor_RNA
URS000071BDB0_GR_chr8_41660441_41660508_68_-	-4.077141354599371	4.1989332182325504e-5	5.187500960162891e-4	NA	NA	NA	precursor_RNA
URS000055DDDD_GR_chr5_149430701_149430721_21_+	-2.173808682590449	4.283674504553528e-5	5.250847888784754e-4	-3.3506489396462604	0.0029349789970504955	0.013378736747976369	miRNA
URS00007E3F24_GR_chr11_2134140_2134161_22_-	-1.885078522887434	4.683056628419399e-5	5.6959037596822e-4	-1.928877372219983	2.9888781037693647e-4	0.002982236152427655	miRNA
URS000070779B_GR_chr1_148020474_148020544_71_+	1.9111650002434986	5.1288210910145225e-5	6.165450071330229e-4	NA	NA	NA	tRNA
URS00002AE1D6_GR_chr17_7017978_7017999_22_-	-1.5635379208165996	5.14769891232798e-5	6.165450071330229e-4	NA	NA	NA	miRNA
URS0000EFE6DB_GR_chr11_122152239_122152296_58_-	-2.52203630666364	5.309164567995413e-5	6.217594299627649e-4	-2.508370622363424	1.5980682656065328e-4	0.0021937144655804004	precursor_RNA
URS000054969A_GR_chr11_122152229_122152308_80_-	-2.521964390138116	5.310118777247323e-5	6.217594299627649e-4	NA	NA	NA	precursor_RNA
URS00006E50D0_GR_chr11_122152234_122152303_70_-	-2.521964390138116	5.310118777247323e-5	6.217594299627649e-4	-1.8372326346433487	0.0018111347039995868	0.009035549801064606	precursor_RNA
URS000040D674_GR_chr11_122152275_122152296_22_-	-2.5216743296384525	5.354030446767415e-5	6.222573163687462e-4	NA	NA	NA	miRNA
URS000027FB26_GR_chr9_128244785_128244805_21_-	-1.7461620663631723	5.727246598376679e-5	6.607389641803684e-4	NA	NA	NA	miRNA
URS0000559C32_GR_chrM_1602_1669_68_+	1.9725816633387332	5.8472457801421255e-5	6.650487438169978e-4	NA	NA	NA	tRNA
URS0000059DA7_GR_chrM_1601_1669_69_+	1.9725910496220795	5.849377096669579e-5	6.650487438169978e-4	NA	NA	NA	tRNA
URS000026D828_GR_chr1_173866879_173866938_60_-	2.2954484709931147	5.993759570561142e-5	6.73785532066597e-4	2.114097706270842	0.0011379088801453522	0.006719909886374103	snoRNA
URS000081566B_GR_chrM_3150_3226_77_+	2.262494661651714	6.012107998044843e-5	6.73785532066597e-4	1.9291777852625243	0.0016219876503108424	0.008370947758500783	tRNA
URS000067D064_GR_chr1_173865348_173865432_85_-	1.710634068471133	6.125313693426851e-5	6.808000149362109e-4	NA	NA	NA	snoRNA
URS00005C2A6D_GR_chr5_149428978_149428998_21_+	-1.900114236967223	6.176440422856021e-5	6.808000149362109e-4	-1.700473824318859	2.4651944247438537e-4	0.0025694961600045045	miRNA
URS0000EFC04E_GR_chr5_149428943_149428998_56_+	-1.8991379200394611	6.204869479660813e-5	6.808000149362109e-4	-1.6554357388486398	1.8292326105219308e-4	0.00233968213577107	precursor_RNA
URS00001FCA45_GR_chr1_173865350_173865430_81_-	1.7384175680203207	6.2951072159141e-5	6.859043904006405e-4	1.5796067711048387	2.5466053256169367e-4	0.0025694961600045045	snoRNA
URS0000416E93_GR_chr14_22929701_22929773_73_+	2.4475665328659924	6.706365920649555e-5	7.234678391228734e-4	2.2230582177164497	0.001344147234369076	0.007405179242106934	tRNA
URS000075DEC1_GR_chr14_101026020_101026107_88_+	-1.9974624765047972	6.73207804410067e-5	7.234678391228734e-4	NA	NA	NA	precursor_RNA
URS00001E7E7D_GR_chr14_22929700_22929773_74_+	2.4333846451225747	6.821629251295712e-5	7.281045098831954e-4	NA	NA	NA	tRNA
URS000075A884_GR_chr1_1167863_1167952_90_+	1.5171976927819415	7.009513933362011e-5	7.397409288233719e-4	NA	NA	NA	precursor_RNA
URS00005A29A1_GR_chr8_66113367_66113458_92_+	1.7174532077103697	7.055577991082896e-5	7.397409288233719e-4	NA	NA	NA	tRNA
URS0000643FAE_GR_chr20_49280319_49280409_91_+	1.717651044271979	7.07209300978367e-5	7.397409288233719e-4	1.6879514981979784	2.149445676253875e-4	0.0023762961382143323	snoRNA
URS00006E24A0_GR_chr1_1167869_1167945_77_+	1.514644153512048	7.213396980680876e-5	7.425633054030639e-4	1.195432864095927	0.05709877812909007	0.11733341592659698	precursor_RNA
URS0000EFDBD3_GR_chr1_1167877_1167938_62_+	1.5136355929828076	7.234698970195677e-5	7.425633054030639e-4	1.2493568202673453	0.0016061234969847826	0.008362290448576453	precursor_RNA
URS00000ED3D8_GR_chr17_28861404_28861424_21_-	-3.1724658649140416	7.25301743459785e-5	7.425633054030639e-4	NA	NA	NA	miRNA
URS0000EFE706_GR_chr17_7017937_7017999_63_-	-1.4911067799223217	7.288384259532939e-5	7.425633054030639e-4	-1.549986364835937	8.844177299369491e-5	0.0017432009768529714	precursor_RNA
URS0000EFD757_GR_chr14_101026034_101026092_59_+	-1.9887386293335632	7.342455092869614e-5	7.432459381104791e-4	-1.8235763260659146	3.513755241302529e-4	0.0031872244512016878	precursor_RNA
URS0000E339B7_GR_chr7_148941491_148941570_80_+	1.3626031082774368	7.437062334522988e-5	7.438507879553662e-4	1.6964821204116882	0.0011547159205871475	0.006733343484982198	misc_RNA
URS00002E857A_GR_chr17_28861403_28861424_22_-	-3.1954677445846347	7.443248802357711e-5	7.438507879553662e-4	NA	NA	NA	miRNA
URS000047CD44_GR_chr1_93847573_93847657_85_+	3.4863234351753176	7.67874160494284e-5	7.625282011490707e-4	3.2137673974706034	2.1631720836291435e-4	0.0023762961382143323	tRNA
URS000023B77E_GR_chr1_1167878_1167899_22_+	1.5996840180151066	7.744173563598291e-5	7.64189202596586e-4	1.7217919089007214	1.1517761346763422e-4	0.0019514999413950099	miRNA
URS000029711F_GR_chr12_6964155_6964178_24_+	2.1863330539292276	7.87667071893655e-5	7.724060223757154e-4	2.1513084251149923	7.51653901488321e-4	0.005037203011466509	miRNA
