RNAcentral_id	GR	logFC_Spheroid_Mono_FC	P.Value_Spheroid_Mono_FC	adj.P.Val_Spheroid_Mono_FC	logFC_Spheroid_Mono_salmon	P.Value_Spheroid_Mono_salmon	adj.P.Val_Spheroid_Mono_salmon	gene_type	RNA_type	ENSEMBL	GENCODE	GENECARDS	LNCIPEDIA	NONCODE	ENA	LNCBOOK	MALACARDS	HGNC	REFSEQ	RFAM	LNCBASE	MIRBASE	PDB	MIRGENEDB	SNODB	SNOPY	TARBASE	GTRNADB	SRPDB	5SRRNADB	LNCRNADB	MODOMICS	SILVA	TMRNA_WEB
URS000098604A	chr2_202346276_202346373_98_-	4.338348560396323	1.1471253588915036e-8	9.169836798189246e-7	4.194463730826849	2.175694292198031e-6	9.678251786532344e-5	rRNA	rRNA	NA	NA	GENECARDS:RF02543-031:URS000098604A_9606_gn_RF02543-031	NA	NA	NA	NA	NA	NA	NA	RF02543_gn_NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS0000D52200	chrX_151958628_151958651_24_-	-2.291089760437107	1.2154485305409573e-8	9.169836798189246e-7	NA	NA	NA	miRNA	miRNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hsa-Mir-224_5p_gn_NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS0000D55DFB	chrX_151958628_151958652_25_-	-2.291089760437107	1.2154485305409573e-8	9.169836798189246e-7	NA	NA	NA	miRNA	miRNA	NA	NA	GENECARDS:MIR224:URS0000D55DFB_9606_gn_MIR224	NA	NA	NA	NA	MALACARDS:MIR224:URS0000D55DFB_9606_gn_MIR224	NA	NR_029638_gn_MIR224	NA	NA	MIMAT0000281_gn_NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS00003A4D14	chr17_1713903_1713987_85_-	-1.274145014898183	1.305109149625302e-8	9.169836798189246e-7	-1.152486956875948	0.00197544651062195	0.00411857017864418	precursor_RNA	precursor_RNA	ENST00000362190_gn_ENSG00000283824.1	ENST00000362190_gn_MIR22	GENECARDS:MIR22:URS00003A4D14_9606_gn_MIR22	NA	NA	LM608167.1:1..85:precursor_RNA_gn_mir-22	NA	MALACARDS:MIR22:URS00003A4D14_9606_gn_MIR22	HGNC:31599_gn_MIR22	NR_029494_gn_MIR22	RF00653_gn_NA	NA	MI0000078_gn_NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS0000EFCEE7	chr17_1713913_1713973_61_-	-1.2742454192257124	1.3077863992269896e-8	9.169836798189246e-7	-1.313230365721739	2.44460095151403e-4	8.211351914059946e-4	precursor_RNA	precursor_RNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hsa-Mir-22-P1a_gn_NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS0000096022	chr17_1713914_1713935_22_-	-1.2752033110588084	1.3083115477959577e-8	9.169836798189246e-7	-1.3028681069311912	2.911100916095971e-6	9.790939139889344e-5	miRNA	miRNA	NA	NA	GENECARDS:MIR22:URS0000096022_9606_gn_MIR22	NA	NA	AJ421742.1:1..22:misc_RNA_gn_NA, LM378764.1:1..22:ncRNA_gn_NA, LM608167.1:53..74:ncRNA_gn_NA	NA	MALACARDS:MIR22:URS0000096022_9606_gn_MIR22	NA	NR_029494_gn_MIR22	NA	hsa-miR-22-3p_gn_NA	MIMAT0000077_gn_NA	NA	Hsa-Mir-22-P1a_3p_gn_NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS0000184017	chrX_151958578_151958658_81_-	-2.0546054782278684	1.3833972838057837e-8	9.169836798189246e-7	NA	NA	NA	precursor_RNA	precursor_RNA	ENST00000384889_gn_ENSG00000284363.1	ENST00000384889_gn_MIR224	GENECARDS:MIR224:URS0000184017_9606_gn_MIR224	NA	NA	LM608369.1:1..81:precursor_RNA_gn_mir-224	NA	MALACARDS:MIR224:URS0000184017_9606_gn_MIR224	HGNC:31604_gn_MIR224	NR_029638_gn_MIR224	RF00680_gn_NA	NA	MI0000301_gn_NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS0000EFD8E1	chrX_151958582_151958651_70_-	-2.0546054782278684	1.3833972838057837e-8	9.169836798189246e-7	-2.076776116660763	2.481729944681231e-6	9.678251786532344e-5	precursor_RNA	precursor_RNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hsa-Mir-224_gn_NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS00000BE495	chr17_30117131_30117153_23_+	-2.276749160313714	1.4083061686191728e-8	9.169836798189246e-7	-2.256062620832063	2.5936366698679034e-6	9.678251786532344e-5	miRNA	miRNA	NA	NA	GENECARDS:MIR423:URS00000BE495_9606_gn_MIR423	NA	NA	AY882274.1:1..23:ncRNA_gn_NA, LM379468.1:1..23:ncRNA_gn_NA, LM608933.1:53..75:ncRNA_gn_NA	NA	MALACARDS:MIR423:URS00000BE495_9606_gn_MIR423	NA	NR_029945_gn_MIR423	NA	hsa-miR-423-3p_gn_NA	MIMAT0001340_gn_NA	NA	Hsa-Mir-423_3p_gn_NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS00005B0D1D	chr11_109603197_109603222_26_+	4.245374645641237	1.4455534363149601e-8	9.169836798189246e-7	NA	NA	NA	piRNA	piRNA	NA	NA	GENECARDS:piR-31355:URS00005B0D1D_9606_gn_piR-31355	NA	NA	DQ597972.1:1..26:ncRNA_gn_piR-36038	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS00002D40C8	chr14_20684016_20684087_72_+	-2.7237682803317735	1.7927973834142666e-8	9.501192138305772e-7	NA	NA	NA	tRNA	tRNA	NA	NA	GENECARDS:TRP-TGG3-1:URS00002D40C8_9606_gn_TRP-TGG3-1, GENECARDS:TRP-TGG3-2:URS00002D40C8_9606_gn_TRP-TGG3-2, GENECARDS:TRP-TGG3-3:URS00002D40C8_9606_gn_TRP-TGG3-3, GENECARDS:TRP-TGG3-4:URS00002D40C8_9606_gn_TRP-TGG3-4, GENECARDS:TRP-TGG3-5:URS00002D40C8_9606_gn_TRP-TGG3-5	NA	NA	AH003013.2:1288..1359:tRNA_gn_NA, HG983997.1:1..72:tRNA_gn_tRNA-Pro-TGG-3-2, HG983998.1:1..72:tRNA_gn_tRNA-Pro-TGG-3-3, HG983999.1:1..72:tRNA_gn_tRNA-Pro-TGG-3-4, HG984000.1:1..72:tRNA_gn_tRNA-Pro-TGG-3-5, HG984001.1:1..72:tRNA_gn_tRNA-Pro-TGG-3-1	NA	NA	HGNC:12332_gn_TRP-TGG3-1, HGNC:34648_gn_TRP-TGG3-2, HGNC:34847_gn_TRP-TGG3-5, HGNC:34903_gn_TRP-TGG3-3, HGNC:34956_gn_TRP-TGG3-4	NA	RF00005_gn_NA	NA	NA	NA	NA	NA	NA	NA	tRNA-Pro-TGG-3-1:CM000667.1:180615854-180615925_gn_tRNA-Pro-TGG-3-1, tRNA-Pro-TGG-3-1:CM000667.2:181188854-181188925_gn_tRNA-Pro-TGG-3-1, tRNA-Pro-TGG-3-2:CM000676.1:21152175-21152246_gn_tRNA-Pro-TGG-3-2, tRNA-Pro-TGG-3-2:CM000676.2:20684016-20684087_gn_tRNA-Pro-TGG-3-2, tRNA-Pro-TGG-3-3:CM000678.1:3208923-3208994_gn_tRNA-Pro-TGG-3-3, tRNA-Pro-TGG-3-3:CM000678.2:3158922-3158993_gn_tRNA-Pro-TGG-3-3, tRNA-Pro-TGG-3-4:CM000678.1:3234133-3234204_gn_tRNA-Pro-TGG-3-4, tRNA-Pro-TGG-3-4:CM000678.2:3184133-3184204_gn_tRNA-Pro-TGG-3-4, tRNA-Pro-TGG-3-5:CM000678.1:3238094-3238165_gn_tRNA-Pro-TGG-3-5, tRNA-Pro-TGG-3-5:CM000678.2:3188094-3188165_gn_tRNA-Pro-TGG-3-5	NA	NA	NA	NA	NA	NA
URS0000303544	chr1_161523884_161523914_31_-	3.791733619535421	1.885341852133908e-8	9.501192138305772e-7	NA	NA	NA	piRNA	piRNA	NA	NA	GENECARDS:piR-30456:URS0000303544_9606_gn_piR-30456, GENECARDS:piR-31068-001:URS0000303544_9606_gn_piR-31068-001, GENECARDS:piR-31068-002:URS0000303544_9606_gn_piR-31068-002, GENECARDS:piR-31068-003:URS0000303544_9606_gn_piR-31068-003, GENECARDS:piR-31068-004:URS0000303544_9606_gn_piR-31068-004, GENECARDS:piR-31068-005:URS0000303544_9606_gn_piR-31068-005, GENECARDS:piR-31924-003:URS0000303544_9606_gn_piR-31924-003, GENECARDS:piR-31924-004:URS0000303544_9606_gn_piR-31924-004, GENECARDS:piR-31924-006:URS0000303544_9606_gn_piR-31924-006	NA	NA	DQ595535.1:1..31:ncRNA_gn_piR-61647	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS000016F8FA	chr1_161523885_161523914_30_-	3.854284904461227	1.9172709641899956e-8	9.501192138305772e-7	NA	NA	NA	piRNA	piRNA	NA	NA	GENECARDS:piR-30456:URS000016F8FA_9606_gn_piR-30456, GENECARDS:piR-31068-001:URS000016F8FA_9606_gn_piR-31068-001, GENECARDS:piR-31068-002:URS000016F8FA_9606_gn_piR-31068-002, GENECARDS:piR-31068-003:URS000016F8FA_9606_gn_piR-31068-003, GENECARDS:piR-31068-004:URS000016F8FA_9606_gn_piR-31068-004, GENECARDS:piR-31068-005:URS000016F8FA_9606_gn_piR-31068-005, GENECARDS:piR-31924-003:URS000016F8FA_9606_gn_piR-31924-003, GENECARDS:piR-31924-004:URS000016F8FA_9606_gn_piR-31924-004, GENECARDS:piR-31924-006:URS000016F8FA_9606_gn_piR-31924-006	NA	NA	DQ595534.1:1..30:ncRNA_gn_piR-61646	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS00001A10BC	chr1_161523885_161523913_29_-	3.87576220484908	2.0808319406147586e-8	9.501192138305772e-7	NA	NA	NA	piRNA	piRNA	NA	NA	GENECARDS:piR-30456:URS00001A10BC_9606_gn_piR-30456, GENECARDS:piR-31068-001:URS00001A10BC_9606_gn_piR-31068-001, GENECARDS:piR-31068-002:URS00001A10BC_9606_gn_piR-31068-002, GENECARDS:piR-31068-003:URS00001A10BC_9606_gn_piR-31068-003, GENECARDS:piR-31068-004:URS00001A10BC_9606_gn_piR-31068-004, GENECARDS:piR-31068-005:URS00001A10BC_9606_gn_piR-31068-005, GENECARDS:piR-31924-003:URS00001A10BC_9606_gn_piR-31924-003, GENECARDS:piR-31924-004:URS00001A10BC_9606_gn_piR-31924-004, GENECARDS:piR-31924-006:URS00001A10BC_9606_gn_piR-31924-006	NA	NA	DQ590386.1:1..29:ncRNA_gn_piR-57498	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS00000FA8B2	chr2_27050782_27050871_90_+	-3.0911597655897065	2.1801806626555472e-8	9.501192138305772e-7	NA	NA	NA	tRNA	tRNA	NA	NA	GENECARDS:TRY-GTA2-1:URS00000FA8B2_9606_gn_TRY-GTA2-1, GENECARDS:TRY-GTA8-1:URS00000FA8B2_9606_gn_TRY-GTA8-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	tRNA_gn_NA	NA	NA
URS000075E4E2	chr15_25056859_25056955_97_+	3.2783407686290467	2.3698030883915238e-8	9.501192138305772e-7	NA	NA	NA	snoRNA	snoRNA	NA	NA	GENECARDS:SNORD116-3:URS000075E4E2_9606_gn_SNORD116-3, GENECARDS:SNORD116-9:URS000075E4E2_9606_gn_SNORD116-9	NA	NA	NA	NA	NA	HGNC:33069_gn_SNORD116-3, HGNC:33075_gn_SNORD116-9	NR_003318_gn_SNORD116-3, NR_003324_gn_SNORD116-9	NA	NA	NA	NA	NA	1360_gn_NA, 1361_gn_NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS0000700FD3	chr15_25056860_25056954_95_+	3.278896515356519	2.3867766022416033e-8	9.501192138305772e-7	3.4533146768144203	1.6919358232300832e-6	9.195272984152152e-5	snoRNA	snoRNA	ENST00000384000_gn_ENSG00000206727.1, ENST00000384287_gn_ENSG00000207014.1	ENST00000384000_gn_SNORD116-9, ENST00000384287_gn_SNORD116-3	GENECARDS:SNORD116-3:URS0000700FD3_9606_gn_SNORD116-3, GENECARDS:SNORD116-9:URS0000700FD3_9606_gn_SNORD116-9	NA	NA	NA	NA	NA	NA	NA	RF00108_gn_NA	NA	NA	NA	NA	1113_gn_NA, 1114_gn_NA	Homo_sapiens300118_gn_SNORD116-3, Homo_sapiens300124_gn_SNORD116-9	NA	NA	NA	NA	NA	NA	NA	NA
URS000025C8A1	chr2_27050845_27050871_27_+	-3.117490420057276	2.4420816778821293e-8	9.501192138305772e-7	-2.8214908966929677	1.3392904804384031e-5	1.685013011842288e-4	piRNA	piRNA	NA	NA	GENECARDS:piR-33423:URS000025C8A1_9606_gn_piR-33423	NA	NA	DQ593311.1:1..27:ncRNA_gn_piR-33423	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS00003DAB6F	chr17_30117079_30117172_94_-	-2.0190749531734298	2.802699131982042e-8	9.501192138305772e-7	NA	NA	NA	lncRNA	lncRNA	ENST00000586878_gn_ENSG00000266919.3	ENST00000586878_gn_hsa-mir-423	GENECARDS:ENSG00000266919:URS00003DAB6F_9606_gn_ENSG00000266919	NA	NA	NA	NA	MALACARDS:ENSG00000266919:URS00003DAB6F_9606_gn_ENSG00000266919	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS000075B951	chr17_30117079_30117172_94_+	-2.0190749531734298	2.802699131982042e-8	9.501192138305772e-7	NA	NA	NA	precursor_RNA	precursor_RNA	ENST00000362201_gn_ENSG00000283935.1	ENST00000362201_gn_MIR423	GENECARDS:MIR423:URS000075B951_9606_gn_MIR423	NA	NA	LM608933.1:1..94:precursor_RNA_gn_mir-423	NA	MALACARDS:MIR423:URS000075B951_9606_gn_MIR423	HGNC:31880_gn_MIR423	NR_029945_gn_MIR423	NA	NA	MI0001445_gn_NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS00006C130C	chr17_30117083_30117163_81_+	-2.0190749531734298	2.802699131982042e-8	9.501192138305772e-7	-2.3447349420343384	4.5012232045294135e-6	1.1793204795867064e-4	precursor_RNA	precursor_RNA	NA	NA	GENECARDS:MIR423:URS00006C130C_9606_gn_MIR423	NA	NA	NA	NA	MALACARDS:MIR423:URS00006C130C_9606_gn_MIR423	NA	NA	RF00870_gn_NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS000075AC72	chr17_30117086_30117160_75_-	-2.0190749531734298	2.802699131982042e-8	9.501192138305772e-7	NA	NA	NA	precursor_RNA	precursor_RNA	ENST00000637796_gn_ENSG00000284399.1	ENST00000637796_gn_MIR3184	GENECARDS:MIR3184:URS000075AC72_9606_gn_MIR3184	NA	NA	NA	NA	NA	HGNC:38182_gn_MIR3184	NR_036149_gn_MIR3184	NA	NA	MI0014226_gn_NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS0000EFBC44	chr17_30117094_30117153_60_+	-2.019369177383428	2.8831365716833838e-8	9.501192138305772e-7	-1.7309036159942686	3.5845567417387165e-5	2.655256191880293e-4	precursor_RNA	precursor_RNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hsa-Mir-423_gn_NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS00000FA8B2	chr6_26575570_26575662_93_+	-2.887933054441161	3.1517701942752903e-8	9.501192138305772e-7	-3.472514076904911	3.366596281480687e-6	1.0177479527860848e-4	tRNA	tRNA	NA	NA	GENECARDS:TRY-GTA2-1:URS00000FA8B2_9606_gn_TRY-GTA2-1, GENECARDS:TRY-GTA8-1:URS00000FA8B2_9606_gn_TRY-GTA8-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	tRNA_gn_NA	NA	NA
URS00002F4D78	chr7_130876748_130876769_22_-	-1.3797277882139838	3.186104092549271e-8	9.501192138305772e-7	-1.4100404105071132	1.054194660344252e-5	1.5045128842838075e-4	miRNA	miRNA	NA	NA	GENECARDS:MIR29A:URS00002F4D78_9606_gn_MIR29A	NA	NA	EU154353.1:36494..36515:ncRNA_gn_NA, LM378773.1:1..22:ncRNA_gn_NA, LM608176.1:42..63:ncRNA_gn_NA	NA	MALACARDS:MIR29A:URS00002F4D78_9606_gn_MIR29A	NA	NR_029503_gn_MIR29A	NA	hsa-miR-29a-3p_gn_NA	MIMAT0000086_gn_NA	NA	Hsa-Mir-29-P1a_3p_gn_NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URS00006F4D3F	chr13_39857135_39857227_93_-	7.17643873381251	3.3687541891900494e-8	9.501192138305772e-7	7.045796444189655	3.1862352714624375e-5	2.529677700373208e-4	snoRNA	snoRNA	ENST00000391251_gn_ENSG00000212553.1	ENST00000391251_gn_AL138702.1	GENECARDS:ENSG00000212553:URS00006F4D3F_9606_gn_ENSG00000212553	NA	NA	NA	NA	NA	NA	NA	RF00108_gn_NA	NA	NA	NA	NA	1975_gn_NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
