smallRNA	logFC_Tumour_Normal_FC	logFC_Tumour_Normal_salmon	adj.P.Val_Tumour_Normal_FC	adj.P.Val_Tumour_Normal_salmon	file	transcript_id	exon_rank	Target_gene_name	gene_type
hsa_piR_020388_DQ598008	0.14225960117558678	NA	0.7953085177820777	NA	NA	NA	NA	NA	NA
URS00001650DC_GR_chr21_8210692_8210721_30_+	0.0818652822415391	NA	0.826661088283706	NA	NA	NA	NA	NA	NA
hsa_piR_006426_DQ578783	0.0917960160001372	0.06357294328663876	0.8357047360205051	0.9035322395835164	NA	NA	NA	NA	NA
hsa_piR_000753_DQ570940	-0.0936820891112431	-0.12256882624954768	0.8433935441172131	0.7974593458421223	NA	NA	NA	NA	NA
URS000027190B_GR_chr21_8216294_8216322_29_+	0.09824266902760481	NA	0.8459365249745086	NA	NA	NA	NA	NA	NA
hsa_piR_020485_DQ598159	0.08203196822371961	NA	0.8596753115057219	NA	NA	NA	NA	NA	NA
URS00002FF4FF_GR_chr21_8218734_8218764_31_+	0.07080226587177885	0.24785564998129272	0.902243779565803	0.7532255987150251	NA	NA	NA	NA	NA
URS00000580E2_GR_chrM_2247_2273_27_+	0.07556829331056814	NA	0.9177197993331445	NA	NA	NA	NA	NA	NA
hsa_piR_019420_DQ596670	-0.033375596795271356	-0.2625448012242222	0.955934119553195	0.7068228121259372	NA	NA	NA	NA	NA
hsa_piR_020548_DQ598263	0.00900372636540947	-0.022354811932260077	0.9833060669410777	0.9600625050664594	NA	NA	NA	NA	NA
URS00001D1556_GR_chr21_8215387_8215417_31_+	0.008474517769803569	0.029404048562335916	0.9848109758287704	0.9512737112762586	NA	NA	NA	NA	NA
hsa_piR_001152_DQ571500	8.903388692904635e-4	0.10726947228895911	0.9985378723521544	0.8685379418930563	NA	NA	NA	NA	NA
hsa_piR_019102_DQ596225	NA	-1.7581627397749129	NA	0.0038812522893389005	NA	NA	NA	NA	NA
hsa_piR_000805_DQ571003	NA	1.6860392838417007	NA	0.00448774564239441	UTR5	ENST00000549240.1	ENSE00002395720.1	CLBA1	protein_coding
hsa_piR_000805_DQ571003	NA	1.6860392838417007	NA	0.00448774564239441	UTR5	ENST00000407192.5	ENSE00001560427.1	GET4	protein_coding
hsa_piR_000805_DQ571003	NA	1.6860392838417007	NA	0.00448774564239441	UTR5	ENST00000539827.5	ENSE00002293604.1	HOMER3	protein_coding
hsa_piR_000805_DQ571003	NA	1.6860392838417007	NA	0.00448774564239441	UTR3	ENST00000376729.10	ENSE00001920165.3	WDR13	protein_coding
URS00000BDE9E_GR_chr14_102317132_102317162_31_+	NA	1.1070991983465082	NA	0.0951376730559859	NA	NA	NA	NA	NA
hsa_piR_020008_DQ597482	NA	1.0317935923703816	NA	0.11616940688327743	NA	NA	NA	NA	NA
hsa_piR_010894_DQ584698	NA	1.739118249717615	NA	0.12213030391689034	NA	NA	NA	NA	NA
URS00005E324D_GR_chr6_28881435_28881462_28_+	NA	1.4254182270425408	NA	0.1263835247317411	NA	NA	NA	NA	NA
hsa_piR_017104_DQ593636	NA	0.5891989553443682	NA	0.18471993841296683	NA	NA	NA	NA	NA
hsa_piR_019911_DQ597340	NA	0.8321341080079852	NA	0.21709305201058834	NA	NA	NA	NA	NA
hsa_piR_020809_DQ598639	NA	0.45565909650458947	NA	0.35313744682629705	NA	NA	NA	NA	NA
hsa_piR_017061_DQ593574	NA	0.39953597295904286	NA	0.39593845959656965	NA	NA	NA	NA	NA
hsa_piR_002158_DQ572892	NA	-0.5570833974166511	NA	0.4299119518720295	NA	NA	NA	NA	NA
URS00006034AB_GR_chr21_8216295_8216322_28_+	NA	-0.7233467653502077	NA	0.5371727520535315	NA	NA	NA	NA	NA
hsa_piR_014923_DQ590404	NA	0.31017757688455116	NA	0.6447933422850186	NA	NA	NA	NA	NA
URS00004CEA14_GR_chr12_124927842_124927869_28_-	NA	-0.22680946787443323	NA	0.7906098942341471	NA	NA	NA	NA	NA
URS0000036192_GR_chr21_8216553_8216581_29_+	NA	0.11955492933337464	NA	0.8680634166399653	NA	NA	NA	NA	NA
URS0000372535_GR_chr16_47505331_47505357_27_+	NA	-0.08519035580820966	NA	0.8937315079839487	NA	NA	NA	NA	NA
hsa_piR_005018_DQ576917	NA	0.07582709556131312	NA	0.9327409817781407	NA	NA	NA	NA	NA
